Assembly,Community,CommunitySize,CommunityPairSize,CommunitiyMotifSize
self_assembly,C1R2,4,6,4
self_assembly,C1R4,5,10,10
self_assembly,C1R6,5,10,10
self_assembly,C1R7,7,21,35
self_assembly,C2R6,4,6,4
self_assembly,C2R8,4,6,4
self_assembly,C4R1,3,3,1
self_assembly,C7R1,4,6,4
self_assembly,C8R4,3,3,1
self_assembly,C10R2,3,3,1
self_assembly,C11R1,9,36,84
self_assembly,C11R2,12,66,220
self_assembly,C11R5,5,10,10
random_assembly,AcrAss1,8,28,56
random_assembly,AcrAss2,8,28,56
random_assembly,RanAss1,8,28,56
random_assembly,RanAss2,8,28,56
