Community,Randomization,Motif,CountMotif
C1R2,1,Motif1,0
C1R2,1,Motif2,1
C1R2,1,Motif3,2
C1R2,1,Motif4,0
C1R2,1,Motif5,0
C1R2,1,Motif6,1
C1R2,1,Motif7,0
C1R2,2,Motif1,0
C1R2,2,Motif2,1
C1R2,2,Motif3,0
C1R2,2,Motif4,2
C1R2,2,Motif5,0
C1R2,2,Motif6,1
C1R2,2,Motif7,0
C1R2,3,Motif1,0
C1R2,3,Motif2,1
C1R2,3,Motif3,1
C1R2,3,Motif4,1
C1R2,3,Motif5,0
C1R2,3,Motif6,1
C1R2,3,Motif7,0
C1R2,4,Motif1,0
C1R2,4,Motif2,0
C1R2,4,Motif3,1
C1R2,4,Motif4,2
C1R2,4,Motif5,1
C1R2,4,Motif6,0
C1R2,4,Motif7,0
C1R2,5,Motif1,0
C1R2,5,Motif2,1
C1R2,5,Motif3,1
C1R2,5,Motif4,1
C1R2,5,Motif5,0
C1R2,5,Motif6,1
C1R2,5,Motif7,0
C1R2,6,Motif1,0
C1R2,6,Motif2,1
C1R2,6,Motif3,0
C1R2,6,Motif4,0
C1R2,6,Motif5,2
C1R2,6,Motif6,1
C1R2,6,Motif7,0
C1R2,7,Motif1,0
C1R2,7,Motif2,0
C1R2,7,Motif3,1
C1R2,7,Motif4,2
C1R2,7,Motif5,1
C1R2,7,Motif6,0
C1R2,7,Motif7,0
C1R2,8,Motif1,0
C1R2,8,Motif2,1
C1R2,8,Motif3,0
C1R2,8,Motif4,2
C1R2,8,Motif5,0
C1R2,8,Motif6,1
C1R2,8,Motif7,0
C1R2,9,Motif1,0
C1R2,9,Motif2,0
C1R2,9,Motif3,1
C1R2,9,Motif4,2
C1R2,9,Motif5,1
C1R2,9,Motif6,0
C1R2,9,Motif7,0
C1R2,10,Motif1,1
C1R2,10,Motif2,0
C1R2,10,Motif3,0
C1R2,10,Motif4,1
C1R2,10,Motif5,1
C1R2,10,Motif6,1
C1R2,10,Motif7,0
C1R2,11,Motif1,1
C1R2,11,Motif2,0
C1R2,11,Motif3,0
C1R2,11,Motif4,1
C1R2,11,Motif5,1
C1R2,11,Motif6,1
C1R2,11,Motif7,0
C1R2,12,Motif1,1
C1R2,12,Motif2,0
C1R2,12,Motif3,1
C1R2,12,Motif4,1
C1R2,12,Motif5,0
C1R2,12,Motif6,1
C1R2,12,Motif7,0
C1R2,13,Motif1,0
C1R2,13,Motif2,1
C1R2,13,Motif3,1
C1R2,13,Motif4,1
C1R2,13,Motif5,0
C1R2,13,Motif6,1
C1R2,13,Motif7,0
C1R2,14,Motif1,0
C1R2,14,Motif2,1
C1R2,14,Motif3,1
C1R2,14,Motif4,1
C1R2,14,Motif5,0
C1R2,14,Motif6,1
C1R2,14,Motif7,0
C1R2,15,Motif1,0
C1R2,15,Motif2,1
C1R2,15,Motif3,2
C1R2,15,Motif4,0
C1R2,15,Motif5,0
C1R2,15,Motif6,1
C1R2,15,Motif7,0
C1R2,16,Motif1,1
C1R2,16,Motif2,0
C1R2,16,Motif3,0
C1R2,16,Motif4,1
C1R2,16,Motif5,1
C1R2,16,Motif6,1
C1R2,16,Motif7,0
C1R2,17,Motif1,0
C1R2,17,Motif2,1
C1R2,17,Motif3,0
C1R2,17,Motif4,1
C1R2,17,Motif5,1
C1R2,17,Motif6,1
C1R2,17,Motif7,0
C1R2,18,Motif1,1
C1R2,18,Motif2,0
C1R2,18,Motif3,0
