Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination
AcrAss1,1,2,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,3,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,4,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,5,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,6,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,7,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,8,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,2,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,2,3,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,2,4,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,2,5,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,2,6,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,2,7,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,2,8,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,3,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,2,3,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,3,4,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,3,5,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,3,6,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,3,7,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,3,8,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,4,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,2,4,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,3,4,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,4,5,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,4,6,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,4,7,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,4,8,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,5,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,2,5,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,3,5,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,4,5,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,5,6,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,5,7,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,5,8,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,6,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,2,6,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,3,6,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,4,6,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,5,6,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,6,7,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,6,8,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,7,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,2,7,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,3,7,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,4,7,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,5,7,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,6,7,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,7,8,0.05,0.95,T0,0.05,,Sanger,FALSE
AcrAss1,1,8,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,2,8,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,3,8,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,4,8,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,5,8,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,6,8,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,7,8,0.95,0.05,T0,0.95,,Sanger,FALSE
AcrAss1,1,2,0.05,0.95,T3,0.080335644637738,,Sanger,FALSE
AcrAss1,1,3,0.05,0.95,T3,0.0700121993021884,,Sanger,FALSE
AcrAss1,1,4,0.05,0.95,T3,0.0669332079103152,,Sanger,FALSE
AcrAss1,1,5,0.05,0.95,T3,0.0521662549251138,,Sanger,FALSE
AcrAss1,1,6,0.05,0.95,T3,0.519367891709426,,Sanger,FALSE
AcrAss1,1,7,0.05,0.95,T3,0.0528226232003362,,Sanger,FALSE
AcrAss1,1,8,0.05,0.95,T3,0.0424341639245101,,Sanger,FALSE
AcrAss1,1,2,0.95,0.05,T3,0.0905866453589341,,Sanger,FALSE
AcrAss1,2,3,0.05,0.95,T3,0.040397848528587,,Sanger,FALSE
AcrAss1,2,4,0.05,0.95,T3,0.213706672589023,,Sanger,FALSE
AcrAss1,2,5,0.05,0.95,T3,0.0460809048822763,,Sanger,FALSE
AcrAss1,2,6,0.05,0.95,T3,0.948297487652675,,Sanger,FALSE
AcrAss1,2,7,0.05,0.95,T3,0.0847507419466463,,Sanger,FALSE
AcrAss1,2,8,0.05,0.95,T3,0.0682825822311627,,Sanger,FALSE
AcrAss1,1,3,0.95,0.05,T3,0.0172149013658488,,Sanger,FALSE
AcrAss1,2,3,0.95,0.05,T3,0.379189191181539,,Sanger,FALSE
AcrAss1,3,4,0.05,0.95,T3,0.187290919767147,,Sanger,FALSE
AcrAss1,3,5,0.05,0.95,T3,0.0875783352034584,,Sanger,FALSE
AcrAss1,3,6,0.05,0.95,T3,0.977645152388943,,Sanger,FALSE
AcrAss1,3,7,0.05,0.95,T3,0.0548677358265848,,Sanger,FALSE
