Assembly,Community,Metric,HierarchyScore
self_assembly,W0,h1,1
self_assembly,W0,h2,0.8962560726716479
self_assembly,W1,h1,1
self_assembly,W1,h2,0.9495815285789619
self_assembly,W2,h1,1
self_assembly,W2,h2,0.9985536069426867
self_assembly,W3,h1,1
self_assembly,W3,h2,0.9237957409003376
self_assembly,W4,h1,1
self_assembly,W4,h2,0.9709461945652901
self_assembly,W5,h1,1
self_assembly,W5,h2,0.9169011635035307
self_assembly,W6,h1,1
self_assembly,W6,h2,0.8521328695897228
self_assembly,W7,h1,1
self_assembly,W7,h2,0.9574586370241756
self_assembly,W8,h1,1
self_assembly,W8,h2,0.8486707978455644
self_assembly,W9,h1,1
self_assembly,W9,h2,0.9535573793129366
self_assembly,W10,h1,1
self_assembly,W10,h2,0.9880930800530853
self_assembly,W11,h1,1
self_assembly,W11,h2,0.9828945921684122
self_assembly,W12,h1,1
self_assembly,W12,h2,0.8554531078717353
self_assembly,W13,h1,1
self_assembly,W13,h2,0.8994705342788291
self_assembly,W14,h1,1
self_assembly,W14,h2,0.9891971033724426
self_assembly,W15,h1,1
self_assembly,W15,h2,0.9878334161800573
self_assembly,W16,h1,1
self_assembly,W16,h2,0.9559573217289496
self_assembly,W17,h1,1
self_assembly,W17,h2,0.9362039193274954
self_assembly,W18,h1,1
self_assembly,W18,h2,0.9430043868409516
self_assembly,W19,h1,1
self_assembly,W19,h2,0.9916318726806466
