Assembly,Community,Component
self_assembly,W0,1
self_assembly,W1,1
self_assembly,W2,1
self_assembly,W3,1
self_assembly,W4,1
self_assembly,W5,1
self_assembly,W6,1
self_assembly,W7,1
self_assembly,W8,1
self_assembly,W9,3
self_assembly,W10,1
self_assembly,W11,1
self_assembly,W12,1
self_assembly,W13,1
self_assembly,W14,1
self_assembly,W15,1
self_assembly,W16,1
self_assembly,W17,1
self_assembly,W18,1
self_assembly,W19,1
random_assembly,W0,2
random_assembly,W1,1
random_assembly,W2,1
random_assembly,W3,1
random_assembly,W4,1
random_assembly,W5,1
random_assembly,W6,2
random_assembly,W7,3
random_assembly,W8,1
random_assembly,W9,3
random_assembly,W10,1
random_assembly,W11,4
random_assembly,W12,1
random_assembly,W13,2
random_assembly,W14,2
random_assembly,W15,1
random_assembly,W16,1
random_assembly,W17,3
random_assembly,W18,1
random_assembly,W19,2
