Community,Richness,DistanceToDiagonal,CountCoexistence
W0,6,1,2
W0,6,2,2
W0,6,3,1
W1,7,1,3
W1,7,2,4
W1,7,3,2
W2,10,1,2
W2,10,2,2
W2,10,3,2
W2,10,4,2
W3,6,1,3
W3,6,2,3
W3,6,3,1
W4,3,1,2
W5,10,1,2
W5,10,2,2
W5,10,3,2
W5,10,4,2
W6,4,1,2
W7,11,1,5
W7,11,2,6
W7,11,3,4
W7,11,4,2
W7,11,5,3
W7,11,6,1
W8,4,1,2
W8,4,2,1
W10,7,1,2
W10,7,2,2
W10,7,3,1
W11,7,1,4
W11,7,3,2
W12,6,1,2
W12,6,2,2
W13,5,1,3
W13,5,2,3
W13,5,3,1
W14,2,1,1
W15,7,1,5
W15,7,2,3
W15,7,3,2
W15,7,4,2
W15,7,5,1
W16,4,1,2
W16,4,2,1
W17,8,1,4
W17,8,2,2
W17,8,3,2
W17,8,4,2
W18,6,1,2
W18,6,2,2
W18,6,3,1
W19,9,1,3
W19,9,2,4
W19,9,3,4
W19,9,4,3
W19,9,5,1
