Assembly,Community,Family,ID,Isolate,Win,Lose,Draw,Score,Game,Rank,PlotRank
self_assembly,W0,F0,S276,1,0,0,6,0,6,4,4
self_assembly,W0,F1,S505,2,0,5,1,-5,6,7,7
self_assembly,W0,F1,S581,3,1,4,1,-3,6,6,6
self_assembly,W0,F1,S724,4,2,3,1,-1,6,5,5
self_assembly,W0,F1,S877,5,3,2,1,1,6,3,3
self_assembly,W0,F1,S930,6,4,1,1,3,6,2,2
self_assembly,W0,F1,S983,7,5,0,1,5,6,1,1
self_assembly,W1,F0,S370,1,0,0,4,0,4,3,3
self_assembly,W1,F1,S524,2,2,1,1,1,4,2,2
self_assembly,W1,F1,S525,3,3,0,1,3,4,1,1
self_assembly,W1,F1,S615,4,0,3,1,-3,4,5,5
self_assembly,W1,F1,S766,5,1,2,1,-1,4,4,4
self_assembly,W10,F0,S295,1,4,0,0,4,4,1,1
self_assembly,W10,F1,S545,2,0,4,0,-4,4,5,5
self_assembly,W10,F1,S632,3,1,3,0,-2,4,4,4
self_assembly,W10,F1,S915,4,2,2,0,0,4,3,3
self_assembly,W10,F1,S924,5,3,1,0,2,4,2,2
self_assembly,W11,F0,S319,1,3,0,1,3,4,1,1
self_assembly,W11,F1,S623,2,0,4,0,-4,4,5,5
self_assembly,W11,F1,S647,3,1,3,0,-2,4,4,4
self_assembly,W11,F1,S766,4,2,1,1,1,4,3,3
self_assembly,W11,F1,S810,5,3,1,0,2,4,2,2
self_assembly,W12,F0,S385,1,0,0,6,0,6,4,4
self_assembly,W12,F1,S716,2,0,5,1,-5,6,7,7
self_assembly,W12,F1,S749,3,1,4,1,-3,6,6,6
self_assembly,W12,F1,S751,4,2,3,1,-1,6,5,5
self_assembly,W12,F1,S773,5,3,2,1,1,6,3,3
self_assembly,W12,F1,S921,6,4,1,1,3,6,2,2
self_assembly,W12,F1,S982,7,5,0,1,5,6,1,1
self_assembly,W13,F0,S255,1,0,0,5,0,5,3,3
self_assembly,W13,F0,S341,2,0,0,5,0,5,3,4
self_assembly,W13,F1,S704,3,0,3,2,-3,5,6,6
self_assembly,W13,F1,S714,4,1,2,2,-1,5,5,5
self_assembly,W13,F1,S724,5,2,1,2,1,5,2,2
self_assembly,W13,F1,S751,6,3,0,2,3,5,1,1
self_assembly,W14,F0,S295,1,4,0,0,4,4,1,1
self_assembly,W14,F1,S571,2,0,4,0,-4,4,5,5
self_assembly,W14,F1,S724,3,1,3,0,-2,4,4,4
self_assembly,W14,F1,S806,4,2,2,0,0,4,3,3
self_assembly,W14,F1,S836,5,3,1,0,2,4,2,2
self_assembly,W15,F0,S295,1,4,0,0,4,4,1,1
self_assembly,W15,F1,S572,2,0,4,0,-4,4,5,5
self_assembly,W15,F1,S669,3,1,3,0,-2,4,4,4
self_assembly,W15,F1,S958,4,3,1,0,2,4,2,2
self_assembly,W15,F1,S985,5,2,2,0,0,4,3,3
self_assembly,W16,F0,S370,1,0,0,4,0,4,3,3
self_assembly,W16,F1,S524,2,2,1,1,1,4,2,2
self_assembly,W16,F1,S572,3,0,3,1,-3,4,5,5
self_assembly,W16,F1,S859,4,1,2,1,-1,4,4,4
self_assembly,W16,F1,S958,5,3,0,1,3,4,1,1
self_assembly,W17,F0,S210,1,1,0,5,1,6,3,3
self_assembly,W17,F0,S267,2,0,1,5,-1,6,5,5
self_assembly,W17,F1,S571,3,0,4,2,-4,6,7,7
self_assembly,W17,F1,S762,4,1,3,2,-2,6,6,6
self_assembly,W17,F1,S836,5,2,2,2,0,6,4,4
self_assembly,W17,F1,S924,6,3,1,2,2,6,2,2
self_assembly,W17,F1,S958,7,4,0,2,4,6,1,1
self_assembly,W18,F0,S395,1,0,0,7,0,7,4,4
