Assembly,Community,Richness,Motif,Count,Fraction,p5,p95,Sign
self_assembly,W0,6,1,0,0,8,3,bottom
self_assembly,W0,6,2,10,0.07142857142857142,19,10,bottom
self_assembly,W0,6,3,0,0,18,8,bottom
self_assembly,W0,6,4,0,0,32,18,bottom
self_assembly,W0,6,5,0,0,19,7,bottom
self_assembly,W0,6,6,10,0.07142857142857142,47,34,bottom
self_assembly,W0,6,7,0,0,13,7,bottom
self_assembly,W1,6,1,0,0,7,1,bottom
self_assembly,W1,6,2,4,0.02857142857142857,16,7,bottom
self_assembly,W1,6,3,0,0,17,7,bottom
self_assembly,W1,6,4,0,0,30,16,bottom
self_assembly,W1,6,5,0,0,17,7,bottom
self_assembly,W1,6,6,12,0.08571428571428572,52,38,bottom
self_assembly,W1,6,7,4,0.02857142857142857,17,10,bottom
self_assembly,W2,9,1,0,0,14,5,bottom
self_assembly,W2,9,2,56,0.27450980392156865,34,24,top
self_assembly,W2,9,3,0,0,15,9,bottom
self_assembly,W2,9,4,0,0,25,18,bottom
self_assembly,W2,9,5,0,0,15,9,bottom
self_assembly,W2,9,6,28,0.13725490196078433,60,44,bottom
self_assembly,W2,9,7,0,0,27,18,bottom
self_assembly,W3,5,1,0,0,8,2,bottom
self_assembly,W3,5,2,1,0.007692307692307693,19,11,bottom
self_assembly,W3,5,3,0,0,18,8,bottom
self_assembly,W3,5,4,0,0,32,18,bottom
self_assembly,W3,5,5,0,0,18,7,bottom
self_assembly,W3,5,6,6,0.046153846153846156,47,33,bottom
self_assembly,W3,5,7,3,0.023076923076923078,13,6,bottom
self_assembly,W4,3,1,0,0,7,1,bottom
self_assembly,W4,3,2,0,0,15,7,bottom
self_assembly,W4,3,3,0,0,17,7,bottom
self_assembly,W4,3,4,0,0,30,16,bottom
self_assembly,W4,3,5,0,0,17,7,bottom
self_assembly,W4,3,6,1,0.008264462809917356,52,37,bottom
self_assembly,W4,3,7,0,0,17,10,bottom
self_assembly,W5,9,1,0,0,14,6,bottom
self_assembly,W5,9,2,56,0.27450980392156865,34,24,top
self_assembly,W5,9,3,0,0,17,10,bottom
self_assembly,W5,9,4,0,0,30,21,bottom
self_assembly,W5,9,5,0,0,17,10,bottom
self_assembly,W5,9,6,28,0.13725490196078433,52,37,bottom
self_assembly,W5,9,7,0,0,17,9,bottom
self_assembly,W6,3,1,0,0,13,4,bottom
self_assembly,W6,3,2,0,0,31,21,bottom
self_assembly,W6,3,3,0,0,20,9,bottom
self_assembly,W6,3,4,0,0,35,20,bottom
self_assembly,W6,3,5,0,0,19,8,bottom
self_assembly,W6,3,6,1,0.008264462809917356,32,21,bottom
self_assembly,W6,3,7,0,0,7,1,bottom
self_assembly,W7,10,1,0,0,15,7,bottom
self_assembly,W7,10,2,36,0.15,37,26,top
self_assembly,W7,10,3,10,0.041666666666666664,20,13,bottom
self_assembly,W7,10,4,0,0,35,26,bottom
self_assembly,W7,10,5,2,0.008333333333333333,20,13,bottom
self_assembly,W7,10,6,60,0.25,49,36,top
self_assembly,W7,10,7,12,0.05,15,8,top
self_assembly,W8,4,1,0,0,17,7,bottom
self_assembly,W8,4,2,1,0.008064516129032258,45,33,bottom
self_assembly,W8,4,3,0,0,19,8,bottom
self_assembly,W8,4,4,0,0,33,19,bottom
self_assembly,W8,4,5,0,0,19,7,bottom
self_assembly,W8,4,6,3,0.024193548387096774,20,12,bottom
self_assembly,W8,4,7,0,0,3,1,bottom
self_assembly,W9,3,1,0,0,10,3,bottom
self_assembly,W9,3,2,1,0.008264462809917356,23,14,bottom
self_assembly,W9,3,3,0,0,19,8,bottom
self_assembly,W9,3,4,0,0,34,19,bottom
self_assembly,W9,3,5,0,0,19,8,bottom
self_assembly,W9,3,6,0,0,41,28,bottom
self_assembly,W9,3,7,0,0,10,4,bottom
self_assembly,W10,6,1,0,0,6,2,bottom
self_assembly,W10,6,2,10,0.07142857142857142,13,6,top
self_assembly,W10,6,3,0,0,16,7,bottom
self_assembly,W10,6,4,0,0,29,15,bottom
self_assembly,W10,6,5,0,0,17,7,bottom
self_assembly,W10,6,6,10,0.07142857142857142,54,39,bottom
self_assembly,W10,6,7,0,0,19,11,bottom
self_assembly,W11,5,1,0,0,21,10,bottom
self_assembly,W11,5,2,1,0.007692307692307693,56,44,bottom
self_assembly,W11,5,3,0,0,16,6,bottom
self_assembly,W11,5,4,0,0,29,17,bottom
self_assembly,W11,5,5,0,0,16,6,bottom
self_assembly,W11,5,6,9,0.06923076923076923,12,6,top
self_assembly,W11,5,7,0,0,2,1,bottom
self_assembly,W12,5,1,0,0,5,1,bottom
self_assembly,W12,5,2,4,0.03076923076923077,12,5,bottom
self_assembly,W12,5,3,0,0,17,6,bottom
self_assembly,W12,5,4,0,0,27,14,bottom
self_assembly,W12,5,5,0,0,16,6,bottom
self_assembly,W12,5,6,6,0.046153846153846156,57,41,bottom
self_assembly,W12,5,7,0,0,21,13,bottom
self_assembly,W13,5,1,0,0,9,2,bottom
