Community,Richness,Replicate,Motif,Count,Fraction
W0,6,1,1,1,0.05
W0,6,1,2,2,0.1
W0,6,1,3,2,0.1
W0,6,1,4,11,0.55
W0,6,1,5,2,0.1
W0,6,1,6,1,0.05
W0,6,1,7,1,0.05
W0,6,2,1,1,0.05
W0,6,2,2,5,0.25
W0,6,2,3,4,0.2
W0,6,2,4,5,0.25
W0,6,2,5,0,0
W0,6,2,6,4,0.2
W0,6,2,7,1,0.05
W0,6,3,1,1,0.05
W0,6,3,2,4,0.2
W0,6,3,3,3,0.15
W0,6,3,4,6,0.3
W0,6,3,5,2,0.1
W0,6,3,6,3,0.15
W0,6,3,7,1,0.05
W0,6,4,1,1,0.05
W0,6,4,2,5,0.25
W0,6,4,3,4,0.2
W0,6,4,4,5,0.25
W0,6,4,5,0,0
W0,6,4,6,4,0.2
W0,6,4,7,1,0.05
W0,6,5,1,2,0.1
W0,6,5,2,2,0.1
W0,6,5,3,4,0.2
W0,6,5,4,4,0.2
W0,6,5,5,4,0.2
W0,6,5,6,4,0.2
W0,6,5,7,0,0
W0,6,6,1,2,0.1
W0,6,6,2,3,0.15
W0,6,6,3,1,0.05
W0,6,6,4,6,0.3
W0,6,6,5,3,0.15
W0,6,6,6,5,0.25
W0,6,6,7,0,0
W0,6,7,1,2,0.1
W0,6,7,2,3,0.15
W0,6,7,3,1,0.05
W0,6,7,4,8,0.4
W0,6,7,5,2,0.1
W0,6,7,6,3,0.15
W0,6,7,7,1,0.05
W0,6,8,1,1,0.05
W0,6,8,2,2,0.1
W0,6,8,3,4,0.2
W0,6,8,4,7,0.35
W0,6,8,5,4,0.2
W0,6,8,6,1,0.05
W0,6,8,7,1,0.05
W0,6,9,1,1,0.05
W0,6,9,2,4,0.2
W0,6,9,3,2,0.1
W0,6,9,4,5,0.25
W0,6,9,5,3,0.15
W0,6,9,6,5,0.25
W0,6,9,7,0,0
W0,6,10,1,0,0
W0,6,10,2,5,0.25
W0,6,10,3,5,0.25
W0,6,10,4,4,0.2
W0,6,10,5,1,0.05
W0,6,10,6,5,0.25
W0,6,10,7,0,0
W0,6,11,1,1,0.05
W0,6,11,2,5,0.25
W0,6,11,3,0,0
W0,6,11,4,5,0.25
W0,6,11,5,5,0.25
W0,6,11,6,2,0.1
W0,6,11,7,2,0.1
W0,6,12,1,3,0.15
W0,6,12,2,3,0.15
W0,6,12,3,3,0.15
W0,6,12,4,4,0.2
W0,6,12,5,2,0.1
W0,6,12,6,4,0.2
W0,6,12,7,1,0.05
W0,6,13,1,1,0.05
W0,6,13,2,4,0.2
W0,6,13,3,1,0.05
W0,6,13,4,4,0.2
W0,6,13,5,6,0.3
W0,6,13,6,3,0.15
W0,6,13,7,1,0.05
W0,6,14,1,0,0
W0,6,14,2,4,0.2
W0,6,14,3,2,0.1
W0,6,14,4,5,0.25
W0,6,14,5,6,0.3
W0,6,14,6,2,0.1
W0,6,14,7,1,0.05
W0,6,15,1,1,0.05
W0,6,15,2,3,0.15
W0,6,15,3,2,0.1
W0,6,15,4,9,0.45
W0,6,15,5,1,0.05
W0,6,15,6,4,0.2
W0,6,15,7,0,0
W0,6,16,1,2,0.1
W0,6,16,2,3,0.15
W0,6,16,3,2,0.1
W0,6,16,4,6,0.3
W0,6,16,5,2,0.1
W0,6,16,6,5,0.25
W0,6,16,7,0,0
W0,6,17,1,1,0.05
W0,6,17,2,4,0.2
W0,6,17,3,4,0.2
W0,6,17,4,4,0.2
W0,6,17,5,2,0.1
W0,6,17,6,5,0.25
W0,6,17,7,0,0
W0,6,18,1,2,0.1
