Assembly,Community,ID1,ID2,Isolate1MeasuredFreq,Assembly1,Family1,Isolate1,Assembly2,Family2,Isolate2
self_assembly,W1,S83,S140,0.023826920339706792,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W1,S83,S140,0.24971775462234647,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W1,S83,S247,0.008047934628180126,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W1,S83,S247,0.22262798989234658,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W1,S83,S344,0.5320663238897133,self_assembly,F0,1,self_assembly,F0,4
self_assembly,W1,S83,S344,0.6522137106091036,self_assembly,F0,1,self_assembly,F0,4
self_assembly,W1,S83,S389,0.1946125438351488,self_assembly,F0,1,self_assembly,F0,5
self_assembly,W1,S83,S389,0.5270810684888958,self_assembly,F0,1,self_assembly,F0,5
self_assembly,W1,S83,S434,0.16580138085194598,self_assembly,F0,1,self_assembly,F0,6
self_assembly,W1,S83,S434,0.3198416150193904,self_assembly,F0,1,self_assembly,F0,6
self_assembly,W1,S83,S464,0.06862474719617577,self_assembly,F0,1,self_assembly,F0,7
self_assembly,W1,S83,S464,0.6150065468622501,self_assembly,F0,1,self_assembly,F0,7
self_assembly,W1,S83,S870,0.18210332930053322,self_assembly,F0,1,self_assembly,F1,8
self_assembly,W1,S83,S870,0.3896328100541169,self_assembly,F0,1,self_assembly,F1,8
self_assembly,W1,S140,S247,0.28890392967358813,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W1,S140,S247,0.592728562707278,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W1,S140,S344,0.8600240661295385,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W1,S140,S344,0.9123654183209929,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W1,S140,S389,0.5368948310308586,self_assembly,F0,2,self_assembly,F0,5
self_assembly,W1,S140,S389,0.8879047203750137,self_assembly,F0,2,self_assembly,F0,5
self_assembly,W1,S140,S434,0.333053378934153,self_assembly,F0,2,self_assembly,F0,6
self_assembly,W1,S140,S434,0.6833805444244851,self_assembly,F0,2,self_assembly,F0,6
self_assembly,W1,S140,S464,0.6681310683919981,self_assembly,F0,2,self_assembly,F0,7
self_assembly,W1,S140,S464,0.9687494125829433,self_assembly,F0,2,self_assembly,F0,7
self_assembly,W1,S140,S870,0.6020872221279485,self_assembly,F0,2,self_assembly,F1,8
self_assembly,W1,S140,S870,0.6635097540144936,self_assembly,F0,2,self_assembly,F1,8
self_assembly,W1,S247,S344,0.745515351824084,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W1,S247,S344,0.7922629889843005,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W1,S247,S389,0.6871920130496794,self_assembly,F0,3,self_assembly,F0,5
self_assembly,W1,S247,S389,0.8462664594076669,self_assembly,F0,3,self_assembly,F0,5
self_assembly,W1,S247,S434,0.4234965486207219,self_assembly,F0,3,self_assembly,F0,6
self_assembly,W1,S247,S434,0.8394703721341588,self_assembly,F0,3,self_assembly,F0,6
self_assembly,W1,S247,S464,0.6305750397035469,self_assembly,F0,3,self_assembly,F0,7
self_assembly,W1,S247,S464,0.8331393408596987,self_assembly,F0,3,self_assembly,F0,7
self_assembly,W1,S247,S870,0.6158614301886494,self_assembly,F0,3,self_assembly,F1,8
self_assembly,W1,S247,S870,0.6608359693435941,self_assembly,F0,3,self_assembly,F1,8
self_assembly,W1,S344,S389,0.19295298717117543,self_assembly,F0,4,self_assembly,F0,5
self_assembly,W1,S344,S389,0.2880589596038772,self_assembly,F0,4,self_assembly,F0,5
self_assembly,W1,S344,S434,0.3073124736358899,self_assembly,F0,4,self_assembly,F0,6
