ExpID,ID,Community,Isolate,SID,K,T_mid,R,CS,maxOD,R16,R24,R48,RUpper,RMid,RLow,R16_water,R24_water,R48_water,RUpper_water,RMid_water,RLow_water,Family,SangerID
1.2.A.1,259,C1R2,1,259_2-Ketogluconate,0.305998879668971,15.3459501204871,0.206792294045712,2-Ketogluconate,0.337,0.0969392079706862,0.070532320632207,0.0416395874454237,0.0910974558023954,0.101369348326029,0.0977468987479215,0.00160309750670027,0.00208819042727978,0.00104336911383556,0.0014198228610687,0.00177509657506805,0.00198830952756205,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_2-Oxoglutarate,0.00530978919724435,1.70483658320987,0.102519738334824,2-Oxoglutarate,0.005,0.0030893429075711,0.0020372148624412,0.00150881094651391,0.0027291101760674,0.00252004463492956,0.00319243517711981,0.00160309750670027,0.00208816620739035,0.00104335702072823,9.5539899520376e-4,0.0013076817277643,0.00165659333581933,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_Acetate,2809638.00242276,194.71555891016,0.116165034393508,Acetate,0.117,0.00457926975088652,0.00761285598499409,0.0277139807583787,0.0209336704420565,0.0157346659594301,0.00981393213325232,0.00160309750670027,0.00208819042727978,0.00104335097427969,5.9830185996562e-4,6.6220163576515e-4,8.2793551172214e-4,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_Citrate,0.476671157198383,20.7442332291351,0.218409380058393,Citrate,0.507,0.0853586023019766,0.0928883154966204,0.0545302209606878,0.0972018875535947,0.102714174176149,0.0620244558363941,0.00160309750670027,0.00208816620739035,0.00104336306724685,0.00124227001517595,0.00146162655542904,0.00171378276410589,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_D-Fructose,0.314529348047593,12.7781920324321,0.581133585433555,D-Fructose,0.352,0.1371122928436,0.0853295795099427,0.047931924084641,0.0839558192771961,0.137880766765818,0.113408619279907,0.00160312570344116,0.00208821464773106,0.00104337516049435,0.00204467262604803,0.00171381498897078,0.00207117458399863,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_D-Galactose,0.312973735110947,13.2813646329486,0.618403036134153,D-Galactose,0.343,0.130067285350265,0.0925516049200984,0.0462995864609597,0.108218514202773,0.130067285350265,0.107883422427725,0.00160312570344116,0.0020882388687442,0.00104337516049435,0.00124227001517595,0.00160312570344116,0.00198830952756205,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_D-Glucose,0.299117809473957,11.2215582084008,0.704427783958733,D-Glucose,0.329,0.132437936608925,0.0852720206084413,0.0453258713153933,0.111271946931032,0.138217969639093,0.119166884670133,0.00160312570344116,0.00208821464773106,0.00104337516049435,0.00134306041205729,0.00216124700615205,0.00248586141397639,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_D-Lactate,0.446834570600879,22.9604694852237,0.208790416998747,D-Lactate,0.458,0.0706096161503745,0.0841315139988421,0.0525264831584107,0.0753801128526195,0.082460895705953,0.0817361890567914,0.00160309750670027,0.00208816620739035,0.00104336306724685,8.2793551172214e-4,0.0019627537591852,0.00346289945423793,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_D-Ribose,0.252590563250535,12.8688367624368,0.42811696668073,D-Ribose,0.293,0.110206462683818,0.0805002542079137,0.0440254501271933,0.0900040640744585,0.109814405911683,0.100799008301824,0.00160312570344116,0.00208821464773106,0.00104336911383556,0.00110418817531794,0.00146167343549048,0.00184088604034343,Enterobacteriaceae,259
1.2.A.1,259,C1R2,1,259_ddH20,383.825248777855,707.878383296071,0.0184708632832376,ddH20,0.003,0.00160309750670027,0.00208816620739035,0.00104334492790123,0.00121190991188911,0.00165659333581933,0.00331481338170803,0.00160309750670027,0.00208816620739035,0.00104334492790123,0.00121190991188911,0.00165659333581933,0.00331481338170803,Enterobacteriaceae,259
