Community,Degree,Isolate
C1R2,1,1
C1R2,1,2
C1R2,1,3
C1R2,1,4
C1R4,1,1
C1R4,2,2
C1R4,1,3
C1R4,2,4
C1R4,2,5
C1R6,1,1
C1R6,1,2
C1R6,1,3
C1R6,1,4
C1R6,0,5
C1R7,1,1
C1R7,0,2
C1R7,2,3
C1R7,0,4
C1R7,2,5
C1R7,2,6
C1R7,1,7
C2R6,0,1
C2R6,2,2
C2R6,1,3
C2R6,1,4
C2R8,1,1
C2R8,0,2
C2R8,2,3
C2R8,1,4
C4R1,1,1
C4R1,0,2
C4R1,1,3
C7R1,0,1
C7R1,0,2
C7R1,1,3
C7R1,1,4
C8R4,1,1
C8R4,2,2
C8R4,1,3
C10R2,0,1
C10R2,1,2
C10R2,1,3
C11R1,8,1
C11R1,6,2
C11R1,5,3
C11R1,5,4
C11R1,1,5
C11R1,3,6
C11R1,2,7
C11R1,4,8
C11R1,4,9
C11R2,5,1
C11R2,7,2
C11R2,5,3
C11R2,1,4
C11R2,5,5
C11R2,2,6
C11R2,5,7
C11R2,5,8
C11R2,1,9
C11R2,3,10
C11R2,2,11
C11R2,5,12
C11R5,1,1
C11R5,0,2
C11R5,1,3
C11R5,0,4
C11R5,0,5
