Community,Isolate1,Isolate2,InteractionType,From,To,CarbonSource,GrowthRateVariable,PairGrowthRateVariable
C1R2,1,2,exclusion,1,2,acetate,LagTime,9.7534925611018
C1R2,1,2,exclusion,1,2,acetate,MaxGrowthRate,0.238643858018144
C1R2,1,2,exclusion,1,2,acetate,MaxOD,0.153923996644849
C1R2,1,2,exclusion,1,2,arginine,LagTime,33.4025970609663
C1R2,1,2,exclusion,1,2,arginine,MaxGrowthRate,0.105311683704553
C1R2,1,2,exclusion,1,2,arginine,MaxOD,0.375298527268892
C1R2,1,2,exclusion,1,2,citrate,LagTime,2.08111915496793
C1R2,1,2,exclusion,1,2,citrate,MaxGrowthRate,0.107558213314206
C1R2,1,2,exclusion,1,2,citrate,MaxOD,0.0185085413787039
C1R2,1,2,exclusion,1,2,Darabinose,LagTime,94.5804510784336
C1R2,1,2,exclusion,1,2,Darabinose,MaxGrowthRate,0.0158887601834943
C1R2,1,2,exclusion,1,2,Darabinose,MaxOD,0.00379122081562561
C1R2,1,2,exclusion,1,2,formate,LagTime,103.67688995417
C1R2,1,2,exclusion,1,2,formate,MaxGrowthRate,0.00452161308177057
C1R2,1,2,exclusion,1,2,formate,MaxOD,0.0077331183557157
C1R2,1,2,exclusion,1,2,glucose,LagTime,5.61490904318791
C1R2,1,2,exclusion,1,2,glucose,MaxGrowthRate,0.465182098575976
C1R2,1,2,exclusion,1,2,glucose,MaxOD,0.0328852270475859
C1R2,1,2,exclusion,1,2,glycerol,LagTime,7.12531197039259
C1R2,1,2,exclusion,1,2,glycerol,MaxGrowthRate,0.062614607340416
C1R2,1,2,exclusion,1,2,glycerol,MaxOD,0.055867110602788
C1R2,1,2,exclusion,1,2,inositol,LagTime,63.8341842268519
C1R2,1,2,exclusion,1,2,inositol,MaxGrowthRate,0.147178846685473
C1R2,1,2,exclusion,1,2,inositol,MaxOD,0.0357865677121376
C1R2,1,2,exclusion,1,2,Lglutamate,LagTime,4.73271786719506
C1R2,1,2,exclusion,1,2,Lglutamate,MaxGrowthRate,0.150957368139568
C1R2,1,2,exclusion,1,2,Lglutamate,MaxOD,0.406213438101472
C1R2,1,2,exclusion,1,2,phenylalanine,LagTime,0.077332035863997
C1R2,1,2,exclusion,1,2,phenylalanine,MaxGrowthRate,0.000181705018947311
C1R2,1,2,exclusion,1,2,phenylalanine,MaxOD,0.0030504949127708
C1R2,1,2,exclusion,1,2,succinate,LagTime,2.99890783167751
C1R2,1,2,exclusion,1,2,succinate,MaxGrowthRate,0.010453098979765
C1R2,1,2,exclusion,1,2,succinate,MaxOD,0.056809087634995
C1R2,1,3,coexistence,1,3,acetate,LagTime,20.6421603285172
C1R2,1,3,coexistence,1,3,acetate,MaxGrowthRate,0.0441350974538146
C1R2,1,3,coexistence,1,3,acetate,MaxOD,0.00210810571183098
C1R2,1,3,coexistence,1,3,arginine,LagTime,25.8501429361894
C1R2,1,3,coexistence,1,3,arginine,MaxGrowthRate,0.0551572830498667
C1R2,1,3,coexistence,1,3,arginine,MaxOD,0.0261223563210443
C1R2,1,3,coexistence,1,3,citrate,LagTime,2.50654889125542
C1R2,1,3,coexistence,1,3,citrate,MaxGrowthRate,0.103155086469757
C1R2,1,3,coexistence,1,3,citrate,MaxOD,0.09887390320038
C1R2,1,3,coexistence,1,3,Darabinose,LagTime,34.6014428675807
C1R2,1,3,coexistence,1,3,Darabinose,MaxGrowthRate,0.0358705903075797
C1R2,1,3,coexistence,1,3,Darabinose,MaxOD,0.115047916793334
C1R2,1,3,coexistence,1,3,formate,LagTime,69.2053913311293
C1R2,1,3,coexistence,1,3,formate,MaxGrowthRate,0.00235867991538757
C1R2,1,3,coexistence,1,3,formate,MaxOD,0.0154264472024821
C1R2,1,3,coexistence,1,3,glucose,LagTime,7.16713907156979
C1R2,1,3,coexistence,1,3,glucose,MaxGrowthRate,0.440769401504426
C1R2,1,3,coexistence,1,3,glucose,MaxOD,0.0998373310186511
C1R2,1,3,coexistence,1,3,glycerol,LagTime,9.41476966792677
C1R2,1,3,coexistence,1,3,glycerol,MaxGrowthRate,0.268992202576369
C1R2,1,3,coexistence,1,3,glycerol,MaxOD,0.047431235906273
C1R2,1,3,coexistence,1,3,inositol,LagTime,2.16459485152748
C1R2,1,3,coexistence,1,3,inositol,MaxGrowthRate,9.08576011610096e-05
