Community,Isolate1,Isolate2,InteractionType,From,To,Family1,Family2,Genus1,Genus2,Fermenter1,Fermenter2
AcrAss1,1,2,coexistence,1,2,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FALSE,TRUE
AcrAss1,1,3,coexistence,1,3,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FALSE,TRUE
AcrAss1,1,4,coexistence,1,4,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
AcrAss1,1,5,coexistence,1,5,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss1,1,6,coexistence,1,6,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
AcrAss1,1,7,coexistence,1,7,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss1,1,8,exclusion,8,1,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss1,2,3,exclusion,3,2,Enterobacteriaceae,Enterobacteriaceae,Serratia,Citrobacter,TRUE,TRUE
AcrAss1,2,4,coexistence,2,4,Enterobacteriaceae,Enterobacteriaceae,Serratia,Raoultella,TRUE,TRUE
AcrAss1,2,5,exclusion,5,2,Enterobacteriaceae,Enterobacteriaceae,Serratia,Enterobacter,TRUE,TRUE
AcrAss1,2,6,exclusion,2,6,Enterobacteriaceae,Pseudomonadaceae,Serratia,Pseudomonas,TRUE,FALSE
AcrAss1,2,7,coexistence,2,7,Enterobacteriaceae,Enterobacteriaceae,Serratia,Enterobacter,TRUE,TRUE
AcrAss1,2,8,coexistence,2,8,Enterobacteriaceae,Enterobacteriaceae,Serratia,Enterobacter,TRUE,TRUE
AcrAss1,3,4,coexistence,3,4,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Raoultella,TRUE,TRUE
AcrAss1,3,5,coexistence,3,5,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
AcrAss1,3,6,exclusion,3,6,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
