"Plate","Well","Wavelength","Abs","Transfer","Layout","MixPlate","MixIsolate","Isolate1","Isolate2","Community","Isolate1Freq","Isolate2Freq"
"T1_933_P1","A01",405,0.299,"1","933","1",TRUE,"1","1","C11R1",50,50
"T1_933_P1","A02",405,0.284,"1","933","1",TRUE,"1","2","C11R1",50,50
"T1_933_P1","A03",405,0.282,"1","933","1",TRUE,"1","3","C11R1",50,50
"T1_933_P1","A04",405,0.274,"1","933","1",TRUE,"1","4","C11R1",50,50
"T1_933_P1","A05",405,0.272,"1","933","1",TRUE,"1","5","C11R1",50,50
"T1_933_P1","A06",405,0.275,"1","933","1",TRUE,"1","6","C11R1",50,50
"T1_933_P1","A07",405,0.273,"1","933","1",TRUE,"1","7","C11R1",50,50
"T1_933_P1","A08",405,0.272,"1","933","1",TRUE,"1","8","C11R1",50,50
"T1_933_P1","A09",405,0.271,"1","933","1",TRUE,"1","9","C11R1",50,50
"T1_933_P1","A10",405,0.296,"1","933","1",TRUE,"1","1","C8R4",50,50
"T1_933_P1","A11",405,0.321,"1","933","1",TRUE,"1","2","C8R4",50,50
"T1_933_P1","A12",405,0.315,"1","933","1",TRUE,"1","3","C8R4",50,50
"T1_933_P1","B01",405,0.279,"1","933","1",TRUE,"2","1","C11R1",50,50
"T1_933_P1","B02",405,0.002,"1","933","1",TRUE,"2","2","C11R1",50,50
"T1_933_P1","B03",405,0.09,"1","933","1",TRUE,"2","3","C11R1",50,50
"T1_933_P1","B04",405,0.02,"1","933","1",TRUE,"2","4","C11R1",50,50
"T1_933_P1","B05",405,0.28,"1","933","1",TRUE,"2","5","C11R1",50,50
"T1_933_P1","B06",405,0.248,"1","933","1",TRUE,"2","6","C11R1",50,50
"T1_933_P1","B07",405,0.277,"1","933","1",TRUE,"2","7","C11R1",50,50
"T1_933_P1","B08",405,0.002,"1","933","1",TRUE,"2","8","C11R1",50,50
"T1_933_P1","B09",405,0.001,"1","933","1",TRUE,"2","9","C11R1",50,50
"T1_933_P1","B10",405,0.34,"1","933","1",TRUE,"2","1","C8R4",50,50
"T1_933_P1","B11",405,0.29,"1","933","1",TRUE,"2","2","C8R4",50,50
