"Plate","Well","Wavelength","Abs","Transfer","Layout","MixPlate","MixIsolate","Isolate1","Isolate2","Community","Isolate1Freq","Isolate2Freq"
"T1_13A_P1","A01",340,0.65,"1","13A","1",TRUE,"1","1","C11R2","50","50"
"T1_13A_P1","A02",340,0.514,"1","13A","1",TRUE,"1","2","C11R2","50","50"
"T1_13A_P1","A03",340,0.516,"1","13A","1",TRUE,"1","3","C11R2","50","50"
"T1_13A_P1","A04",340,0.404,"1","13A","1",TRUE,"1","4","C11R2","50","50"
"T1_13A_P1","A05",340,0.572,"1","13A","1",TRUE,"1","5","C11R2","50","50"
"T1_13A_P1","A06",340,0.676,"1","13A","1",TRUE,"1","6","C11R2","50","50"
"T1_13A_P1","A07",340,0.611,"1","13A","1",TRUE,"1","7","C11R2","50","50"
"T1_13A_P1","A08",340,0.5,"1","13A","1",TRUE,"1","8","C11R2","50","50"
"T1_13A_P1","A09",340,0.576,"1","13A","1",TRUE,"1","9","C11R2","50","50"
"T1_13A_P1","A10",340,0.739,"1","13A","1",TRUE,"1","10","C11R2","50","50"
"T1_13A_P1","A11",340,0.308,"1","13A","1",TRUE,"1","11","C11R2","50","50"
"T1_13A_P1","A12",340,0.468,"1","13A","1",TRUE,"1","12","C11R2","50","50"
"T1_13A_P1","B01",340,0.517,"1","13A","1",TRUE,"2","1","C11R2","50","50"
"T1_13A_P1","B02",340,0.014,"1","13A","1",TRUE,"2","2","C11R2","50","50"
"T1_13A_P1","B03",340,0.286,"1","13A","1",TRUE,"2","3","C11R2","50","50"
"T1_13A_P1","B04",340,0.422,"1","13A","1",TRUE,"2","4","C11R2","50","50"
"T1_13A_P1","B05",340,0.307,"1","13A","1",TRUE,"2","5","C11R2","50","50"
"T1_13A_P1","B06",340,0.432,"1","13A","1",TRUE,"2","6","C11R2","50","50"
"T1_13A_P1","B07",340,0.282,"1","13A","1",TRUE,"2","7","C11R2","50","50"
"T1_13A_P1","B08",340,0.012,"1","13A","1",TRUE,"2","8","C11R2","50","50"
"T1_13A_P1","B09",340,0.015,"1","13A","1",TRUE,"2","9","C11R2","50","50"
"T1_13A_P1","B10",340,0.119,"1","13A","1",TRUE,"2","10","C11R2","50","50"
"T1_13A_P1","B11",340,0.427,"1","13A","1",TRUE,"2","11","C11R2","50","50"
"T1_13A_P1","B12",340,0.281,"1","13A","1",TRUE,"2","12","C11R2","50","50"
"T1_13A_P1","C01",340,0.605,"1","13A","1",TRUE,"3","1","C11R2","50","50"
"T1_13A_P1","C02",340,0.288,"1","13A","1",TRUE,"3","2","C11R2","50","50"
"T1_13A_P1","C03",340,0.38,"1","13A","1",TRUE,"3","3","C11R2","50","50"
"T1_13A_P1","C04",340,0.394,"1","13A","1",TRUE,"3","4","C11R2","50","50"
"T1_13A_P1","C05",340,0.36,"1","13A","1",TRUE,"3","5","C11R2","50","50"
"T1_13A_P1","C06",340,0.394,"1","13A","1",TRUE,"3","6","C11R2","50","50"
"T1_13A_P1","C07",340,0.351,"1","13A","1",TRUE,"3","7","C11R2","50","50"
"T1_13A_P1","C08",340,0.295,"1","13A","1",TRUE,"3","8","C11R2","50","50"
"T1_13A_P1","C09",340,0.391,"1","13A","1",TRUE,"3","9","C11R2","50","50"
"T1_13A_P1","C10",340,0.363,"1","13A","1",TRUE,"3","10","C11R2","50","50"
"T1_13A_P1","C11",340,0.41,"1","13A","1",TRUE,"3","11","C11R2","50","50"
"T1_13A_P1","C12",340,0.341,"1","13A","1",TRUE,"3","12","C11R2","50","50"
"T1_13A_P1","D01",340,0.471,"1","13A","1",TRUE,"4","1","C11R2","50","50"
"T1_13A_P1","D02",340,0.45,"1","13A","1",TRUE,"4","2","C11R2","50","50"
"T1_13A_P1","D03",340,0.384,"1","13A","1",TRUE,"4","3","C11R2","50","50"
"T1_13A_P1","D04",340,0.439,"1","13A","1",TRUE,"4","4","C11R2","50","50"
"T1_13A_P1","D05",340,0.436,"1","13A","1",TRUE,"4","5","C11R2","50","50"
"T1_13A_P1","D06",340,0.406,"1","13A","1",TRUE,"4","6","C11R2","50","50"
"T1_13A_P1","D07",340,0.377,"1","13A","1",TRUE,"4","7","C11R2","50","50"
"T1_13A_P1","D08",340,0.414,"1","13A","1",TRUE,"4","8","C11R2","50","50"
"T1_13A_P1","D09",340,0.438,"1","13A","1",TRUE,"4","9","C11R2","50","50"
"T1_13A_P1","D10",340,0.437,"1","13A","1",TRUE,"4","10","C11R2","50","50"
"T1_13A_P1","D11",340,0.432,"1","13A","1",TRUE,"4","11","C11R2","50","50"
"T1_13A_P1","D12",340,0.445,"1","13A","1",TRUE,"4","12","C11R2","50","50"
"T1_13A_P1","E01",340,0.696,"1","13A","1",TRUE,"5","1","C11R2","50","50"
"T1_13A_P1","E02",340,0.321,"1","13A","1",TRUE,"5","2","C11R2","50","50"
"T1_13A_P1","E03",340,0.372,"1","13A","1",TRUE,"5","3","C11R2","50","50"
"T1_13A_P1","E04",340,0.434,"1","13A","1",TRUE,"5","4","C11R2","50","50"
"T1_13A_P1","E05",340,0.358,"1","13A","1",TRUE,"5","5","C11R2","50","50"
"T1_13A_P1","E06",340,0.427,"1","13A","1",TRUE,"5","6","C11R2","50","50"
"T1_13A_P1","E07",340,0.365,"1","13A","1",TRUE,"5","7","C11R2","50","50"
"T1_13A_P1","E08",340,0.306,"1","13A","1",TRUE,"5","8","C11R2","50","50"
"T1_13A_P1","E09",340,0.366,"1","13A","1",TRUE,"5","9","C11R2","50","50"
"T1_13A_P1","E10",340,0.361,"1","13A","1",TRUE,"5","10","C11R2","50","50"
"T1_13A_P1","E11",340,0.425,"1","13A","1",TRUE,"5","11","C11R2","50","50"
"T1_13A_P1","E12",340,0.349,"1","13A","1",TRUE,"5","12","C11R2","50","50"
"T1_13A_P1","F01",340,0.704,"1","13A","1",TRUE,"6","1","C11R2","50","50"
"T1_13A_P1","F02",340,0.46,"1","13A","1",TRUE,"6","2","C11R2","50","50"
"T1_13A_P1","F03",340,0.407,"1","13A","1",TRUE,"6","3","C11R2","50","50"
"T1_13A_P1","F04",340,0.411,"1","13A","1",TRUE,"6","4","C11R2","50","50"
