"Plate","Well","Wavelength","Abs","Transfer","Layout","MixPlate","MixIsolate","Isolate1","Isolate2","Community","Isolate1Freq","Isolate2Freq"
"T1_75_P1","A01",340,0.43,"1","75_","1",TRUE,"1","1","C1R7","50","50"
"T1_75_P1","A02",340,0.437,"1","75_","1",TRUE,"1","2","C1R7","50","50"
"T1_75_P1","A03",340,0.452,"1","75_","1",TRUE,"1","3","C1R7","50","50"
"T1_75_P1","A04",340,0.439,"1","75_","1",TRUE,"1","4","C1R7","50","50"
"T1_75_P1","A05",340,0.456,"1","75_","1",TRUE,"1","5","C1R7","50","50"
"T1_75_P1","A06",340,0.295,"1","75_","1",TRUE,"1","6","C1R7","50","50"
"T1_75_P1","A07",340,0.48,"1","75_","1",TRUE,"1","7","C1R7","50","50"
"T1_75_P1","A08",340,0.779,"1","75_","1",TRUE,"1","1","C11R5","50","50"
"T1_75_P1","A09",340,0.494,"1","75_","1",TRUE,"1","2","C11R5","50","50"
"T1_75_P1","A10",340,0.682,"1","75_","1",TRUE,"1","3","C11R5","50","50"
"T1_75_P1","A11",340,0.485,"1","75_","1",TRUE,"1","4","C11R5","50","50"
"T1_75_P1","A12",340,0.695,"1","75_","1",TRUE,"1","5","C11R5","50","50"
"T1_75_P1","B01",340,0.438,"1","75_","1",TRUE,"2","1","C1R7","50","50"
"T1_75_P1","B02",340,0.365,"1","75_","1",TRUE,"2","2","C1R7","50","50"
"T1_75_P1","B03",340,0.365,"1","75_","1",TRUE,"2","3","C1R7","50","50"
"T1_75_P1","B04",340,0.361,"1","75_","1",TRUE,"2","4","C1R7","50","50"
"T1_75_P1","B05",340,0.366,"1","75_","1",TRUE,"2","5","C1R7","50","50"
"T1_75_P1","B06",340,0.325,"1","75_","1",TRUE,"2","6","C1R7","50","50"
"T1_75_P1","B07",340,0.444,"1","75_","1",TRUE,"2","7","C1R7","50","50"
"T1_75_P1","B08",340,0.456,"1","75_","1",TRUE,"2","1","C11R5","50","50"
"T1_75_P1","B09",340,0.458,"1","75_","1",TRUE,"2","2","C11R5","50","50"
"T1_75_P1","B10",340,0.45,"1","75_","1",TRUE,"2","3","C11R5","50","50"
