MixtureName,User,Treatment,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1Colony,Isolate2Colony,Dilution
CYC_control_50_50_AB,CYC,control,0.5,0.5,A,B,5,6,-5
CYC_control_95_5_AB,CYC,control,0.95,0.05,A,B,9,2,-5
CYC_control_50_50_AC,CYC,control,0.5,0.5,A,C,6,19,-5
CYC_control_95_5_AC,CYC,control,0.95,0.05,A,C,16,5,-5
CYC_control_50_50_AD,CYC,control,0.5,0.5,A,D,5,24,-5
CYC_control_95_5_AD,CYC,control,0.95,0.05,A,D,14,5,-5
CYC_control_50_50_BC,CYC,control,0.5,0.5,B,C,7,51,-5
CYC_control_95_5_BC,CYC,control,0.95,0.05,B,C,11,5,-5
CYC_control_50_50_BD,CYC,control,0.5,0.5,B,D,6,32,-5
CYC_control_95_5_BD,CYC,control,0.95,0.05,B,D,21,5,-5
CYC_control_50_50_CD,CYC,control,0.5,0.5,C,D,300,18,-5
CYC_control_95_5_CD,CYC,control,0.95,0.05,C,D,34,1,-5
