id,seq,genus
1.2.A.1,259,Citrobacter
1.2.A.3,428,Pseudomonas
1.2.A.5,364,Serratia
1.2.B.6,432,Pseudomonas
1.4.A.1,267,Pseudomonas
1.4.A.3,269,Enterobacter
1.4.A.4,434,Pseudomonas
1.4.A.5,435,Citrobacter
1.4.B.4,270,Citrobacter
1.6.A.1,272,Pseudomonas
1.6.A.2,273,Enterobacter
1.6.A.4,274,Pseudomonas
1.6.A.5,438,Serratia
1.6.A.6,439,Citrobacter
1.7.A.1,440,Enterobacter
1.7.A.1.2,441,Pseudomonas
1.7.A.3,283,Enterobacter
1.7.A.4,284,Serratia
1.7.A.5,442,Enterobacter
1.7.B.3,286,Citrobacter
1.7.B.4,287,Raoultella
2.6.A.1,276,Enterobacter
2.6.A.2,277,Raoultella
2.6.A.3,278,Citrobacter
2.6.A.5,NA,NA
2.4.Ent,NA,Enterobacter
2.4.Rlt,NA,Raoultella
2.4.Psd,NA,Pseudomonas 
2.4.Cit,NA,Citrobacter
2.8.A.1,288,Raoultella
2.8.A.2,289,Citrobacter
2.8.A.3,290,Pseudomonas
2.8.B.2,444,Pseudomonas
4.1.A.1,294,Pseudomonas
4.1.A.2,295,Klebsiella
4.1.B.4,302,Delftia
7.1.A.1,303,Enterobacter
7.1.A.2,304,Pseudomonas
7.1.A.3,305,Klebsiella
7.1.B.2,308,Enterobacter
8.2.A.1,310,Klebsiella
8.2.A.2,311,Klebsiella
8.4.A.1,316,Pseudomonas
8.4.A.2,317,Klebsiella
8.4.B.2,446,Pseudomonas
8.5.A.1,320,Enterobacter
8.5.A.2,321,Pseudomonas
8.5.A.3,322,Klebsiella
8.5.B.2,448,Klebsiella
8.5.B.3,449,Pseudomonas
8.5.C.5,325,Pseudomonas
10.2.A.1,326,Pseudomonas
10.2.A.2,327,Enterobacter
10.2.C.4,NA,NA
11.1.A.1,335,Pseudomonas
11.1.A.2,452,Achromobacter
11.1.A.3,336,Acinetobacter
11.1.A.4,332,Enterobacter
11.1.B.1,338,Enterobacter
11.1.B.3,340,Raoultella
11.1.C.1,461,Raoultella
11.1.C.2,341,Achromobacter
11.1.C.3,342,Delftia
11.2.A.1,343,Aeromonas
11.2.A.2,453,Acinetobacter
11.2.A.3,344,Enterobacter
11.2.A.3.2,345,Raoultella
11.2.B.1,346,Escherichia/Shigella
11.2.B.2,280,Enterobacter
11.2.B.3,348,Raoultella
11.2.B.4.1,454,Acinetobacter
11.2.B.4.2,455,Stenotrophomonas
11.2.B.6,350,Pseudomonas
11.2.B.7,458,Serratia
11.2.B.8.2,460,Enterobacter
11.2.B.9,NA,NA
11.5.A.1,352,Pseudomonas
11.5.A.1.2,353,Raoultella
11.5.B.1,355,Pseudomonas
11.5.B.2,462,Pseudomonas
11.5.B.3,356,Raoultella
azo.a1,419,Pseudomonas
11.6.A.1,NA,NA
11.6.A.1.2,357,Pseudomonas
11.6.A.2,359,Staphylococcus
11.6.A.3,358,Raoultella
11.6.A.5,360,Klebsiella
11.6.A.7,NA,NA
JVN1,370,Citrobacter
JVN2,371,Enterobacter
JVN3,372,Citrobacter
JVN4,373,Citrobacter
JVN5,374,Bacillus
JVN6,375,Citrobacter
JVN7,376,Raoultella
JVN8,377,Enterobacter
JVN9,378,Citrobacter
JVN10,379,Enterobacter
JVN11,380,Enterobacter
JVN12,381,Raoultella
JVN13,382,Enterobacter
JVN14,383,Pseudomonas
JVN15,384,Enterobacter
JVN16,385,Enterobacter
JVN17,386,Enterobacter
JVN18,387,Kosakonia
JVN19,388,Enterobacter
JVN20,389,Pseudomonas
JVN21,390,Pantoea
JVN22,391,Enterobacter
JVN23,392,Pseudomonas
JVN24,393,Enterobacter
JVN25,394,Enterobacter
JVN26,395,Pantoea
JVN27,396,Raoultella
JVN28,397,Enterobacter
JVN29,398,Thermosulfurimonas
JVN30,399,Pseudomonas
JVN31,400,Bacillus
JVN32,401,Staphylococcus
JVN33,402,Bacillus
JVN34,403,Enterobacter
JVN35,404,Pseudomonas
JVN36,405,Enterobacter
JVN37,406,Pseudomonas
JVN38,407,Smaragdicoccus
JVN39,408,Bacillus
JVN40,409,Enterobacter
JVN41,410,Enterobacter
JVN42,411,Lelliottia
JVN44,413,Bacillus
JVN46,415,Pseudomonas
