"Batch","Transfer","Community","Isolate","ColonyCount","DilutionFactor"
"B2","T0","C10R2","1",192,4
"B2","T0","C10R2","2",657,4
"B2","T0","C10R2","3",395,4
"B2","T0","C2R6","1",234,4
"B2","T0","C2R6","2",327,4
"B2","T0","C2R6","3",714,4
"B2","T0","C2R6","4",404,4
"B2","T0","C2R8","1",359,4
"B2","T0","C2R8","2",553,4
"B2","T0","C2R8","3",170,4
"B2","T0","C2R8","4",293,4
"B2","T0","C7R1","1",369,4
"B2","T0","C7R1","2",374,4
"B2","T0","C7R1","3",304,4
"B2","T0","C7R1","4",236,4
"B2","T0","C8R4","1",197,4
"B2","T0","C8R4","2",214,4
"B2","T0","C8R4","3",240,4
"C","T0","C11R1","1",11,5
"C","T0","C11R1","2",46,5
"C","T0","C11R1","3",71,5
"C","T0","C11R1","4",48,5
"C","T0","C11R1","5",62,5
"C","T0","C11R1","6",98,5
"C","T0","C11R1","7",89,5
"C","T0","C11R1","8",61,5
"C","T0","C11R1","9",86,5
"C2","T0","C11R2","1",20,5
"C2","T0","C11R2","10",57,5
"C2","T0","C11R2","11",52,5
"C2","T0","C11R2","12",50,5
"C2","T0","C11R2","13",21,5
"C2","T0","C11R2","2",78,5
"C2","T0","C11R2","3",42,5
"C2","T0","C11R2","4",58,5
"C2","T0","C11R2","5",49,5
"C2","T0","C11R2","6",62,5
"C2","T0","C11R2","7",48,5
"C2","T0","C11R2","8",83,5
"C2","T0","C11R2","9",61,5
"D","T0","C11R5","1",30,5
"D","T0","C11R5","2",74,5
"D","T0","C11R5","3",19,5
"D","T0","C11R5","4",72,5
"D","T0","C11R5","5",10,5
"D","T0","C1R2","1",36,5
"D","T0","C1R2","2",41,5
"D","T0","C1R2","3",36,5
"D","T0","C1R2","4",11,5
"D","T0","C1R4","1",23,5
"D","T0","C1R4","2",61,5
"D","T0","C1R4","3",67,5
"D","T0","C1R4","4",43,5
"D","T0","C1R4","5",51,5
"D","T0","C1R6","1",27,5
"D","T0","C1R6","2",75,5
"D","T0","C1R6","3",36,5
"D","T0","C1R6","4",71,5
"D","T0","C1R6","5",51,5
"D","T0","C1R7","1",58,5
"D","T0","C1R7","2",33,5
"D","T0","C1R7","3",65,5
"D","T0","C1R7","4",94,5
"D","T0","C1R7","5",54,5
"D","T0","C1R7","6",76,5
"D","T0","C1R7","7",47,5
"D","T0","C4R1","1",12,5
"D","T0","C4R1","2",43,5
"D","T0","C4R1","3",16,5
