Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Experiment,Result,InteractionType,From,To,ExpID1,ExpID2,Family1,Family2,NucleotideDifference,SequenceLength,Isolate1OD405,Isolate1OD620,Isolate2OD405,Isolate2OD620,OD405Difference,OD620Difference,Batch,Transfer,FileDirectory,FileName,ColonyCount,ColonyCount1,ColonyCount2,Hard,DilutionFactor,CoexistenceOD
C1R2,2,4,5,95,Transitivity_D,0,Coexistence,2,4,1.2.A.3,1.2.B.6,Pseudomonadaceae,Pseudomonadaceae,12,904,0.606,0.199333333,0.44,0.157666667,0.166,0.041666667,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_4_2.tiff,D_T8_C1R2_5-95_4_2,150,90,60,1,,
C1R2,2,4,50,50,Transitivity_D,0,Coexistence,2,4,1.2.A.3,1.2.B.6,Pseudomonadaceae,Pseudomonadaceae,12,904,0.606,0.199333333,0.44,0.157666667,0.166,0.041666667,D,T8,transtivity-D/pairs/D_T8_C1R2_50-50_2_4.tiff,D_T8_C1R2_50-50_2_4,104,66,38,1,,
C1R2,1,3,95,5,Transitivity_D,0,Coexistence,1,3,1.2.A.1,1.2.A.5,Enterobacteriaceae,Enterobacteriaceae,25,660,0.278666667,0.139333333,0.319333333,0.157,0.040666667,0.017666667,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_1_3.tiff,D_T8_C1R2_5-95_1_3,117,105,12,0,,
C1R2,2,4,95,5,Transitivity_D,0,Coexistence,2,4,1.2.A.3,1.2.B.6,Pseudomonadaceae,Pseudomonadaceae,12,904,0.606,0.199333333,0.44,0.157666667,0.166,0.041666667,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_2_4.tiff,D_T8_C1R2_5-95_2_4,83,71,12,1,,
C1R4,1,3,50,50,Transitivity_D,0,Coexistence,1,3,1.4.A.1,1.4.A.4,Pseudomonadaceae,Pseudomonadaceae,13,666,0.382,0.153333333,-0.000333333,0,0.382333333,0.153333333,D,T8,transtivity-D/pairs/D_T8_C1R4_50-50_1_3.tiff,D_T8_C1R4_50-50_1_3,65,61,4,0,,
C1R4,1,3,95,5,Transitivity_D,0,Coexistence,1,3,1.4.A.1,1.4.A.4,Pseudomonadaceae,Pseudomonadaceae,13,666,0.382,0.153333333,-0.000333333,0,0.382333333,0.153333333,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_1_3.tiff,D_T8_C1R4_5-95_1_3,60,53,7,0,,
C1R6,3,4,5,95,Transitivity_D,0,Coexistence,3,4,1.6.A.4,1.6.A.5,Pseudomonadaceae,Enterobacteriaceae,104,809,0.326333333,0.140333333,0.295666667,0.147333333,0.030666667,0.007,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_4_3.tiff,D_T8_C1R6_5-95_4_3,134,1,133,0,,
C1R6,3,4,50,50,Transitivity_D,0,Coexistence,3,4,1.6.A.4,1.6.A.5,Pseudomonadaceae,Enterobacteriaceae,104,809,0.326333333,0.140333333,0.295666667,0.147333333,0.030666667,0.007,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_3_4.tiff,D_T8_C1R6_50-50_3_4,121,57,64,0,,
C1R6,4,5,50,50,Transitivity_D,0,Coexistence,4,5,1.6.A.5,1.6.A.6,Enterobacteriaceae,Enterobacteriaceae,29,785,0.295666667,0.147333333,0.279333333,0.141333333,0.016333333,0.006,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_4_5.tiff,D_T8_C1R6_50-50_4_5,84,2,82,0,,
C1R6,3,4,95,5,Transitivity_D,0,Coexistence,3,4,1.6.A.4,1.6.A.5,Pseudomonadaceae,Enterobacteriaceae,104,809,0.326333333,0.140333333,0.295666667,0.147333333,0.030666667,0.007,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_3_4.tiff,D_T8_C1R6_5-95_3_4,101,6,95,0,,
C1R6,4,5,95,5,Transitivity_D,0,Coexistence,4,5,1.6.A.5,1.6.A.6,Enterobacteriaceae,Enterobacteriaceae,29,785,0.295666667,0.147333333,0.279333333,0.141333333,0.016333333,0.006,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_4_5.tiff,D_T8_C1R6_5-95_4_5,114,103,11,0,,
C1R7,1,7,5,95,Transitivity_D,0,Coexistence,1,7,1.7.A.1,1.7.B.4,Enterobacteriaceae,Enterobacteriaceae,8,530,0.326,0.158,0.374333333,0.200333333,0.048333333,0.042333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_7_1.tiff,D_T8_C1R7_5-95_7_1,128,18,110,0,,
C1R7,3,5,5,95,Transitivity_D,0,Coexistence,3,5,1.7.A.3,1.7.A.5,Enterobacteriaceae,Enterobacteriaceae,9,654,0.286333333,0.148,0.299,0.154,0.012666667,0.006,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_5_3.tiff,D_T8_C1R7_5-95_5_3,36,9,27,1,,
C1R7,3,6,5,95,Transitivity_D,0,Coexistence,3,6,1.7.A.3,1.7.B.3,Enterobacteriaceae,Enterobacteriaceae,11,671,0.286333333,0.148,0.249333333,0.121333333,0.037,0.026666667,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_6_3.tiff,D_T8_C1R7_5-95_6_3,56,26,30,1,,
C1R7,4,5,5,95,Transitivity_D,0,Coexistence,4,5,1.7.A.4,1.7.A.5,Enterobacteriaceae,Enterobacteriaceae,17,653,0.312,0.154,0.299,0.154,0.013,0,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_5_4.tiff,D_T8_C1R7_5-95_5_4,80,43,37,0,,
