Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Experiment,Result,InteractionType,From,To,ExpID1,ExpID2,Family1,Family2,NucleotideDifference,SequenceLength,Isolate1OD405,Isolate1OD620,Isolate2OD405,Isolate2OD620,OD405Difference,OD620Difference,Batch,Transfer,FileDirectory,FileName,ColonyCount,ColonyCount1,ColonyCount2
C1R2,1,2,5,95,Transitivity_D,1,Competition exclusion,1,2,1.2.A.1,1.2.A.3,Enterobacteriaceae,Pseudomonadaceae,81,646,0.278666667,0.139333333,0.606,0.199333333,0.327333333,0.06,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_2_1.tiff,D_T8_C1R2_5-95_2_1,51,51,0
C1R2,1,2,50,50,Transitivity_D,1,Competition exclusion,1,2,1.2.A.1,1.2.A.3,Enterobacteriaceae,Pseudomonadaceae,81,646,0.278666667,0.139333333,0.606,0.199333333,0.327333333,0.06,D,T8,transtivity-D/pairs/D_T8_C1R2_50-50_1_2.tiff,D_T8_C1R2_50-50_1_2,53,53,0
C1R2,1,2,95,5,Transitivity_D,1,Competition exclusion,1,2,1.2.A.1,1.2.A.3,Enterobacteriaceae,Pseudomonadaceae,81,646,0.278666667,0.139333333,0.606,0.199333333,0.327333333,0.06,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_1_2.tiff,D_T8_C1R2_5-95_1_2,84,84,0
C1R2,1,3,5,95,Transitivity_D,3,Competition exclusion,3,1,1.2.A.1,1.2.A.5,Enterobacteriaceae,Enterobacteriaceae,25,660,0.278666667,0.139333333,0.319333333,0.157,0.040666667,0.017666667,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_3_1.tiff,D_T8_C1R2_5-95_3_1,270,0,270
C1R2,1,3,50,50,Transitivity_D,3,Competition exclusion,3,1,1.2.A.1,1.2.A.5,Enterobacteriaceae,Enterobacteriaceae,25,660,0.278666667,0.139333333,0.319333333,0.157,0.040666667,0.017666667,D,T8,transtivity-D/pairs/D_T8_C1R2_50-50_1_3.tiff,D_T8_C1R2_50-50_1_3,203,0,203
C1R2,1,4,5,95,Transitivity_D,1,Competition exclusion,1,4,1.2.A.1,1.2.B.6,Enterobacteriaceae,Pseudomonadaceae,76,647,0.278666667,0.139333333,0.44,0.157666667,0.161333333,0.018333333,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_4_1.tiff,D_T8_C1R2_5-95_4_1,37,37,0
C1R2,1,4,50,50,Transitivity_D,1,Competition exclusion,1,4,1.2.A.1,1.2.B.6,Enterobacteriaceae,Pseudomonadaceae,76,647,0.278666667,0.139333333,0.44,0.157666667,0.161333333,0.018333333,D,T8,transtivity-D/pairs/D_T8_C1R2_50-50_1_4.tiff,D_T8_C1R2_50-50_1_4,69,69,0
C1R2,1,4,95,5,Transitivity_D,1,Competition exclusion,1,4,1.2.A.1,1.2.B.6,Enterobacteriaceae,Pseudomonadaceae,76,647,0.278666667,0.139333333,0.44,0.157666667,0.161333333,0.018333333,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_1_4.tiff,D_T8_C1R2_5-95_1_4,105,105,0
C1R2,2,3,5,95,Transitivity_D,3,Competition exclusion,3,2,1.2.A.3,1.2.A.5,Pseudomonadaceae,Enterobacteriaceae,117,972,0.606,0.199333333,0.319333333,0.157,0.286666667,0.042333333,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_3_2.tiff,D_T8_C1R2_5-95_3_2,169,0,169
C1R2,2,3,50,50,Transitivity_D,3,Competition exclusion,3,2,1.2.A.3,1.2.A.5,Pseudomonadaceae,Enterobacteriaceae,117,972,0.606,0.199333333,0.319333333,0.157,0.286666667,0.042333333,D,T8,transtivity-D/pairs/D_T8_C1R2_50-50_2_3.tiff,D_T8_C1R2_50-50_2_3,168,0,168
