Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,DilutionFactor,ColonyCount,ColonyCount1,ColonyCount2
C11R1,1,2,50,50,4,,,
C11R1,1,2,50,50,5,,,
C11R1,1,3,50,50,4,,,
C11R1,1,3,50,50,5,,,
C11R1,1,4,5,95,5,20,0,20
C11R1,1,4,50,50,5,,,
C11R1,1,4,95,5,5,13,0,13
C11R1,2,9,50,50,2,,,
C11R1,2,9,50,50,3,17,8,9
C11R1,2,9,50,50,4,2,2,0
C11R1,2,9,50,50,5,0,0,0
C11R1,2,9,95,5,2,104,77,27
C11R1,2,9,95,5,3,8,7,1
C11R1,2,9,95,5,4,2,1,1
C11R1,2,9,95,5,5,0,0,0
C11R1,8,9,5,95,2,,,
C11R1,8,9,5,95,3,,,
C11R1,8,9,5,95,4,,,
C11R1,8,9,5,95,5,0,0,0
C11R2,2,3,95,5,5,7,1,6
C11R2,2,9,50,50,2,,,
C11R2,2,9,50,50,3,72,39,33
C11R2,2,9,50,50,4,,,
C11R2,2,9,50,50,5,0,0,0
C11R2,2,10,50,50,2,,,
C11R2,2,10,50,50,3,,,
C11R2,2,10,50,50,4,9,4,5
C11R2,2,10,50,50,5,,,
C11R2,3,5,5,95,5,80,9,71
C11R2,6,11,50,50,5,,,
C11R2,10,12,95,5,5,22,0,22
C1R2,3,4,5,95,5,47,47,0
C1R4,2,4,5,95,5,,,
C1R4,2,4,50,50,5,,,
C1R4,2,4,95,5,5,,,
C1R4,2,5,5,95,5,,,
C1R4,2,5,50,50,5,,,
C1R4,2,5,95,5,5,,,
C1R4,3,5,5,95,5,,,
C1R4,4,5,5,95,5,,,
C1R4,4,5,50,50,5,,,
C1R4,4,5,95,5,5,,,
C1R6,1,2,5,95,5,,,
C1R6,2,5,50,50,5,,,
C1R6,2,5,95,5,5,,,
C7R1,3,4,5,95,5,,,
C7R1,3,4,50,50,5,,,
C7R1,3,4,95,5,5,,,
