Well ID,Name,Well,"485/20,528/20"
SPL1,,A1,26
SPL2,,B1,75
SPL3,,C1,47
SPL4,,D1,55
SPL5,,E1,42
SPL6,,F1,61
SPL7,,G1,74
SPL8,,H1,1687
SPL9,,A2,93
SPL10,,B2,95
SPL11,,C2,74
SPL12,,D2,73
SPL13,,E2,83
SPL14,,F2,81
SPL15,,G2,90
SPL16,,H2,156
SPL17,,A3,71
SPL18,,B3,83
SPL19,,C3,77
SPL20,,D3,86
SPL21,,E3,80
SPL22,,F3,82
SPL23,,G3,81
SPL24,,H3,92
SPL25,,A4,39
SPL26,,B4,54
SPL27,,C4,74
SPL28,,D4,70
SPL29,,E4,73
SPL30,,F4,75
SPL31,,G4,114
SPL32,,H4,43
SPL33,,A5,44
SPL34,,B5,83
SPL35,,C5,76
SPL36,,D5,76
SPL37,,E5,58
SPL38,,F5,61
SPL39,,G5,89
SPL40,,H5,27
SPL41,,A6,63
SPL42,,B6,88
SPL43,,C6,77
SPL44,,D6,53
SPL45,,E6,53
SPL46,,F6,60
SPL47,,G6,65
SPL48,,H6,10
SPL49,,A7,54
SPL50,,B7,73
SPL51,,C7,93
SPL52,,D7,87
SPL53,,E7,78
SPL54,,F7,63
SPL55,,G7,96
SPL56,,H7,1789
SPL57,,A8,48
SPL58,,B8,83
SPL59,,C8,56
SPL60,,D8,77
SPL61,,E8,71
SPL62,,F8,67
SPL63,,G8,97
SPL64,,H8,10
SPL65,,A9,79
SPL66,,B9,107
SPL67,,C9,38
SPL68,,D9,66
SPL69,,E9,59
SPL70,,F9,40
SPL71,,G9,59
SPL72,,H9,11
SPL73,,A10,63
SPL74,,B10,43
SPL75,,C10,79
SPL76,,D10,61
SPL77,,E10,61
SPL78,,F10,72
SPL79,,G10,68
SPL80,,H10,11
SPL81,,A11,26
SPL82,,B11,61
SPL83,,C11,58
SPL84,,D11,71
SPL85,,E11,52
SPL86,,F11,70
SPL87,,G11,107
SPL88,,H11,11
SPL89,,A12,38
SPL90,,B12,80
SPL91,,C12,74
SPL92,,D12,75
SPL93,,E12,67
SPL94,,F12,88
SPL95,,G12,127
SPL96,,H12,11
