exp_id,Transfer,Type,ID,Well,Abundance
pair-random_pairs-10,0,consumer,1270,W0,500000.0
pair-random_pairs-10,0,consumer,1286,W0,500000.0
pair-random_pairs-10,0,consumer,1153,W1,500000.0
pair-random_pairs-10,0,consumer,1855,W1,500000.0
pair-random_pairs-10,0,consumer,946,W2,500000.0
pair-random_pairs-10,0,consumer,1816,W2,500000.0
pair-random_pairs-10,0,consumer,442,W3,500000.0
pair-random_pairs-10,0,consumer,1879,W3,500000.0
pair-random_pairs-10,0,consumer,761,W4,500000.0
pair-random_pairs-10,0,consumer,1985,W4,500000.0
pair-random_pairs-10,0,consumer,1548,W5,500000.0
pair-random_pairs-10,0,consumer,1809,W5,500000.0
pair-random_pairs-10,0,consumer,522,W6,500000.0
pair-random_pairs-10,0,consumer,1026,W6,500000.0
pair-random_pairs-10,0,consumer,916,W7,500000.0
pair-random_pairs-10,0,consumer,1438,W7,500000.0
pair-random_pairs-10,0,consumer,490,W8,500000.0
pair-random_pairs-10,0,consumer,1280,W8,500000.0
pair-random_pairs-10,0,consumer,908,W9,500000.0
pair-random_pairs-10,0,consumer,1181,W9,500000.0
pair-random_pairs-10,0,consumer,307,W10,500000.0
pair-random_pairs-10,0,consumer,1389,W10,500000.0
pair-random_pairs-10,0,consumer,1730,W11,500000.0
pair-random_pairs-10,0,consumer,1900,W11,500000.0
pair-random_pairs-10,0,consumer,24,W12,500000.0
pair-random_pairs-10,0,consumer,68,W12,500000.0
pair-random_pairs-10,0,consumer,1289,W13,500000.0
pair-random_pairs-10,0,consumer,1679,W13,500000.0
pair-random_pairs-10,0,consumer,791,W14,500000.0
pair-random_pairs-10,0,consumer,1170,W14,500000.0
pair-random_pairs-10,0,consumer,1391,W15,500000.0
pair-random_pairs-10,0,consumer,2074,W15,500000.0
pair-random_pairs-10,0,consumer,210,W16,500000.0
pair-random_pairs-10,0,consumer,1743,W16,500000.0
pair-random_pairs-10,0,consumer,513,W17,500000.0
pair-random_pairs-10,0,consumer,1862,W17,500000.0
pair-random_pairs-10,0,consumer,400,W18,500000.0
pair-random_pairs-10,0,consumer,1057,W18,500000.0
pair-random_pairs-10,0,consumer,1293,W19,500000.0
pair-random_pairs-10,0,consumer,2012,W19,500000.0
pair-random_pairs-10,0,consumer,271,W20,500000.0
pair-random_pairs-10,0,consumer,993,W20,500000.0
pair-random_pairs-10,0,consumer,524,W21,500000.0
pair-random_pairs-10,0,consumer,1927,W21,500000.0
pair-random_pairs-10,0,consumer,439,W22,500000.0
pair-random_pairs-10,0,consumer,2119,W22,500000.0
pair-random_pairs-10,0,consumer,631,W23,500000.0
pair-random_pairs-10,0,consumer,787,W23,500000.0
pair-random_pairs-10,0,consumer,932,W24,500000.0
pair-random_pairs-10,0,consumer,1557,W24,500000.0
pair-random_pairs-10,0,consumer,1003,W25,500000.0
pair-random_pairs-10,0,consumer,1386,W25,500000.0
pair-random_pairs-10,0,consumer,140,W26,500000.0
pair-random_pairs-10,0,consumer,414,W26,500000.0
pair-random_pairs-10,0,consumer,945,W27,500000.0
pair-random_pairs-10,0,consumer,1906,W27,500000.0
pair-random_pairs-10,0,consumer,282,W28,500000.0
pair-random_pairs-10,0,consumer,608,W28,500000.0
pair-random_pairs-10,0,consumer,15,W29,500000.0
pair-random_pairs-10,0,consumer,1134,W29,500000.0
pair-random_pairs-10,0,consumer,231,W30,500000.0
pair-random_pairs-10,0,consumer,1371,W30,500000.0
pair-random_pairs-10,0,consumer,385,W31,500000.0
pair-random_pairs-10,0,consumer,1093,W31,500000.0
pair-random_pairs-10,0,consumer,641,W32,500000.0
pair-random_pairs-10,0,consumer,693,W32,500000.0
pair-random_pairs-10,0,consumer,266,W33,500000.0
pair-random_pairs-10,0,consumer,1857,W33,500000.0
pair-random_pairs-10,0,consumer,1926,W34,500000.0
pair-random_pairs-10,0,consumer,1959,W34,500000.0
pair-random_pairs-10,0,consumer,619,W35,500000.0
pair-random_pairs-10,0,consumer,1327,W35,500000.0
pair-random_pairs-10,0,consumer,599,W36,500000.0
pair-random_pairs-10,0,consumer,1544,W36,500000.0
