exp_id,Transfer,Type,ID,Well,Abundance
quartet-random_isolates-1,0,consumer,39,W0,250000.0
quartet-random_isolates-1,0,consumer,328,W0,250000.0
quartet-random_isolates-1,0,consumer,1023,W0,250000.0
quartet-random_isolates-1,0,consumer,1098,W0,250000.0
quartet-random_isolates-1,0,consumer,294,W1,250000.0
quartet-random_isolates-1,0,consumer,1044,W1,250000.0
quartet-random_isolates-1,0,consumer,1085,W1,250000.0
quartet-random_isolates-1,0,consumer,1503,W1,250000.0
quartet-random_isolates-1,0,consumer,151,W2,250000.0
quartet-random_isolates-1,0,consumer,1766,W2,250000.0
quartet-random_isolates-1,0,consumer,1865,W2,250000.0
quartet-random_isolates-1,0,consumer,2020,W2,250000.0
quartet-random_isolates-1,0,consumer,541,W3,250000.0
quartet-random_isolates-1,0,consumer,1221,W3,250000.0
quartet-random_isolates-1,0,consumer,1960,W3,250000.0
quartet-random_isolates-1,0,consumer,2095,W3,250000.0
quartet-random_isolates-1,0,consumer,466,W4,250000.0
quartet-random_isolates-1,0,consumer,970,W4,250000.0
quartet-random_isolates-1,0,consumer,1566,W4,250000.0
quartet-random_isolates-1,0,consumer,1592,W4,250000.0
quartet-random_isolates-1,0,consumer,1085,W5,250000.0
quartet-random_isolates-1,0,consumer,1580,W5,250000.0
quartet-random_isolates-1,0,consumer,1896,W5,250000.0
quartet-random_isolates-1,0,consumer,2037,W5,250000.0
quartet-random_isolates-1,0,consumer,116,W6,250000.0
quartet-random_isolates-1,0,consumer,151,W6,250000.0
quartet-random_isolates-1,0,consumer,1256,W6,250000.0
quartet-random_isolates-1,0,consumer,1910,W6,250000.0
quartet-random_isolates-1,0,consumer,610,W7,250000.0
quartet-random_isolates-1,0,consumer,1047,W7,250000.0
quartet-random_isolates-1,0,consumer,1590,W7,250000.0
quartet-random_isolates-1,0,consumer,1886,W7,250000.0
quartet-random_isolates-1,0,consumer,91,W8,250000.0
quartet-random_isolates-1,0,consumer,185,W8,250000.0
quartet-random_isolates-1,0,consumer,1050,W8,250000.0
quartet-random_isolates-1,0,consumer,1078,W8,250000.0
quartet-random_isolates-1,0,consumer,275,W9,250000.0
quartet-random_isolates-1,0,consumer,1155,W9,250000.0
quartet-random_isolates-1,0,consumer,1328,W9,250000.0
quartet-random_isolates-1,0,consumer,1395,W9,250000.0
quartet-random_isolates-1,0,consumer,713,W10,250000.0
quartet-random_isolates-1,0,consumer,787,W10,250000.0
quartet-random_isolates-1,0,consumer,1347,W10,250000.0
quartet-random_isolates-1,0,consumer,1707,W10,250000.0
quartet-random_isolates-1,0,consumer,651,W11,250000.0
quartet-random_isolates-1,0,consumer,932,W11,250000.0
quartet-random_isolates-1,0,consumer,1287,W11,250000.0
quartet-random_isolates-1,0,consumer,1342,W11,250000.0
quartet-random_isolates-1,0,consumer,1163,W12,250000.0
quartet-random_isolates-1,0,consumer,1314,W12,250000.0
quartet-random_isolates-1,0,consumer,1450,W12,250000.0
quartet-random_isolates-1,0,consumer,1679,W12,250000.0
quartet-random_isolates-1,0,consumer,175,W13,250000.0
quartet-random_isolates-1,0,consumer,282,W13,250000.0
quartet-random_isolates-1,0,consumer,1047,W13,250000.0
quartet-random_isolates-1,0,consumer,1566,W13,250000.0
quartet-random_isolates-1,0,consumer,314,W14,250000.0
quartet-random_isolates-1,0,consumer,553,W14,250000.0
quartet-random_isolates-1,0,consumer,1775,W14,250000.0
quartet-random_isolates-1,0,consumer,2048,W14,250000.0
quartet-random_isolates-1,0,consumer,58,W15,250000.0
