MixtureName,Treatment,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted
OD_1_99_AB-27F_R,OD,0.01,0.99,A,B,0.97652745285425,0.02347254714575
OD_5_95_AB-27F_R,OD,0.05,0.95,A,B,0.974576325462765,0.0254236745372348
AM_1_99_AC-27F_R,AM,0.01,0.99,A,C,0.191462211389735,0.808537788610265
OD_5_95_AC-27F,OD,0.05,0.95,A,C,0.0689146259282999,0.9310853740717
OD_50_50_AC-27F_R,OD,0.5,0.5,A,C,0.200466321567179,0.799533678432822
OD_1_99_AC-27F_R,OD,0.01,0.99,A,C,0.195432386989073,0.804567613010927
AM_5_95_AD-27F,AM,0.05,0.95,A,D,0.0369050574481047,0.963094942551895
AM_1_99_AD-27F,AM,0.01,0.99,A,D,0,1
AM_5_95_AD-27F,AM,0.05,0.95,A,D,0.0369050574481047,0.963094942551895
OD_1_99_AD-27F,OD,0.01,0.99,A,D,0.0395417597300534,0.960458240269947
OD_50_50_AD-27F,OD,0.5,0.5,A,D,0.0378211380512904,0.96217886194871
OD_5_95_AD-27F_R,OD,0.05,0.95,A,D,0.127229421888132,0.872770578111868
AM_1_99_CD-27F,AM,0.01,0.99,C,D,0.0973755916129677,0.902624408387032
AM_5_95_CD-27F,AM,0.05,0.95,C,D,0.0473531530829195,0.95264684691708
OD_1_99_CD-27F,OD,0.01,0.99,C,D,0.0162026895868601,0.98379731041314
OD_5_95_CD-27F,OD,0.05,0.95,C,D,0.0502588438007313,0.949741156199269
