MixtureName,User,Treatment,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted
CYC_C11R1_50_50_12,CYC,C11R1,0.5,0.5,1,2,0.389602705866337,0.610397294133663
CYC_C11R1_50_50_13,CYC,C11R1,0.5,0.5,1,3,0.909269965796888,0.0907300342031118
CYC_C11R1_50_50_14,CYC,C11R1,0.5,0.5,1,4,0.118321882193531,0.881678117806469
CYC_C11R1_50_50_15,CYC,C11R1,0.5,0.5,1,5,0.19170207080652,0.80829792919348
CYC_C11R1_50_50_16,CYC,C11R1,0.5,0.5,1,6,0.939207896281603,0.0607921037183968
CYC_C11R1_50_50_18,CYC,C11R1,0.5,0.5,1,8,0.303361149678469,0.696638850321531
CYC_C11R1_50_50_19,CYC,C11R1,0.5,0.5,1,9,0.212494897899717,0.787505102100283
CYC_C11R1_95_5_82,CYC,C11R1,0.95,0.05,8,2,0.441190280608504,0.558809719391496
CYC_C11R1_50_50_23,CYC,C11R1,0.5,0.5,2,3,0.683210692252745,0.316789307747255
CYC_C11R1_50_50_24,CYC,C11R1,0.5,0.5,2,4,0.223778147559653,0.776221852440347
CYC_C11R1_50_50_25,CYC,C11R1,0.5,0.5,2,5,0.0265332244632232,0.973466775536777
CYC_C11R1_50_50_26,CYC,C11R1,0.5,0.5,2,6,0.924869663647542,0.0751303363524578
CYC_C11R1_50_50_28,CYC,C11R1,0.5,0.5,2,8,0.686875749820813,0.313124250179187
CYC_C11R1_50_50_29,CYC,C11R1,0.5,0.5,2,9,0.316348272036451,0.683651727963549
CYC_C11R1_95_5_14,CYC,C11R1,0.95,0.05,1,4,0.152925497675159,0.847074502324841
CYC_C11R1_95_5_41,CYC,C11R1,0.95,0.05,4,1,0.856471215745674,0.143528784254326
CYC_C11R1_95_5_23,CYC,C11R1,0.95,0.05,2,3,0.746531113264297,0.253468886735704
CYC_C11R1_95_5_24,CYC,C11R1,0.95,0.05,2,4,0.329759477143139,0.670240522856861
CYC_C11R1_95_5_25,CYC,C11R1,0.95,0.05,2,5,0.0268596330706188,0.973140366929381
CYC_C11R1_95_5_26,CYC,C11R1,0.95,0.05,2,6,0.922114947957883,0.0778850520421176
CYC_C11R1_95_5_28,CYC,C11R1,0.95,0.05,2,8,0.616895069020846,0.383104930979154
CYC_C11R1_95_5_29,CYC,C11R1,0.95,0.05,2,9,0.356620797613158,0.643379202386842
CYC_C11R1_95_5_92,CYC,C11R1,0.95,0.05,9,2,0.678171851329489,0.321828148670511
CYC_C11R1_95_5_98,CYC,C11R1,0.95,0.05,9,8,0.680900860398414,0.319099139601586
CYC_control_50_50_AB,CYC,control,0.5,0.5,A,B,0.480546147280025,0.519453852719975
CYC_control_50_50_AC,CYC,control,0.5,0.5,A,C,0.120806792356005,0.879193207643995
CYC_control_50_50_AD,CYC,control,0.5,0.5,A,D,0.165033021643423,0.834966978356577
CYC_control_50_50_BC,CYC,control,0.5,0.5,B,C,0.237043306356137,0.762956693643863
CYC_control_50_50_BD,CYC,control,0.5,0.5,B,D,0.332812790678688,0.667187209321313
CYC_control_50_50_CD,CYC,control,0.5,0.5,C,D,0.579207023938478,0.420792976061522
CYC_control_95_5_AB,CYC,control,0.95,0.05,A,B,0.767526700543133,0.232473299456868
CYC_control_95_5_AC,CYC,control,0.95,0.05,A,C,0.459574435859112,0.540425564140889
CYC_control_95_5_AD,CYC,control,0.95,0.05,A,D,0.58611700176552,0.41388299823448
CYC_control_95_5_BC,CYC,control,0.95,0.05,B,C,0.619159004089156,0.380840995910844
CYC_control_95_5_BD,CYC,control,0.95,0.05,B,D,0.716023450555696,0.283976549444304
CYC_control_95_5_CD,CYC,control,0.95,0.05,C,D,0.797655541163241,0.202344458836759
