MixtureName,Community,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
C11R2_5_95_2_9,C11R2,0.05,0.95,2,9,0.959200280130092,0.0407997198699081,0.911773845524604
C11R2_50_50_2_9,C11R2,0.5,0.5,2,9,0.912953579677105,0.0870464203228949,0.915982468702704
C11R2_95_5_2_9,C11R2,0.95,0.05,2,9,0.969881258745017,0.0301187412549834,0.911033810585926
C11R2_5_95_5_6,C11R2,0.05,0.95,5,6,1,0,0.89342357341696
C11R2_50_50_5_6,C11R2,0.5,0.5,5,6,1,0,0.89746465604566
C11R2_95_5_5_6,C11R2,0.95,0.05,5,6,1,0,0.87394623025525
C11R2_5_95_8_9,C11R2,0.05,0.95,8,9,1,0,0.628384311125302
C11R2_50_50_8_9,C11R2,0.5,0.5,8,9,1,0,0.586052478145996
C11R2_95_5_8_9,C11R2,0.95,0.05,8,9,1,0,0.618037062225514
C11R5_5_95_1_5,C11R5,0.05,0.95,1,5,0,1,0.420709985660736
C11R5_50_50_1_5,C11R5,0.5,0.5,1,5,0,1,0.967785257459142
C11R5_95_5_1_5,C11R5,0.95,0.05,1,5,0,1,0.818736348028478
C11R5_5_95_3_5,C11R5,0.05,0.95,3,5,0,1,0.973836826499204
C11R5_50_50_3_5,C11R5,0.5,0.5,3,5,0,1,0.979435382777509
C11R5_95_5_3_5,C11R5,0.95,0.05,3,5,0,1,0.955314879836088
C2R6_5_95_1_3,C2R6,0.05,0.95,1,3,0,1,0.98868410231435
C2R6_50_50_1_3,C2R6,0.5,0.5,1,3,1,0,0.897235827048128
C2R6_95_5_1_3,C2R6,0.95,0.05,1,3,1,0,0.500248068073715
C2R8_5_95_3_4,C2R8,0.05,0.95,3,4,0,1,0.960408842724182
C2R8_50_50_3_4,C2R8,0.5,0.5,3,4,1,0,0.966230542834329
C2R8_95_5_3_4,C2R8,0.95,0.05,3,4,1,0,0.983241308378737
C7R1_5_95_1_3,C7R1,0.05,0.95,1,3,1,0,0.982988760041401
C7R1_50_50_1_3,C7R1,0.5,0.5,1,3,1,0,0.948553495413946
C7R1_95_5_1_3,C7R1,0.95,0.05,1,3,1,0,0.98234599955679
C7R1_5_95_1_4,C7R1,0.05,0.95,1,4,1,0,0.980342344899254
C7R1_50_50_1_4,C7R1,0.5,0.5,1,4,1,0,0.969847644014656
C7R1_95_5_1_4,C7R1,0.95,0.05,1,4,1,0,0.981645105654998
C8R4_5_95_1_3,C8R4,0.05,0.95,1,3,0,1,0.984697496385413
C8R4_50_50_1_3,C8R4,0.5,0.5,1,3,0,1,0.984028177347907
C8R4_95_5_1_3,C8R4,0.95,0.05,1,3,0,1,0.980119466090722
