Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted
RanAss1,1,2,0.95,0.05,0.103108927486813,0.896891072513187
RanAss1,1,3,0.95,0.05,0.0505614501133032,0.949438549886697
RanAss1,1,4,0.95,0.05,0.431228993044631,0.568771006955369
RanAss1,1,7,0.05,0.95,0.671570529586063,0.328429470413938
RanAss1,1,7,0.95,0.05,0.710554215961548,0.289445784038452
RanAss1,1,8,0.05,0.95,0.922882189806326,0.0771178101936741
RanAss1,1,8,0.95,0.05,0.868571598197042,0.131428401802958
RanAss1,2,3,0.05,0.95,0.112930671785849,0.887069328214151
RanAss1,2,3,0.95,0.05,0.775371083960398,0.224628916039602
RanAss1,2,4,0.95,0.05,0.970623772349589,0.0293762276504108
RanAss1,2,7,0.05,0.95,0.958810518583717,0.0411894814162831
RanAss1,2,7,0.95,0.05,0.962370227340216,0.0376297726597843
RanAss1,2,8,0.05,0.95,0.929680760957305,0.0703192390426947
RanAss1,2,8,0.95,0.05,0.961654009665903,0.0383459903340973
RanAss1,3,4,0.05,0.95,0.951269666111048,0.0487303338889522
RanAss1,3,7,0.05,0.95,0.956802793469391,0.0431972065306086
RanAss1,3,7,0.95,0.05,0.965207683671262,0.034792316328738
RanAss1,3,8,0.05,0.95,0.929979537679308,0.0700204623206923
RanAss1,3,8,0.95,0.05,0.967190328373537,0.032809671626463
RanAss1,4,7,0.05,0.95,0.778503059483498,0.221496940516502
RanAss1,4,7,0.95,0.05,0.757838348853836,0.242161651146164
RanAss1,4,8,0.05,0.95,0.838801584162894,0.161198415837106
RanAss1,4,8,0.95,0.05,0.934905427346056,0.0650945726539442
RanAss1,7,8,0.05,0.95,0.264448400103288,0.735551599896712
RanAss1,7,8,0.95,0.05,0.688351832821864,0.311648167178136
