Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
2,RanAss1_95_5_2_1,T0,RanAss1,1,2,0.05,0.95,0.0678685615367847,0.932131438463215,0.955575933200144
3,RanAss1_95_5_3_1,T0,RanAss1,1,3,0.05,0.95,0.0844523975636801,0.91554760243632,0.934263582092908
4,RanAss1_95_5_4_1,T0,RanAss1,1,4,0.05,0.95,0.0526673257242504,0.94733267427575,0.96760350589817
5,RanAss1_95_5_5_1,T0,RanAss1,1,5,0.05,0.95,,,
6,RanAss1_95_5_6_1,T0,RanAss1,1,6,0.05,0.95,,,
7,RanAss1_95_5_7_1,T0,RanAss1,1,7,0.05,0.95,0.639747428421021,0.360252571578979,0.93879155460865
8,RanAss1_95_5_8_1,T0,RanAss1,1,8,0.05,0.95,0.595410451408301,0.404589548591699,0.468944211887038
9,RanAss1_95_5_1_2,T0,RanAss1,1,2,0.95,0.05,0.948281798234991,0.0517182017650087,0.953559299694252
11,RanAss1_95_5_3_2,T0,RanAss1,2,3,0.05,0.95,0.680313307201417,0.319686692798583,0.958643168691725
12,RanAss1_95_5_4_2,T0,RanAss1,2,4,0.05,0.95,0.0920634108716084,0.907936589128392,0.961293464072795
13,RanAss1_95_5_5_2,T0,RanAss1,2,5,0.05,0.95,,,
14,RanAss1_95_5_6_2,T0,RanAss1,2,6,0.05,0.95,,,
15,RanAss1_95_5_7_2,T0,RanAss1,2,7,0.05,0.95,0.724082129197228,0.275917870802772,0.29288394821971
16,RanAss1_95_5_8_2,T0,RanAss1,2,8,0.05,0.95,0.499786678044075,0.500213321955925,0.308615671759388
17,RanAss1_95_5_1_3,T0,RanAss1,1,3,0.95,0.05,0.957195202638691,0.0428047973613089,0.941188689019283
18,RanAss1_95_5_2_3,T0,RanAss1,2,3,0.95,0.05,0.918669615038207,0.0813303849617931,0.958669562406724
20,RanAss1_95_5_4_3,T0,RanAss1,3,4,0.05,0.95,0.105489730179421,0.894510269820579,0.965863627102688
21,RanAss1_95_5_5_3,T0,RanAss1,3,5,0.05,0.95,,,
22,RanAss1_95_5_6_3,T0,RanAss1,3,6,0.05,0.95,,,
23,RanAss1_95_5_7_3,T0,RanAss1,3,7,0.05,0.95,0.496681472356336,0.503318527643664,0.473777240337353
24,RanAss1_95_5_8_3,T0,RanAss1,3,8,0.05,0.95,0.376093430622743,0.623906569377257,0.609057864207257
25,RanAss1_95_5_1_4,T0,RanAss1,1,4,0.95,0.05,0.0963157611986365,0.903684238801364,0.913745219162072
26,RanAss1_95_5_2_4,T0,RanAss1,2,4,0.95,0.05,0.926731229840081,0.0732687701599189,0.951378949280046
27,RanAss1_95_5_3_4,T0,RanAss1,3,4,0.95,0.05,0.110443066347026,0.889556933652975,0.943797482150261
29,RanAss1_95_5_5_4,T0,RanAss1,4,5,0.05,0.95,,,
30,RanAss1_95_5_6_4,T0,RanAss1,4,6,0.05,0.95,,,
31,RanAss1_95_5_7_4,T0,RanAss1,4,7,0.05,0.95,0.486880316410654,0.513119683589346,0.403289828496147
32,RanAss1_95_5_8_4,T0,RanAss1,4,8,0.05,0.95,0.431328841731736,0.568671158268265,0.925370422476992
33,RanAss1_95_5_1_5,T0,RanAss1,1,5,0.95,0.05,,,
34,RanAss1_95_5_2_5,T0,RanAss1,2,5,0.95,0.05,,,
35,RanAss1_95_5_3_5,T0,RanAss1,3,5,0.95,0.05,,,
36,RanAss1_95_5_4_5,T0,RanAss1,4,5,0.95,0.05,,,
38,RanAss1_95_5_6_5,T0,RanAss1,5,6,0.05,0.95,,,
39,RanAss1_95_5_7_5,T0,RanAss1,5,7,0.05,0.95,,,
40,RanAss1_95_5_8_5,T0,RanAss1,5,8,0.05,0.95,,,
41,RanAss1_95_5_1_6,T0,RanAss1,1,6,0.95,0.05,,,
42,RanAss1_95_5_2_6,T0,RanAss1,2,6,0.95,0.05,,,
43,RanAss1_95_5_3_6,T0,RanAss1,3,6,0.95,0.05,,,
44,RanAss1_95_5_4_6,T0,RanAss1,4,6,0.95,0.05,,,
45,RanAss1_95_5_5_6,T0,RanAss1,5,6,0.95,0.05,,,
