MixtureName,User,Treatment,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted
CYC_C11R1_50_50_12,CYC,C11R1,0.5,0.5,1,2,0.390785443096793,0.609214556903207
CYC_C11R1_50_50_13,CYC,C11R1,0.5,0.5,1,3,0.909287109692249,0.0907128903077511
CYC_C11R1_50_50_14,CYC,C11R1,0.5,0.5,1,4,0.118713363273098,0.881286636726903
CYC_C11R1_50_50_15,CYC,C11R1,0.5,0.5,1,5,0.191593535742797,0.808406464257203
CYC_C11R1_50_50_16,CYC,C11R1,0.5,0.5,1,6,0.927011635001799,0.0729883649982014
CYC_C11R1_50_50_18,CYC,C11R1,0.5,0.5,1,8,0.303687879711478,0.696312120288522
CYC_C11R1_50_50_19,CYC,C11R1,0.5,0.5,1,9,0.212597642815128,0.787402357184872
CYC_C11R1_95_5_82,CYC,C11R1,0.95,0.05,8,2,0.439358756393745,0.560641243606256
CYC_C11R1_50_50_23,CYC,C11R1,0.5,0.5,2,3,0.685791613699403,0.314208386300597
CYC_C11R1_50_50_24,CYC,C11R1,0.5,0.5,2,4,0.224183488708774,0.775816511291226
CYC_C11R1_50_50_25,CYC,C11R1,0.5,0.5,2,5,0.0268785847577503,0.97312141524225
CYC_C11R1_50_50_26,CYC,C11R1,0.5,0.5,2,6,0.924845348125185,0.0751546518748154
CYC_C11R1_50_50_28,CYC,C11R1,0.5,0.5,2,8,0.68074480049216,0.31925519950784
CYC_C11R1_50_50_29,CYC,C11R1,0.5,0.5,2,9,0.316203866275431,0.683796133724569
CYC_C11R1_95_5_14,CYC,C11R1,0.95,0.05,1,4,0.152872766972501,0.847127233027499
CYC_C11R1_95_5_41,CYC,C11R1,0.95,0.05,4,1,0.856723194308784,0.143276805691216
CYC_C11R1_95_5_23,CYC,C11R1,0.95,0.05,2,3,0.757681891656534,0.242318108343466
CYC_C11R1_95_5_24,CYC,C11R1,0.95,0.05,2,4,0.329553789371479,0.670446210628521
CYC_C11R1_95_5_25,CYC,C11R1,0.95,0.05,2,5,0.0269652472393189,0.973034752760681
CYC_C11R1_95_5_26,CYC,C11R1,0.95,0.05,2,6,0.923252004281388,0.0767479957186119
CYC_C11R1_95_5_28,CYC,C11R1,0.95,0.05,2,8,0.617232457101239,0.382767542898761
CYC_C11R1_95_5_29,CYC,C11R1,0.95,0.05,2,9,0.356874404274717,0.643125595725283
CYC_C11R1_95_5_92,CYC,C11R1,0.95,0.05,9,2,0.678209765578004,0.321790234421996
CYC_C11R1_95_5_98,CYC,C11R1,0.95,0.05,9,8,0.681104008076556,0.318895991923444
CYC_control_50_50_AB,CYC,control,0.5,0.5,A,B,0.487381560663751,0.512618439336249
CYC_control_50_50_AC,CYC,control,0.5,0.5,A,C,0.120770706006383,0.879229293993617
CYC_control_50_50_AD,CYC,control,0.5,0.5,A,D,0.16503056282042,0.83496943717958
CYC_control_50_50_BC,CYC,control,0.5,0.5,B,C,0.237054780393811,0.762945219606189
CYC_control_50_50_BD,CYC,control,0.5,0.5,B,D,0.33387119313628,0.66612880686372
CYC_control_50_50_CD,CYC,control,0.5,0.5,C,D,0.579240655112807,0.420759344887193
CYC_control_95_5_AB,CYC,control,0.95,0.05,A,B,0.786594340986067,0.213405659013933
CYC_control_95_5_AC,CYC,control,0.95,0.05,A,C,0.459641730389635,0.540358269610365
CYC_control_95_5_AD,CYC,control,0.95,0.05,A,D,0.585893187219151,0.414106812780849
CYC_control_95_5_BC,CYC,control,0.95,0.05,B,C,0.618351593700652,0.381648406299348
CYC_control_95_5_BD,CYC,control,0.95,0.05,B,D,0.715950009853027,0.284049990146973
CYC_control_95_5_CD,CYC,control,0.95,0.05,C,D,0.797655541163241,0.202344458836759
