Community,Transfer,Richness
C1R2,12,40
C1R4,1,34
C1R4,2,27
C1R4,3,14
C1R4,4,12
C1R4,5,9
C1R4,6,10
C1R4,7,17
C1R4,8,16
C1R4,9,5
C1R4,10,4
C1R4,11,4
C1R4,12,17
C1R6,12,16
C1R7,12,9
C2R6,1,14
C2R6,2,16
C2R6,3,16
C2R6,4,9
C2R6,5,8
C2R6,6,7
C2R6,7,6
C2R6,8,7
C2R6,9,7
C2R6,10,7
C2R6,11,7
C2R6,12,9
C2R8,1,21
C2R8,2,15
C2R8,3,15
C2R8,4,11
C2R8,5,11
C2R8,6,8
C2R8,7,7
C2R8,8,6
C2R8,9,8
C2R8,10,7
C2R8,11,6
C2R8,12,11
C4R1,12,19
C7R1,12,22
C8R4,1,42
C8R4,2,31
C8R4,3,22
C8R4,4,12
C8R4,5,7
C8R4,6,5
C8R4,7,4
C8R4,8,5
C8R4,9,4
C8R4,10,3
C8R4,11,2
C8R4,12,7
C10R2,12,13
C11R1,1,29
C11R1,2,16
C11R1,3,15
C11R1,4,10
C11R1,5,13
C11R1,6,11
C11R1,7,10
C11R1,8,8
C11R1,9,9
C11R1,10,26
C11R1,12,36
C11R2,1,34
C11R2,2,20
C11R2,3,14
C11R2,4,16
C11R2,5,9
C11R2,6,12
C11R2,7,12
C11R2,8,12
C11R2,9,13
C11R2,10,26
C11R2,12,12
C11R5,12,10
