Trio,Pair,Isolate1,Isolate2,InteractionType,From,To
Trio1,Pair1,1026,1371,exclusion,1371,1026
Trio1,Pair2,1026,1734,exclusion,1734,1026
Trio1,Pair3,1371,1734,coexistence,1371,1734
Trio10,Pair1,53,645,exclusion,53,645
Trio10,Pair2,53,1767,exclusion,53,1767
Trio10,Pair3,645,1767,exclusion,1767,645
Trio100,Pair1,165,485,exclusion,165,485
Trio100,Pair2,165,1688,exclusion,1688,165
Trio100,Pair3,485,1688,exclusion,1688,485
Trio101,Pair1,993,1392,exclusion,1392,993
Trio101,Pair2,993,1451,exclusion,993,1451
Trio101,Pair3,1392,1451,exclusion,1392,1451
Trio102,Pair1,251,469,exclusion,251,469
Trio102,Pair2,251,1557,exclusion,251,1557
Trio102,Pair3,469,1557,exclusion,469,1557
Trio103,Pair1,1114,1342,exclusion,1342,1114
Trio103,Pair2,1114,1540,exclusion,1540,1114
Trio103,Pair3,1342,1540,exclusion,1342,1540
Trio104,Pair1,605,954,exclusion,605,954
Trio104,Pair2,605,1389,exclusion,605,1389
Trio104,Pair3,954,1389,exclusion,954,1389
Trio105,Pair1,602,721,exclusion,602,721
Trio105,Pair2,602,1306,exclusion,602,1306
Trio105,Pair3,721,1306,exclusion,1306,721
Trio106,Pair1,609,632,exclusion,632,609
Trio106,Pair2,609,1557,exclusion,609,1557
Trio106,Pair3,632,1557,exclusion,632,1557
Trio107,Pair1,749,1310,exclusion,1310,749
Trio107,Pair2,749,1582,exclusion,749,1582
Trio107,Pair3,1310,1582,exclusion,1310,1582
Trio108,Pair1,1064,1206,exclusion,1064,1206
Trio108,Pair2,1064,1510,exclusion,1064,1510
Trio108,Pair3,1206,1510,exclusion,1510,1206
Trio109,Pair1,347,988,exclusion,347,988
Trio109,Pair2,347,1136,exclusion,347,1136
Trio109,Pair3,988,1136,exclusion,988,1136
Trio11,Pair1,17,637,exclusion,17,637
Trio11,Pair2,17,1315,exclusion,17,1315
Trio11,Pair3,637,1315,exclusion,637,1315
Trio110,Pair1,830,1619,exclusion,1619,830
Trio110,Pair2,830,1686,coexistence,830,1686
Trio110,Pair3,1619,1686,exclusion,1619,1686
Trio111,Pair1,391,1496,exclusion,1496,391
Trio111,Pair2,391,1538,exclusion,391,1538
Trio111,Pair3,1496,1538,exclusion,1496,1538
Trio112,Pair1,219,1078,exclusion,219,1078
Trio112,Pair2,219,1587,coexistence,219,1587
Trio112,Pair3,1078,1587,exclusion,1587,1078
Trio113,Pair1,470,632,exclusion,632,470
Trio113,Pair2,470,1451,exclusion,470,1451
Trio113,Pair3,632,1451,exclusion,632,1451
Trio114,Pair1,1076,1526,exclusion,1526,1076
Trio114,Pair2,1076,1706,exclusion,1076,1706
Trio114,Pair3,1526,1706,exclusion,1526,1706
Trio115,Pair1,53,814,exclusion,53,814
Trio115,Pair2,53,1752,exclusion,53,1752
Trio115,Pair3,814,1752,exclusion,814,1752
Trio116,Pair1,1153,1305,coexistence,1153,1305
Trio116,Pair2,1153,1460,exclusion,1153,1460
Trio116,Pair3,1305,1460,exclusion,1305,1460
Trio117,Pair1,205,253,exclusion,253,205
Trio117,Pair2,205,1654,exclusion,1654,205
Trio117,Pair3,253,1654,exclusion,253,1654
Trio118,Pair1,182,803,exclusion,182,803
Trio118,Pair2,182,1622,exclusion,1622,182
Trio118,Pair3,803,1622,exclusion,1622,803
Trio119,Pair1,614,1408,exclusion,1408,614
Trio119,Pair2,614,1466,exclusion,1466,614
Trio119,Pair3,1408,1466,coexistence,1408,1466
Trio12,Pair1,1528,1539,exclusion,1528,1539
Trio12,Pair2,1528,1543,exclusion,1528,1543
Trio12,Pair3,1539,1543,exclusion,1543,1539
Trio120,Pair1,23,284,exclusion,23,284
Trio120,Pair2,23,1305,exclusion,23,1305
Trio120,Pair3,284,1305,exclusion,1305,284
Trio121,Pair1,863,931,coexistence,863,931
Trio121,Pair2,863,1528,exclusion,863,1528
