Seed,Trio,Motif,InitialFrequency,Richness,Coexistence
2,Trio1,5,33-33-33,3,trio coexists
2,Trio10,2,33-33-33,2,trio does not coexist
2,Trio100,2,33-33-33,2,trio does not coexist
2,Trio101,2,33-33-33,2,trio does not coexist
2,Trio102,2,33-33-33,1,trio does not coexist
2,Trio103,2,33-33-33,2,trio does not coexist
2,Trio104,2,33-33-33,1,trio does not coexist
2,Trio105,2,33-33-33,1,trio does not coexist
2,Trio106,2,33-33-33,1,trio does not coexist
2,Trio107,2,33-33-33,3,trio coexists
2,Trio108,2,33-33-33,1,trio does not coexist
2,Trio109,2,33-33-33,3,trio coexists
2,Trio11,2,33-33-33,2,trio does not coexist
2,Trio110,3,33-33-33,2,trio does not coexist
2,Trio111,2,33-33-33,1,trio does not coexist
2,Trio112,5,33-33-33,2,trio does not coexist
2,Trio113,2,33-33-33,2,trio does not coexist
2,Trio114,2,33-33-33,3,trio coexists
2,Trio115,2,33-33-33,2,trio does not coexist
2,Trio116,5,33-33-33,2,trio does not coexist
2,Trio117,2,33-33-33,2,trio does not coexist
2,Trio118,2,33-33-33,1,trio does not coexist
2,Trio119,5,33-33-33,3,trio coexists
2,Trio12,2,33-33-33,1,trio does not coexist
2,Trio120,2,33-33-33,1,trio does not coexist
2,Trio121,5,33-33-33,3,trio coexists
2,Trio122,6,33-33-33,3,trio coexists
2,Trio123,2,33-33-33,1,trio does not coexist
2,Trio124,5,33-33-33,2,trio does not coexist
2,Trio125,2,33-33-33,2,trio does not coexist
2,Trio126,3,33-33-33,2,trio does not coexist
2,Trio127,5,33-33-33,2,trio does not coexist
2,Trio128,2,33-33-33,2,trio does not coexist
2,Trio129,5,33-33-33,2,trio does not coexist
2,Trio13,2,33-33-33,2,trio does not coexist
2,Trio130,2,33-33-33,1,trio does not coexist
2,Trio131,2,33-33-33,1,trio does not coexist
2,Trio132,2,33-33-33,1,trio does not coexist
2,Trio133,2,33-33-33,2,trio does not coexist
2,Trio134,2,33-33-33,1,trio does not coexist
2,Trio135,3,33-33-33,2,trio does not coexist
2,Trio136,2,33-33-33,1,trio does not coexist
2,Trio137,2,33-33-33,2,trio does not coexist
2,Trio138,2,33-33-33,2,trio does not coexist
2,Trio139,2,33-33-33,1,trio does not coexist
2,Trio14,5,33-33-33,2,trio does not coexist
2,Trio140,2,33-33-33,2,trio does not coexist
2,Trio141,2,33-33-33,1,trio does not coexist
