Community,Isolate,OD620,ColonyCount,DilutionFactor
C1R2,1,0.139333333333333,81,5
C1R2,2,0.199333333333333,91,5
C1R2,3,0.157,132,5
C1R2,4,0.157666666666667,184,5
C1R4,1,0.153333333333333,65,5
C1R4,2,0.135333333333333,106,5
C1R4,3,0,0,3
C1R4,4,0.138,29,5
C1R4,5,0.134666666666667,41,5
C1R6,1,0.147666666666667,49,5
C1R6,2,0.158666666666667,104,5
C1R6,3,0.140333333333333,100,5
C1R6,4,0.147333333333333,127,5
C1R6,5,0.141333333333333,71,5
C1R7,1,0.158,133,5
C1R7,2,0.144666666666667,41,5
C1R7,3,0.148,37,5
C1R7,4,0.154,169,5
C1R7,5,0.154,56,5
C1R7,6,0.121333333333333,51,5
C1R7,7,0.200333333333333,519,5
C2R6,1,0.149333333333333,72,5
C2R6,2,0.134166666666667,46,5
C2R6,3,0.124166666666667,115,5
C2R6,4,0.120166666666667,25,5
C2R8,1,0.153,47,5
C2R8,2,0.124833333333333,71,5
C2R8,3,0.111666666666667,12,5
C2R8,4,0.109166666666667,4,5
C4R1,1,0.0433333333333333,48,4
C4R1,2,0.194,149,5
C4R1,3,0.0326666666666667,29,4
C7R1,1,0.1545,69,5
C7R1,2,0.0821666666666667,26,5
C7R1,3,0.159333333333333,62,5
C7R1,4,0.178333333333333,64,5
C8R4,1,0.1,120,5
C8R4,2,0.1765,58,5
C8R4,3,0.101666666666667,157,5
C10R2,1,0.1285,34,5
C10R2,2,0.1485,78,5
C10R2,3,5e-04,0,5
C11R1,1,0.047,39,4
C11R1,2,0,5,2
C11R1,3,0.000428571428571423,274,2
C11R1,4,0.124428571428571,56,5
C11R1,5,0.150714285714286,185,5
C11R1,6,0.170142857142857,180,5
C11R1,7,0.174142857142857,195,5
C11R1,8,0.000428571428571429,2,2
C11R1,9,0.000428571428571429,140,2
C11R2,1,0.192666666666667,57,5
C11R2,2,0.00333333333333333,137,2
C11R2,3,0.149333333333333,41,5
C11R2,4,0.212666666666667,131,5
C11R2,5,0.154333333333333,68,5
C11R2,6,0.15,115,5
C11R2,7,0.134333333333333,30,5
C11R2,8,0.003,262,2
C11R2,9,0,4,2
C11R2,10,0.00133333333333333,198,2
C11R2,11,0.159,62,5
C11R2,12,0.134666666666667,37,5
C11R5,1,0.187666666666667,46,5
C11R5,2,0.196,125,5
C11R5,3,0.218666666666667,60,5
C11R5,4,0.199,110,5
C11R5,5,0.0545,5,5
