Community,IsolateGenus,RelativeAbundance,ExpID,ID,Isolate
C1R2,Citrobacter,0.404366613600182,1.2.A.1,259,1
C1R2,Pseudomonas,0.456447577894019,1.2.A.1,259,1
C1R2,Pseudomonas,0.0297930407095747,1.2.A.1,259,1
C1R2,Citrobacter,0.404366613600182,1.2.A.3,428,2
C1R2,Pseudomonas,0.456447577894019,1.2.A.3,428,2
C1R2,Pseudomonas,0.0297930407095747,1.2.A.3,428,2
C1R2,Citrobacter,0.404366613600182,1.2.A.5,364,3
C1R2,Pseudomonas,0.456447577894019,1.2.A.5,364,3
C1R2,Pseudomonas,0.0297930407095747,1.2.A.5,364,3
C1R2,Citrobacter,0.404366613600182,1.2.B.6,432,4
C1R2,Pseudomonas,0.456447577894019,1.2.B.6,432,4
C1R2,Pseudomonas,0.0297930407095747,1.2.B.6,432,4
C1R4,Pseudomonas,0.133500113713896,1.4.A.1,267,1
C1R4,Enterobacter,0.835569706618149,1.4.A.1,267,1
C1R4,Citrobacter,0.023879918125995,1.4.A.1,267,1
C1R4,Pseudomonas,0.133500113713896,1.4.A.3,269,2
C1R4,Enterobacter,0.835569706618149,1.4.A.3,269,2
C1R4,Citrobacter,0.023879918125995,1.4.A.3,269,2
C1R4,Pseudomonas,0.133500113713896,1.4.A.4,434,3
C1R4,Enterobacter,0.835569706618149,1.4.A.4,434,3
C1R4,Citrobacter,0.023879918125995,1.4.A.4,434,3
C1R4,Pseudomonas,0.133500113713896,1.4.A.5,435,4
C1R4,Enterobacter,0.835569706618149,1.4.A.5,435,4
C1R4,Citrobacter,0.023879918125995,1.4.A.5,435,4
C1R4,Pseudomonas,0.133500113713896,1.4.B.4,270,5
C1R4,Enterobacter,0.835569706618149,1.4.B.4,270,5
C1R4,Citrobacter,0.023879918125995,1.4.B.4,270,5
C1R6,Pseudomonas,0.00545826700022743,1.6.A.1,272,1
C1R6,Enterobacter,0.506936547646122,1.6.A.1,272,1
C1R6,Pseudomonas,0.401637480100068,1.6.A.1,272,1
C1R6,Serratia,0.0109165340004549,1.6.A.1,272,1
C1R6,Citrobacter,0.0559472367523311,1.6.A.1,272,1
C1R6,Pseudomonas,0.00545826700022743,1.6.A.2,273,2
C1R6,Enterobacter,0.506936547646122,1.6.A.2,273,2
C1R6,Pseudomonas,0.401637480100068,1.6.A.2,273,2
C1R6,Serratia,0.0109165340004549,1.6.A.2,273,2
C1R6,Citrobacter,0.0559472367523311,1.6.A.2,273,2
C1R6,Pseudomonas,0.00545826700022743,1.6.A.4,274,3
