Community,Isolate,ColonyCount,DilutionFactor,OD620,Epsilon
C1R2,1,81,5,0.139333333333333,3.440329218107e-07
C1R2,2,91,5,0.199333333333333,4.38095238095238e-07
C1R2,3,132,5,0.157,2.37878787878788e-07
C1R2,4,184,5,0.157666666666667,1.71376811594203e-07
C1R4,1,65,5,0.153333333333333,4.71794871794872e-07
C1R4,2,106,5,0.135333333333333,2.55345911949686e-07
C1R4,3,0,3,0,
C1R4,4,29,5,0.138,9.51724137931035e-07
C1R4,5,41,5,0.134666666666667,6.56910569105691e-07
C1R6,1,49,5,0.147666666666667,6.02721088435374e-07
C1R6,2,104,5,0.158666666666667,3.05128205128205e-07
C1R6,3,100,5,0.140333333333333,2.80666666666667e-07
C1R6,4,127,5,0.147333333333333,2.32020997375328e-07
C1R6,5,71,5,0.141333333333333,3.981220657277e-07
C1R7,1,133,5,0.158,2.37593984962406e-07
C1R7,2,41,5,0.144666666666667,7.05691056910569e-07
C1R7,3,37,5,0.148,8e-07
C1R7,4,169,5,0.154,1.82248520710059e-07
C1R7,5,56,5,0.154,5.5e-07
C1R7,6,51,5,0.121333333333333,4.75816993464052e-07
C1R7,7,519,5,0.200333333333333,7.71997430956969e-08
C2R6,1,72,5,0.149333333333333,4.14814814814815e-07
C2R6,2,46,5,0.134166666666667,5.83333333333334e-07
C2R6,3,115,5,0.124166666666667,2.15942028985507e-07
C2R6,4,25,5,0.120166666666667,9.61333333333333e-07
C2R8,1,47,5,0.153,6.51063829787234e-07
C2R8,2,71,5,0.124833333333333,3.51643192488263e-07
C2R8,3,12,5,0.111666666666667,1.86111111111111e-06
C2R8,4,4,5,0.109166666666667,5.45833333333333e-06
C4R1,1,48,4,0.0433333333333333,1.80555555555556e-06
C4R1,2,149,5,0.194,2.60402684563758e-07
C4R1,3,29,4,0.0326666666666667,2.25287356321839e-06
C7R1,1,69,5,0.1545,4.47826086956522e-07
C7R1,2,26,5,0.0821666666666667,6.32051282051282e-07
C7R1,3,62,5,0.159333333333333,5.13978494623656e-07
C7R1,4,64,5,0.178333333333333,5.57291666666667e-07
C8R4,1,120,5,0.1,1.66666666666667e-07
C8R4,2,58,5,0.1765,6.08620689655173e-07
C8R4,3,157,5,0.101666666666667,1.29511677282378e-07
C10R2,1,34,5,0.1285,7.55882352941177e-07
C10R2,2,78,5,0.1485,3.80769230769231e-07
C10R2,3,0,5,5e-04,Inf
C11R1,1,39,4,0.047,2.41025641025641e-06
C11R1,2,5,2,0,0
C11R1,3,274,2,0.000428571428571423,3.12825860271112e-07
C11R1,4,56,5,0.124428571428571,4.44387755102041e-07
C11R1,5,185,5,0.150714285714286,1.62934362934363e-07
C11R1,6,180,5,0.170142857142857,1.89047619047619e-07
C11R1,7,195,5,0.174142857142857,1.78608058608059e-07
C11R1,8,2,2,0.000428571428571429,4.28571428571429e-05
C11R1,9,140,2,0.000428571428571429,6.12244897959184e-07
C11R2,1,57,5,0.192666666666667,6.76023391812866e-07
C11R2,2,137,2,0.00333333333333333,4.8661800486618e-06
C11R2,3,41,5,0.149333333333333,7.28455284552846e-07
C11R2,4,131,5,0.212666666666667,3.24681933842239e-07
C11R2,5,68,5,0.154333333333333,4.53921568627451e-07
C11R2,6,115,5,0.15,2.60869565217391e-07
C11R2,7,30,5,0.134333333333333,8.95555555555556e-07
C11R2,8,262,2,0.003,2.29007633587786e-06
C11R2,9,4,2,0,0
C11R2,10,198,2,0.00133333333333333,1.34680134680135e-06
C11R2,11,62,5,0.159,5.12903225806452e-07
C11R2,12,37,5,0.134666666666667,7.27927927927928e-07
C11R5,1,46,5,0.187666666666667,8.15942028985507e-07
C11R5,2,125,5,0.196,3.136e-07
C11R5,3,60,5,0.218666666666667,7.28888888888889e-07
C11R5,4,110,5,0.199,3.61818181818182e-07
C11R5,5,5,5,0.0545,2.18e-06
