Community,Isolate,Count,CompScoreMean,CompScoreSd
C1R2,1,9,0.766381766381766,0.435792680558177
C1R2,2,9,0.232226341262486,0.355162161266187
C1R2,3,9,0.9002849002849,0.299145299145299
C1R2,4,9,0.101106992070847,0.16673526592038
C1R4,1,12,0.151816239316239,0.354761096399953
C1R4,2,12,0.679595335730677,0.380173720183253
C1R4,3,12,0.0981837606837607,0.286311572657792
C1R4,4,12,0.840265779814129,0.235340589798599
C1R4,5,12,0.730138884455194,0.375943474274634
C1R6,1,12,0.00655707986828388,0.0153207814975597
C1R6,2,12,0.960638468761547,0.0782503532633671
C1R6,3,12,0.294828583943876,0.445422077890231
C1R6,4,12,0.53244794070107,0.482841503654075
C1R6,5,12,0.705527926725223,0.433995272514179
C1R7,1,18,0.880887161963551,0.278511822995672
C1R7,2,18,0,0
C1R7,3,18,0.314158430667865,0.366171832641946
C1R7,4,18,0.624322205572206,0.470001628130976
C1R7,5,18,0.361023599416457,0.401398466854037
C1R7,6,18,0.36716243101014,0.415809967643942
C1R7,7,18,0.952446171369782,0.120118829211366
C2R6,1,9,0.554057676240056,0.448442602583632
C2R6,2,9,0.260301561611524,0.313850033407764
C2R6,3,9,0.625667668968496,0.398780748099096
C2R6,4,9,0.559973093179924,0.448333487558882
C2R8,1,9,0.799572886200793,0.37304492140786
C2R8,2,9,0.863817663817664,0.307968477675913
C2R8,3,9,0.239401617322044,0.437824244361581
C2R8,4,9,0.0142840139071915,0.0233239070226754
C4R1,1,6,0.659153020021344,0.367938180323513
C4R1,2,6,0.671878701729448,0.490644733374218
C4R1,3,6,0.168968278249208,0.19988030024208
C7R1,1,9,0.961525156772599,0.0565619946835899
C7R1,2,9,0,0
C7R1,3,9,0.623800354316232,0.43449234870563
C7R1,4,9,0.414674488911169,0.443260254863954
C8R4,1,6,0.155069735947453,0.11586810258
C8R4,2,6,0.76286845704717,0.0679817236772841
C8R4,3,6,0.582061807005377,0.361400718581473
C10R2,1,6,0.5,0.547722557505166
C10R2,2,6,0.993006467137915,0.013158197688865
C10R2,3,6,0.0069935328620845,0.013158197688865
C11R1,1,24,0.331004075049546,0.354211992657286
C11R1,2,24,0.405629622909351,0.328848370713112
C11R1,3,24,0.0644214399427395,0.101692450513238
C11R1,4,24,0.491507263962721,0.405767017417566
C11R1,5,24,0.781971092234575,0.363131208991158
C11R1,6,24,0.731807208697296,0.386264329226861
C11R1,7,24,0.930632083338974,0.132130263348729
C11R1,8,24,0.412832195996803,0.391919401794812
C11R1,9,24,0.350195017867994,0.429584696457241
C11R2,1,33,0.692980805910845,0.417278107837032
C11R2,2,33,0.179548047542768,0.23904379380966
C11R2,3,33,0.499146767757105,0.432817747524914
C11R2,4,33,0.938271711986681,0.24020903791134
C11R2,5,33,0.661056887733714,0.419934853145119
C11R2,6,33,0.76812587035684,0.378442542016042
C11R2,7,33,0.432016033608905,0.436401782330677
C11R2,8,33,0.183621373381155,0.313770106700142
C11R2,9,33,0.0761267117785896,0.144911706706448
C11R2,10,33,0.195780582970043,0.34352052934781
C11R2,11,33,0.940580280720152,0.211187352405525
C11R2,12,33,0.440844097105141,0.444230657765463
C11R5,1,12,0.168404483726992,0.194817082538145
C11R5,2,12,0.748621573236944,0.445367509217013
C11R5,3,12,0.200963252363127,0.261418676216635
C11R5,4,12,0.996609539393744,0.0091046829691769
C11R5,5,12,0.385401151279193,0.413132445641409
