Experiment,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Contamination
Transitivity_D,C1R4,2,4,5,95,FALSE
Transitivity_D,C1R4,2,4,50,50,FALSE
Transitivity_D,C1R4,2,4,95,5,FALSE
Transitivity_D,C1R4,2,5,5,95,FALSE
Transitivity_D,C1R4,2,5,50,50,FALSE
Transitivity_D,C1R4,2,5,95,5,FALSE
Transitivity_D,C1R4,4,5,5,95,FALSE
Transitivity_D,C1R4,4,5,50,50,FALSE
Transitivity_D,C1R4,4,5,95,5,FALSE
Transitivity_D,C1R6,1,2,5,95,FALSE
Transitivity_B2,C2R6,1,3,5,95,FALSE
Transitivity_B2,C2R6,1,3,50,50,FALSE
Transitivity_B2,C2R6,1,3,95,5,FALSE
Transitivity_B2,C2R8,3,4,5,95,FALSE
Transitivity_B2,C2R8,3,4,50,50,FALSE
Transitivity_B2,C2R8,3,4,95,5,FALSE
Transitivity_D,C4R1,1,3,5,95,FALSE
Transitivity_D,C4R1,1,3,50,50,FALSE
Transitivity_D,C4R1,1,3,95,5,FALSE
Transitivity_B2,C7R1,1,3,5,95,FALSE
Transitivity_B2,C7R1,1,3,50,50,FALSE
Transitivity_B2,C7R1,1,3,95,5,FALSE
Transitivity_B2,C7R1,1,4,5,95,FALSE
Transitivity_B2,C7R1,1,4,50,50,FALSE
Transitivity_B2,C7R1,1,4,95,5,FALSE
Transitivity_B2,C7R1,3,4,5,95,FALSE
Transitivity_B2,C7R1,3,4,50,50,FALSE
Transitivity_B2,C7R1,3,4,95,5,FALSE
Transitivity_B2,C8R4,1,3,5,95,FALSE
Transitivity_B2,C8R4,1,3,50,50,FALSE
Transitivity_B2,C8R4,1,3,95,5,FALSE
Transitivity_C,C11R1,1,2,50,50,FALSE
Transitivity_C,C11R1,1,3,50,50,FALSE
Transitivity_C,C11R1,1,4,50,50,FALSE
Transitivity_B2,C11R1,2,8,5,95,FALSE
Transitivity_B2,C11R1,2,8,50,50,FALSE
Transitivity_B2,C11R1,2,8,95,5,FALSE
Transitivity_B2,C11R1,2,9,5,95,FALSE
Transitivity_C2,C11R2,2,8,5,95,FALSE
Transitivity_C2,C11R2,2,8,50,50,FALSE
Transitivity_C2,C11R2,2,8,95,5,FALSE
Transitivity_C2,C11R2,3,6,5,95,TRUE
Transitivity_C2,C11R2,3,7,5,95,FALSE
Transitivity_C2,C11R2,3,7,50,50,FALSE
Transitivity_C2,C11R2,3,7,95,5,FALSE
Transitivity_C2,C11R2,3,12,5,95,FALSE
Transitivity_C2,C11R2,3,12,50,50,FALSE
Transitivity_C2,C11R2,3,12,95,5,FALSE
Transitivity_C2,C11R2,5,6,50,50,FALSE
Transitivity_C2,C11R2,5,6,95,5,FALSE
Transitivity_C2,C11R2,6,11,50,50,FALSE
Transitivity_C2,C11R2,7,12,5,95,FALSE
Transitivity_C2,C11R2,7,12,50,50,FALSE
Transitivity_C2,C11R2,7,12,95,5,FALSE
Transitivity_C2,C11R2,8,9,5,95,FALSE
Transitivity_C2,C11R2,8,9,50,50,FALSE
Transitivity_C2,C11R2,8,9,95,5,FALSE
Transitivity_D,C11R5,1,3,5,95,FALSE
Transitivity_D,C11R5,1,3,50,50,FALSE
Transitivity_D,C11R5,1,3,95,5,FALSE
Transitivity_D,C11R5,1,5,5,95,FALSE
Transitivity_D,C11R5,1,5,50,50,FALSE
Transitivity_D,C11R5,1,5,95,5,FALSE
Transitivity_D,C11R5,2,4,5,95,FALSE
Transitivity_D,C11R5,2,4,50,50,FALSE
Transitivity_D,C11R5,2,4,95,5,FALSE
Transitivity_D,C11R5,3,5,95,5,FALSE
