AlignmentType,AllowMismatch,SampleID,Community,ExpID,IsolateGenus,RelativeAbundance,CommunityESVID,Family,Genus,ConsensusLength,BasePairGap,BasePairMismatch,AlignmentScore
local,0,Glucose.0.1.12,C1R2,1.2.A.1,Citrobacter,0.404366613600182,Citrobacter,Enterobacteriaceae,Citrobacter,233,0,0,461.748260498047
local,0,Glucose.0.1.12,C1R2,1.2.A.3,Pseudomonas,0.456447577894019,Pseudomonas.2,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.0.1.12,C1R2,1.2.B.6,Pseudomonas,0.0297930407095747,Pseudomonas,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.0.3.12,C1R4,1.4.A.1,Pseudomonas,0.133500113713896,Pseudomonas,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.0.3.12,C1R4,1.4.A.3,Enterobacter,0.835569706618149,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,0,Glucose.0.3.12,C1R4,1.4.A.5,Citrobacter,0.023879918125995,Citrobacter,Enterobacteriaceae,Citrobacter,233,0,0,461.748260498047
local,0,Glucose.0.5.12,C1R6,1.6.A.1,Pseudomonas,0.00545826700022743,Pseudomonas.9,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.0.5.12,C1R6,1.6.A.2,Enterobacter,0.506936547646122,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,0,Glucose.0.5.12,C1R6,1.6.A.4,Pseudomonas,0.401637480100068,Pseudomonas.2,Pseudomonadaceae,Pseudomonas,233,0,0,461.748260498047
local,0,Glucose.0.5.12,C1R6,1.6.A.5,Serratia,0.0109165340004549,Yersinia,Enterobacteriaceae,Yersinia,233,0,0,461.748260498047
local,0,Glucose.0.5.12,C1R6,1.6.A.6,Citrobacter,0.0559472367523311,Citrobacter,Enterobacteriaceae,Citrobacter,233,0,0,461.748260498047
local,0,Glucose.0.6.12,C1R7,1.7.A.1,Enterobacter,0.42392540368433,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,0,Glucose.0.6.12,C1R7,1.7.A.1.2,Pseudomonas,0.0941551057539231,Pseudomonas,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.0.6.12,C1R7,1.7.A.4,Serratia,0.356379349556516,Yersinia,Enterobacteriaceae,Yersinia,233,0,0,461.748260498047
local,0,Glucose.0.6.12,C1R7,1.7.B.3,Citrobacter,0.0714123265863089,Citrobacter,Enterobacteriaceae,Citrobacter,233,0,0,598.043701171875
local,0,Glucose.1.3.12,C2R4,C,Citrobacter,0.0723220377530134,Citrobacter,Enterobacteriaceae,Citrobacter,234,1,0,522.757385253906
local,0,Glucose.1.3.12,C2R4,E,Enterobacter,0.259722538094155,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,0,Glucose.1.3.12,C2R4,P,Pseudomonas,0.443711621560155,Pseudomonas.3,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.1.3.12,C2R4,R,Raoultella,0.19399590629975,Raoultella,Enterobacteriaceae,Raoultella,233,0,0,536.757202148438
local,0,Glucose.1.5.12,C2R6,2.6.A.1,Enterobacter,0.184671366841028,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,0,Glucose.1.5.12,C2R6,2.6.A.3,Citrobacter,0.110302478962929,Citrobacter,Enterobacteriaceae,Citrobacter,233,0,0,461.748260498047
local,0,Glucose.1.7.12,C2R8,2.8.A.1,Raoultella,0.30543552422106,Raoultella,Enterobacteriaceae,Raoultella,233,0,0,461.748260498047
local,0,Glucose.1.7.12,C2R8,2.8.A.2,Citrobacter,0.172845121673869,Citrobacter,Enterobacteriaceae,Citrobacter,233,0,0,694.74755859375
local,0,Glucose.1.7.12,C2R8,2.8.A.3,Pseudomonas,0.412554014100523,Pseudomonas.2,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.6.0.12,C7R1,7.1.A.1,Enterobacter,0.799636115533318,Klebsiella,Enterobacteriaceae,Klebsiella,233,0,0,461.748260498047
local,0,Glucose.6.0.12,C7R1,7.1.A.2,Pseudomonas,0.110075051171253,Pseudomonas.1,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.7.1.12,C8R2,8.2.A.1,Enterobacter,0.972708664998863,Klebsiella,Enterobacteriaceae,Klebsiella,233,0,0,461.748260498047
local,0,Glucose.7.3.12,C8R4,8.4.A.1,Pseudomonas,0.212644985217194,Pseudomonas.10,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.7.3.12,C8R4,8.4.A.2,Enterobacter,0.747100295656129,Klebsiella,Enterobacteriaceae,Klebsiella,233,0,0,461.748260498047
local,0,Glucose.7.4.12,C8R5,8.5.A.1,Enterobacter,0.265408232886059,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,0,Glucose.7.4.12,C8R5,8.5.A.2,Pseudomonas,0.352967932681374,Pseudomonas,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.7.4.12,C8R5,8.5.A.3,Enterobacter,0.341823970889243,Klebsiella,Enterobacteriaceae,Klebsiella,233,0,0,598.043701171875
local,0,Glucose.9.1.12,C10R2,10.2.A.2,Enterobacter,0.760745963156698,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,0,Glucose.10.0.12,C11R1,11.1.A.1,Pseudomonas,0.330452581305436,Pseudomonas.4,Pseudomonadaceae,Pseudomonas,233,0,0,536.757202148438
local,0,Glucose.10.0.12,C11R1,11.1.A.2,Achromobacter,0.0118262451671594,Bordetella.1,Alcaligenaceae,Bordetella,233,0,0,598.043701171875
local,0,Glucose.10.0.12,C11R1,11.1.A.3,Acinetobacter,0.000227427791676143,Acinetobacter.2,Moraxellaceae,Acinetobacter,233,0,0,461.748260498047
local,0,Glucose.10.0.12,C11R1,11.1.A.4,Pantoea,0.128724130088697,Salmonella,Enterobacteriaceae,Salmonella,233,0,0,649.861267089844
local,0,Glucose.10.0.12,C11R1,11.1.B.1,Enterobacter,0.00500341141687514,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,0,Glucose.10.0.12,C11R1,11.1.B.3,Raoultella,0.389356379349557,Raoultella,Enterobacteriaceae,Raoultella,233,0,0,536.757202148438
local,0,Glucose.10.0.12,C11R1,11.1.C.3,Delftia,0.0295656129178986,Delftia,Comamonadaceae,Delftia,233,0,0,536.757202148438
local,0,Glucose.10.1.12,C11R2,11.2.B.3,Enterobacter,0.26063224926086,Salmonella,Enterobacteriaceae,Salmonella,233,0,0,536.757202148438
