Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted
RanAss1,1,2,0.05,0.95,0.0992176645137922,0.900782335486208
RanAss1,1,2,0.95,0.05,0.0473336207506589,0.952666379249341
RanAss1,1,3,0.05,0.95,0.0776312242408453,0.922368775759155
RanAss1,1,3,0.95,0.05,0.0243841201168131,0.975615879883187
RanAss1,1,4,0.05,0.95,0.463351563754446,0.536648436245554
RanAss1,1,4,0.95,0.05,0.474024893617277,0.525975106382723
RanAss1,1,5,0.05,0.95,0.677302983644192,0.322697016355809
RanAss1,1,5,0.95,0.05,0.679317327555394,0.320682672444606
RanAss1,1,6,0.05,0.95,0.331597751592365,0.668402248407635
RanAss1,1,6,0.95,0.05,0.0703282195377377,0.929671780462262
RanAss1,1,7,0.05,0.95,0.727677975803907,0.272322024196093
RanAss1,1,7,0.95,0.05,0.734529156276351,0.265470843723649
RanAss1,1,8,0.05,0.95,0.922152201148599,0.0778477988514015
RanAss1,1,8,0.95,0.05,0.881857196796297,0.118142803203703
RanAss1,2,3,0.05,0.95,0.0921620602731743,0.907837939726826
RanAss1,2,3,0.95,0.05,0.203865418802902,0.796134581197098
RanAss1,2,4,0.05,0.95,0.881279259051912,0.118720740948088
RanAss1,2,4,0.95,0.05,0.985713122595746,0.0142868774042541
RanAss1,2,5,0.05,0.95,0.941370439600024,0.0586295603999757
RanAss1,2,5,0.95,0.05,0.946797924269395,0.0532020757306053
RanAss1,2,6,0.05,0.95,0.0312932025188316,0.968706797481168
RanAss1,2,6,0.95,0.05,0.835933307146331,0.164066692853669
RanAss1,2,7,0.05,0.95,0.969240029843268,0.0307599701567323
RanAss1,2,7,0.95,0.05,0.903534015632913,0.0964659843670868
RanAss1,2,8,0.05,0.95,0.973241302256412,0.0267586977435884
RanAss1,2,8,0.95,0.05,0.96641475255261,0.0335852474473904
RanAss1,3,4,0.05,0.95,0.895700571780706,0.104299428219295
RanAss1,3,4,0.95,0.05,0.948550199015203,0.0514498009847967
RanAss1,3,5,0.05,0.95,0.941231705899918,0.0587682941000817
RanAss1,3,5,0.95,0.05,0.956308186308301,0.0436918136916988
RanAss1,3,6,0.05,0.95,0.123835861055814,0.876164138944186
RanAss1,3,6,0.95,0.05,0.936847204816403,0.0631527951835968
RanAss1,3,7,0.05,0.95,0.937657139194138,0.0623428608058624
RanAss1,3,7,0.95,0.05,0.968899580029596,0.0311004199704042
RanAss1,3,8,0.05,0.95,0.990962449034807,0.00903755096519277
RanAss1,3,8,0.95,0.05,0.990296173712577,0.00970382628742324
RanAss1,4,5,0.05,0.95,0.648155209215514,0.351844790784487
RanAss1,4,5,0.95,0.05,0.959280136965916,0.0407198630340839
RanAss1,4,6,0.05,0.95,0.0986233010088125,0.901376698991187
RanAss1,4,6,0.95,0.05,0.0739483139045371,0.926051686095463
RanAss1,4,7,0.05,0.95,0.771396922924392,0.228603077075608
RanAss1,4,7,0.95,0.05,0.756178406817982,0.243821593182018
RanAss1,4,8,0.05,0.95,0.815494151827543,0.184505848172458
RanAss1,4,8,0.95,0.05,0.941842636102585,0.0581573638974155
RanAss1,5,6,0.05,0.95,0.0200198028487833,0.979980197151217
RanAss1,5,6,0.95,0.05,0.0387565303192103,0.96124346968079
RanAss1,5,7,0.05,0.95,0.205273996607059,0.794726003392941
RanAss1,5,7,0.95,0.05,0.467644802833541,0.53235519716646
RanAss1,5,8,0.05,0.95,0.0583603232953769,0.941639676704623
RanAss1,5,8,0.95,0.05,0.0736393467227185,0.926360653277282
RanAss1,6,7,0.05,0.95,0.97846941967429,0.0215305803257101
RanAss1,6,7,0.95,0.05,0.970548029899611,0.0294519701003895
RanAss1,6,8,0.05,0.95,0.961316661089698,0.0386833389103019
RanAss1,6,8,0.95,0.05,1,0
RanAss1,7,8,0.05,0.95,0.590900566479701,0.409099433520299
RanAss1,7,8,0.95,0.05,0.708174075107127,0.291825924892873
