Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
2,AcrAss2_95_5_2_1,T3,AcrAss2,1,2,0.05,0.95,0.0470303057440447,0.952969694255955,0.967207401630655
3,AcrAss2_95_5_3_1,T3,AcrAss2,1,3,0.05,0.95,0.978191504505271,0.021808495494729,0.924014009383417
4,AcrAss2_95_5_4_1,T3,AcrAss2,1,4,0.05,0.95,0.977063328232903,0.0229366717670968,0.907719466744772
5,AcrAss2_95_5_5_1,T3,AcrAss2,1,5,0.05,0.95,0.921124765164519,0.0788752348354807,0.548596215357981
6,AcrAss2_95_5_6_1,T3,AcrAss2,1,6,0.05,0.95,0.870373119935504,0.129626880064496,0.954303188410004
7,AcrAss2_95_5_7_1,T3,AcrAss2,1,7,0.05,0.95,0.0252990939383263,0.974700906061674,0.96857709205234
8,AcrAss2_95_5_8_1,T3,AcrAss2,1,8,0.05,0.95,0.0320105948293186,0.967989405170681,0.968981375910221
9,AcrAss2_95_5_1_2,T3,AcrAss2,1,2,0.95,0.05,0.920967445474138,0.0790325545258623,0.923944224775892
11,AcrAss2_95_5_3_2,T3,AcrAss2,2,3,0.05,0.95,0.882168947986564,0.117831052013436,0.751470965338226
12,AcrAss2_95_5_4_2,T3,AcrAss2,2,4,0.05,0.95,0.897991837908841,0.102008162091159,0.740581065009273
13,AcrAss2_95_5_5_2,T3,AcrAss2,2,5,0.05,0.95,0.953175229309512,0.0468247706904878,0.694534238328403
14,AcrAss2_95_5_6_2,T3,AcrAss2,2,6,0.05,0.95,0.755845963099425,0.244154036900575,0.747819677711437
15,AcrAss2_95_5_7_2,T3,AcrAss2,2,7,0.05,0.95,0.0377189457552676,0.962281054244732,0.974412903968417
16,AcrAss2_95_5_8_2,T3,AcrAss2,2,8,0.05,0.95,0.0418733249332026,0.958126675066798,0.968244640462812
17,AcrAss2_95_5_1_3,T3,AcrAss2,1,3,0.95,0.05,0.959213019438845,0.0407869805611544,0.917956298819611
18,AcrAss2_95_5_2_3,T3,AcrAss2,2,3,0.95,0.05,0.905007410726258,0.0949925892737417,0.677654195118017
20,AcrAss2_95_5_4_3,T3,AcrAss2,3,4,0.05,0.95,0.1434890491154,0.8565109508846,0.713867003482315
21,AcrAss2_95_5_5_3,T3,AcrAss2,3,5,0.05,0.95,0.905567690581911,0.0944323094180885,0.488256605710212
22,AcrAss2_95_5_6_3,T3,AcrAss2,3,6,0.05,0.95,0.0734374736942536,0.926562526305746,0.949652418447779
23,AcrAss2_95_5_7_3,T3,AcrAss2,3,7,0.05,0.95,0.00647848416210132,0.993521515837899,0.971750202147744
24,AcrAss2_95_5_8_3,T3,AcrAss2,3,8,0.05,0.95,0.0326630408202923,0.967336959179708,0.968677435553266
25,AcrAss2_95_5_1_4,T3,AcrAss2,1,4,0.95,0.05,0.96143654192694,0.0385634580730596,0.890974905698117
26,AcrAss2_95_5_2_4,T3,AcrAss2,2,4,0.95,0.05,0.909542098100443,0.0904579018995566,0.615792441754315
27,AcrAss2_95_5_3_4,T3,AcrAss2,3,4,0.95,0.05,0.144522320308133,0.855477679691867,0.670387536664429
29,AcrAss2_95_5_5_4,T3,AcrAss2,4,5,0.05,0.95,0.901393529414229,0.0986064705857711,0.483953658632757
30,AcrAss2_95_5_6_4,T3,AcrAss2,4,6,0.05,0.95,0.0955587392618867,0.904441260738113,0.95296456874987
31,AcrAss2_95_5_7_4,T3,AcrAss2,4,7,0.05,0.95,0.0250415185765119,0.974958481423488,0.970126982028558
32,AcrAss2_95_5_8_4,T3,AcrAss2,4,8,0.05,0.95,0.0184590495751626,0.981540950424837,0.969310493820274
33,AcrAss2_95_5_1_5,T3,AcrAss2,1,5,0.95,0.05,0.920605296922804,0.0793947030771962,0.551736620971827
34,AcrAss2_95_5_2_5,T3,AcrAss2,2,5,0.95,0.05,0.968609673956547,0.0313903260434526,0.602682762901952
35,AcrAss2_95_5_3_5,T3,AcrAss2,3,5,0.95,0.05,0.928231096562467,0.0717689034375331,0.44817355758308
36,AcrAss2_95_5_4_5,T3,AcrAss2,4,5,0.95,0.05,0.916768416878016,0.0832315831219844,0.415562857843538
38,AcrAss2_95_5_6_5,T3,AcrAss2,5,6,0.05,0.95,0.068345301939724,0.931654698060276,0.591637496193976
39,AcrAss2_95_5_7_5,T3,AcrAss2,5,7,0.05,0.95,0.00764414164352592,0.992355858356474,0.952794792612156
40,AcrAss2_95_5_8_5,T3,AcrAss2,5,8,0.05,0.95,0.0138976826177081,0.986102317382292,0.866983256824021
41,AcrAss2_95_5_1_6,T3,AcrAss2,1,6,0.95,0.05,0.892490887768768,0.107509112231232,0.899151046253138
42,AcrAss2_95_5_2_6,T3,AcrAss2,2,6,0.95,0.05,0.990549836428709,0.00945016357129095,0.947218314599526
43,AcrAss2_95_5_3_6,T3,AcrAss2,3,6,0.95,0.05,0.179399839264677,0.820600160735323,0.713715050331387
44,AcrAss2_95_5_4_6,T3,AcrAss2,4,6,0.95,0.05,0.470497828739285,0.529502171260715,0.699100065019824
45,AcrAss2_95_5_5_6,T3,AcrAss2,5,6,0.95,0.05,0.0938200838988159,0.906179916101184,0.436240080587241
47,AcrAss2_95_5_7_6,T3,AcrAss2,6,7,0.05,0.95,0.0549966363911182,0.945003363608882,0.958993241982655
48,AcrAss2_95_5_8_6,T3,AcrAss2,6,8,0.05,0.95,0.0343232823957155,0.965676717604284,0.967515877200024
49,AcrAss2_95_5_1_7,T3,AcrAss2,1,7,0.95,0.05,0.0835166271296213,0.916483372870379,0.969108213613108
50,AcrAss2_95_5_2_7,T3,AcrAss2,2,7,0.95,0.05,0.312796163186361,0.687203836813639,0.927586876107591
51,AcrAss2_95_5_3_7,T3,AcrAss2,3,7,0.95,0.05,0.0520146207892314,0.947985379210769,0.954532543077585
52,AcrAss2_95_5_4_7,T3,AcrAss2,4,7,0.95,0.05,0.0277184003151559,0.972281599684844,0.948169506130651
53,AcrAss2_95_5_5_7,T3,AcrAss2,5,7,0.95,0.05,0.0124844552036336,0.987515544796366,0.865276471544799
54,AcrAss2_95_5_6_7,T3,AcrAss2,6,7,0.95,0.05,0.0357806121643085,0.964219387835691,0.954529903775392
56,AcrAss2_95_5_8_7,T3,AcrAss2,7,8,0.05,0.95,0.0196777788951593,0.980322221104841,0.965498024299984
57,AcrAss2_95_5_1_8,T3,AcrAss2,1,8,0.95,0.05,0.0242679912028133,0.975732008797187,0.960354549564277
58,AcrAss2_95_5_2_8,T3,AcrAss2,2,8,0.95,0.05,0.0347342096134933,0.965265790386507,0.917887278513622
59,AcrAss2_95_5_3_8,T3,AcrAss2,3,8,0.95,0.05,0.0412921202381806,0.958707879761819,0.945756314500128
60,AcrAss2_95_5_4_8,T3,AcrAss2,4,8,0.95,0.05,0.336050060096786,0.663949939903214,0.410405232277502
61,AcrAss2_95_5_5_8,T3,AcrAss2,5,8,0.95,0.05,0.0125334881873945,0.987466511812605,0.834081273518892
62,AcrAss2_95_5_6_8,T3,AcrAss2,6,8,0.95,0.05,0.0301174159324999,0.9698825840675,0.959934405522517
63,AcrAss2_95_5_7_8,T3,AcrAss2,7,8,0.95,0.05,0.579241559549269,0.420758440450731,0.973769927671542
65,RanAss2_95_5_1_5,T3,RanAss2,1,5,0.95,0.05,0.971779452491812,0.0282205475081875,0.963304512692173
66,RanAss2_95_5_2_5,T3,RanAss2,2,5,0.95,0.05,0.961897867242774,0.038102132757226,0.970099774314358
67,RanAss2_95_5_3_5,T3,RanAss2,3,5,0.95,0.05,0.950600517375334,0.0493994826246664,0.971277310000728
68,RanAss2_95_5_4_5,T3,RanAss2,4,5,0.95,0.05,0.0525724873627234,0.947427512637277,0.933871161960785
70,RanAss2_95_5_6_5,T3,RanAss2,5,6,0.05,0.95,0.0180591868820446,0.981940813117955,0.967587679043848
71,RanAss2_95_5_7_5,T3,RanAss2,5,7,0.05,0.95,0.0846988669038558,0.915301133096144,0.969387445676407
72,RanAss2_95_5_8_5,T3,RanAss2,5,8,0.05,0.95,0.0385318267832971,0.961468173216703,0.977275394106917
73,RanAss2_95_5_1_6,T3,RanAss2,1,6,0.95,0.05,0.709910904818229,0.290089095181771,0.921628798784905
74,RanAss2_95_5_2_6,T3,RanAss2,2,6,0.95,0.05,0.0666335321262661,0.933366467873734,0.963307809867106
75,RanAss2_95_5_3_6,T3,RanAss2,3,6,0.95,0.05,0.914042078623293,0.0859579213767071,0.97400613944052
76,RanAss2_95_5_4_6,T3,RanAss2,4,6,0.95,0.05,0.0339362687081941,0.966063731291806,0.965138018020937
77,RanAss2_95_5_5_6,T3,RanAss2,5,6,0.95,0.05,0.0203388345987569,0.979661165401243,0.967124179296969
79,RanAss2_95_5_7_6,T3,RanAss2,6,7,0.05,0.95,0.976404134774216,0.0235958652257838,0.972954972151342
80,RanAss2_95_5_8_6,T3,RanAss2,6,8,0.05,0.95,0.778257428864215,0.221742571135785,0.965859965829306
