Community,Isolate1,Isolate2
C1R2,1,2
C1R2,1,3
C1R2,1,4
C1R2,2,3
C1R2,2,4
C1R2,3,4
C1R4,1,2
C1R4,1,3
C1R4,1,4
C1R4,1,5
C1R4,2,3
C1R4,2,4
C1R4,2,5
C1R4,3,4
C1R4,3,5
C1R4,4,5
C1R6,1,2
C1R6,1,3
C1R6,1,4
C1R6,1,5
C1R6,2,3
C1R6,2,4
C1R6,2,5
C1R6,3,4
C1R6,3,5
C1R6,4,5
C1R7,1,2
C1R7,1,3
C1R7,1,4
C1R7,1,5
C1R7,1,6
C1R7,1,7
C1R7,2,3
C1R7,2,4
C1R7,2,5
C1R7,2,6
C1R7,2,7
C1R7,3,4
C1R7,3,5
C1R7,3,6
C1R7,3,7
C1R7,4,5
C1R7,4,6
C1R7,4,7
C1R7,5,6
C1R7,5,7
C1R7,6,7
C2R6,1,2
C2R6,1,3
C2R6,1,4
C2R6,2,3
C2R6,2,4
C2R6,3,4
C2R8,1,2
C2R8,1,3
C2R8,1,4
C2R8,2,3
C2R8,2,4
C2R8,3,4
C4R1,1,2
C4R1,1,3
C4R1,2,3
C7R1,1,2
C7R1,1,3
C7R1,1,4
C7R1,2,3
C7R1,2,4
C7R1,3,4
C8R4,1,2
C8R4,1,3
C8R4,2,3
C10R2,1,2
C10R2,1,3
C10R2,2,3
C11R1,1,2
C11R1,1,3
C11R1,1,4
C11R1,1,5
C11R1,1,6
C11R1,1,7
C11R1,1,8
C11R1,1,9
C11R1,2,3
C11R1,2,4
C11R1,2,5
C11R1,2,6
C11R1,2,7
C11R1,2,8
C11R1,2,9
C11R1,3,4
C11R1,3,5
C11R1,3,6
C11R1,3,7
C11R1,3,8
C11R1,3,9
C11R1,4,5
C11R1,4,6
C11R1,4,7
C11R1,4,8
C11R1,4,9
C11R1,5,6
C11R1,5,7
C11R1,5,8
C11R1,5,9
C11R1,6,7
C11R1,6,8
C11R1,6,9
C11R1,7,8
C11R1,7,9
C11R1,8,9
C11R2,1,2
C11R2,1,3
C11R2,1,4
C11R2,1,5
C11R2,1,6
C11R2,1,7
C11R2,1,8
C11R2,1,9
C11R2,1,10
C11R2,1,11
C11R2,1,12
C11R2,2,3
C11R2,2,4
C11R2,2,5
C11R2,2,6
C11R2,2,7
C11R2,2,8
C11R2,2,9
C11R2,2,10
C11R2,2,11
C11R2,2,12
C11R2,3,4
C11R2,3,5
C11R2,3,6
C11R2,3,7
C11R2,3,8
C11R2,3,9
C11R2,3,10
C11R2,3,11
C11R2,3,12
C11R2,4,5
C11R2,4,6
C11R2,4,7
C11R2,4,8
C11R2,4,9
C11R2,4,10
C11R2,4,11
C11R2,4,12
C11R2,5,6
C11R2,5,7
C11R2,5,8
C11R2,5,9
C11R2,5,10
C11R2,5,11
C11R2,5,12
C11R2,6,7
C11R2,6,8
C11R2,6,9
C11R2,6,10
C11R2,6,11
C11R2,6,12
C11R2,7,8
C11R2,7,9
C11R2,7,10
C11R2,7,11
C11R2,7,12
C11R2,8,9
C11R2,8,10
C11R2,8,11
C11R2,8,12
C11R2,9,10
C11R2,9,11
C11R2,9,12
C11R2,10,11
C11R2,10,12
C11R2,11,12
C11R5,1,2
C11R5,1,3
C11R5,1,4
C11R5,1,5
C11R5,2,3
C11R5,2,4
C11R5,2,5
C11R5,3,4
C11R5,3,5
C11R5,4,5
