Community,Isolate1,Isolate2,FreqFunc,PairIsolate1MeasuredFreqT8,Isolate1Win,FromRare,FromMedium,FromAbundant,InteractionType,InteractionTypeFiner,From,To
C1R2,1,2,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,2
C1R2,1,3,-1_-1_0,0_0_0.9,,-1,-1,0,coexistence,frequency-dependent coexistence,1,3
C1R2,1,4,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,4
C1R2,2,3,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,3,2
C1R2,2,4,1_1_0,0.6_0.63_0.86,,1,1,0,coexistence,stable coexistence,2,4
C1R2,3,4,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,3,4
C1R4,1,2,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,2,1
C1R4,1,3,-1_1_0,0_0.94_0.88,,-1,1,0,coexistence,frequency-dependent coexistence,1,3
C1R4,1,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,1
C1R4,1,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,1
C1R4,2,3,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,2,3
C1R4,2,4,1_-1_-1,0.59_0.61_0.15,,1,-1,-1,coexistence,stable coexistence,2,4
C1R4,2,5,-1_0_-1,0.06_0.62_0.14,,-1,0,-1,coexistence,frequency-dependent coexistence,2,5
C1R4,3,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,3
C1R4,3,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,3
C1R4,4,5,1_1_-1,0.92_0.91_0.59,,1,1,-1,coexistence,stable coexistence,4,5
C1R6,1,2,0_-1_-1,0.04_0.04_0,,0,-1,-1,coexistence,stable coexistence,1,2
C1R6,1,3,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,3,1
C1R6,1,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,1
