FromRare,FromMedium,FromAbundant,InteractionType,Count
+,+,+,exclusion,51
+,+,0,coexistence,9
+,+,0,exclusion,4
+,+,-,coexistence,13
+,0,+,,
+,0,0,coexistence,3
+,0,0,exclusion,5
+,0,-,coexistence,7
+,-,+,,
+,-,0,,
+,-,-,coexistence,11
0,+,+,,
0,+,0,,
0,+,-,coexistence,1
0,0,+,,
0,0,0,neutrality,1
0,0,-,coexistence,5
0,0,-,exclusion,3
0,-,+,,
0,-,0,,
0,-,-,coexistence,4
0,-,-,exclusion,2
-,+,+,coexistence,1
-,+,+,exclusion,2
-,+,0,coexistence,1
-,+,-,coexistence,3
-,0,+,,
-,0,0,,
-,0,-,coexistence,4
-,-,+,exclusion,2
-,-,0,coexistence,2
-,-,-,exclusion,51
