ExpID,ID,Community,Isolate
1.2.A.1,259,C1R2,1
1.2.A.3,428,C1R2,2
1.2.A.5,364,C1R2,3
1.2.B.6,432,C1R2,4
1.4.A.1,267,C1R4,1
1.4.A.3,269,C1R4,2
1.4.A.4,434,C1R4,3
1.4.A.5,435,C1R4,4
1.4.B.4,270,C1R4,5
1.6.A.1,272,C1R6,1
1.6.A.2,273,C1R6,2
1.6.A.4,274,C1R6,3
1.6.A.5,438,C1R6,4
1.6.A.6,439,C1R6,5
1.7.A.1,440,C1R7,1
1.7.A.1.2,441,C1R7,2
1.7.A.3,283,C1R7,3
1.7.A.4,284,C1R7,4
1.7.A.5,442,C1R7,5
1.7.B.3,286,C1R7,6
1.7.B.4,287,C1R7,7
2.6.A.1,276,C2R6,1
2.6.A.2,277,C2R6,2
2.6.A.3,278,C2R6,3
2.6.A.5,,C2R6,4
2.8.A.1,288,C2R8,1
2.8.A.2,289,C2R8,2
2.8.A.3,290,C2R8,3
2.8.B.2,444,C2R8,4
4.1.A.1,294,C4R1,1
4.1.A.2,295,C4R1,2
4.1.B.4,302,C4R1,3
7.1.A.1,303,C7R1,1
7.1.A.2,304,C7R1,2
7.1.A.3,305,C7R1,3
7.1.B.2,308,C7R1,4
8.4.A.1,316,C8R4,1
8.4.A.2,317,C8R4,2
8.4.B.2,446,C8R4,3
10.2.A.1,326,C10R2,1
10.2.A.2,327,C10R2,2
10.2.C.4,,C10R2,3
11.1.A.1,335,C11R1,1
11.1.A.2,452,C11R1,2
11.1.A.3,336,C11R1,3
11.1.A.4,332,C11R1,4
11.1.B.1,338,C11R1,5
11.1.B.3,340,C11R1,6
11.1.C.1,461,C11R1,7
11.1.C.2,341,C11R1,8
11.1.C.3,342,C11R1,9
11.2.A.1,343,C11R2,1
11.2.A.2,453,C11R2,2
11.2.A.3,344,C11R2,3
11.2.A.3.2,345,C11R2,4
11.2.B.1,346,C11R2,5
11.2.B.2,280,C11R2,6
11.2.B.3,348,C11R2,7
11.2.B.4.1,454,C11R2,8
11.2.B.4.2,455,C11R2,9
11.2.B.6,350,C11R2,10
11.2.B.7,458,C11R2,11
11.2.B.8.2,460,C11R2,12
11.5.A.1,352,C11R5,1
11.5.A.1.2,353,C11R5,2
11.5.B.1,355,C11R5,3
11.5.B.2,462,C11R5,4
11.5.B.3,356,C11R5,5
1.2.A.3,428,AcrAss1,1
1.4.A.3,269,AcrAss1,2
1.6.A.4,274,AcrAss1,3
1.7.A.3,283,AcrAss1,4
2.6.A.1,276,AcrAss1,5
4.1.A.1,294,AcrAss1,6
8.4.A.1,316,AcrAss1,7
11.1.B.3,340,AcrAss1,8
1.2.A.1,259,AcrAss2,1
1.7.A.1,440,AcrAss2,2
2.6.A.2,277,AcrAss2,3
2.8.A.3,290,AcrAss2,4
7.1.A.1,303,AcrAss2,5
8.4.B.2,446,AcrAss2,6
11.2.B.2,280,AcrAss2,7
11.5.A.1.2,353,AcrAss2,8
JVN1,370,RanAss1,1
JVN4,373,RanAss1,2
JVN13,382,RanAss1,3
JVN16,385,RanAss1,4
JVN20,389,RanAss1,5
JVN21,390,RanAss1,6
JVN25,394,RanAss1,7
JVN30,399,RanAss1,8
JVN7,376,RanAss2,1
JVN9,378,RanAss2,2
JVN17,386,RanAss2,3
JVN19,388,RanAss2,4
JVN23,392,RanAss2,5
JVN35,404,RanAss2,6
JVN36,405,RanAss2,7
JVN41,410,RanAss2,8
