Assembly,ExpID,ID,Community,Isolate,Family,Genus,r_glucose_curver,r_lactate_curver,r_succinate_curver,r_acetate_curver,r_ketogluconate_midhr,r_acetate_midhr,r_glucose_midhr,r_lactate_midhr,r_gluconate_midhr,r_succinate_midhr,r_lactate_maxhr,r_succinate_maxhr,r_glucose_maxhr,r_acetate_maxhr,r_acetate_12hr,r_acetate_16hr,r_acetate_28hr,r_glucose_12hr,r_glucose_16hr,r_glucose_28hr,r_lactate_12hr,r_lactate_16hr,r_lactate_28hr,r_succinate_12hr,r_succinate_16hr,r_succinate_28hr,X_acetate_0hr,X_acetate_16hr,X_acetate_28hr,X_acetate_48hr,X_succinate_0hr,X_succinate_16hr,X_succinate_28hr,X_succinate_48hr,X_lactate_0hr,X_lactate_16hr,X_lactate_28hr,X_lactate_48hr,X_sum_0hr,X_sum_16hr,X_sum_28hr,X_sum_48hr,pH_0hr,pH_16hr,pH_28hr,pH_48hr,PreferredCS,SecretedCS,leakiness_16hr,leakiness_28hr,leakiness_48hr
self_assembly,1.2.A.1,259,C1R2,1,Enterobacteriaceae,Citrobacter,0.7052178243996916,0.20875074495197637,0.1682442493085467,0.11617477817288302,0.101369348326029,0.0157346659594301,0.138217969639093,0.082460895705953,0.138393865631637,0.0766203638941963,0.365248324,0.346913145,1.19818558,0.156454013,0.016848481902916917,0.01825613592481594,0.00702128302547818,0.07253879264187925,0.0718869180676716,0.04161754267733026,0.04204061991133574,0.041479871715844295,0.0346171252211419,0.04686926640247061,0.04393695489180894,0.033756098371017354,0,10.49379785,17.93816313,26.21026437,0,0.46009373,0.440687634,0.308516384,0,3.459889086,4.819779373,0.019639572,0,33.207637878,52.098414915,53.713512992000005,6.741614033,4.542101085,4.692081776,5.020497941,lactate,acetate,0.5174818060183151,0.7814762237250001,0.8057026948800002
self_assembly,1.2.A.3,428,C1R2,2,Pseudomonadaceae,Pseudomonas,0.1922326771320126,0.18685360256769515,0.18832986760081785,0.1288438612031311,0.0191314056012134,0.0385857877162629,0.081267943946563,0.0869377921111095,0.0848021264071174,0.0910232344558656,0.646321963,0.372067365,0.660662379,0.413907586,0.008017256783575602,0.012821441007093981,0.031732428111390945,0.04954945222021733,0.04682776729834239,0.037031529890299134,0.055379369961027124,0.05876448718728188,0.04244020412402474,0.027279911198860862,0.03829899104498346,0.03277742865884844,0,0,0.246738508,0.447529654,0,0.001952514,0.007984138,0.010082095,0,0.047832568,0,0,0,0.15130776,0.5254135679999999,0.935387688,6.933952033,6.824319251,6.874690642,6.857808019,lactate,lactate,0.0036879948963823277,0.01641430681606431,0.014030815320000002
self_assembly,1.2.A.5,364,C1R2,3,Enterobacteriaceae,Serratia,0.3718162892781294,0.10268759443440267,0.17152807412833979,0.08862554539657008,0.0834047957142875,0.0103916539828275,0.10934652953769,0.00699568974307181,0.120436434757555,0.0730136004882323,0.585331837,0.303239324,0.495718084,0.264868961,0.006650736611565122,0.00760180685131992,0.0231900780333425,0.0759544625397288,0.06189001016942773,0.035783068608429947,0.014066001692848476,0.014000925710803996,0.021885137739990547,0.032268011940022046,0.03254719072815513,0.03285609008117008,0,6.647544556,6.651420916,4.49797789,0,0.815435085,0.73256581,0.002214758,0,2.790233134,4.373683093,3.161971046,0,24.927528854,29.354154351000002,18.49072795,6.972338269,5.91469752,6.299053631,6.434561555,lactate,acetate,0.38742422479990235,0.4403123152650001,0.27736091925000006
self_assembly,1.2.B.6,432,C1R2,4,Pseudomonadaceae,Pseudomonas,0.49374434178618476,0.4729477074912021,0.34026835239528963,0.10595738625018235,0.0700094221244119,0.0512338801349075,0.0832304372029634,0.0586319196215305,0.0912538703673966,0.0865542740514248,0.87847798,0.57400225,0.407815908,0.63871565,0.04052205284662768,0.04402994369504965,0.03262010255617083,0.022881471691557718,0.020662389144168118,0.011839975636138625,0.06958422891353519,0.055012556440256946,0.03681023017844782,0.05629074237387466,0.059877218653529,0.0397836911538156,0,0,0.295075734,0.117842006,0,0.005623937,0.011917806,0.021620855,0,0.019133027,0.106675197,0.045825667,0,0.079894829,0.9578482829999999,0.45964443299999996,6.985988638,6.293778499,6.362721652,6.371606157,acetate,lactate,0.0011984224350000002,0.014367724245000003,0.006894666495000001
self_assembly,1.4.A.1,267,C1R4,1,Pseudomonadaceae,Pseudomonas,0.24318746211751405,0.2688643597378036,0.511568196893344,0.2357065218685172,0.0584548917588922,0.0209858273230487,0.0155638244441392,0.101432865155991,0.0666055764967975,0.110643323189053,0.665692724,0.808287673,0.681387066,0.311733074,0.009202837310393305,0.01189360065370508,0.01899913902199137,0.03430164216360252,0.032734154175722785,0.02649782420461425,0.06202441526022301,0.05727837178437031,0.04410345520469957,0.0337438441277253,0.02831172343768394,0.036046074134651086,0,0,0.464256024,0.070743771,0,0.011131073,0.016113719,0.020047387,0,0,0.025860654,0.03273262,0,0.044524292,1.070548886,0.31987495,6.908801003,6.670972254,6.31858073,6.384465737,acetate,succinate,NA,0.016183913190178367,0.004798124250000001
self_assembly,1.4.A.3,269,C1R4,2,Enterobacteriaceae,Enterobacter,0.4764709215368055,0.18800386304070657,0.1853440026052361,0.13235413737635454,0.109480668806176,0.00995932070986249,0.163007517252774,0.0440628759786084,0.134041146620176,0.0111934126412695,0.214427743,0.30958546,0.65998484,0.12844312,0.013983698554303389,0.016856591998464496,0.019903439645858244,0.07476952019524095,0.05551874183419781,0.031435746537289685,0.023229466746069072,0.020459933399145647,0.02622856223287739,0.008260956083501211,0.007808671038018758,0.01768911513029461,0,8.072406572,9.672497524,6.899987891,0,0.611146587,0.51726304,0.06410447,0,0.685600142,0.219815558,0.091651335,0,20.646199918,22.073493882,14.331347667000001,6.953037794,5.854470173,5.966499379,6.187055134,lactate,acetate,0.30969299877000006,0.3311024082300001,0.21497021500500005
self_assembly,1.4.A.4,434,C1R4,3,Pseudomonadaceae,Pseudomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
self_assembly,1.4.A.5,435,C1R4,4,Enterobacteriaceae,Citrobacter,0.5231158313935909,0.1942434215487787,0.174296994198514,0.10060617379967213,0.0739871197768118,0.00543092542177073,0.0945092175379323,0.069473298883955,0.126155830599564,0.0426584042940556,0.365193288,0.266078895,0.963391152,0.184322207,0.025362455007807354,0.027603058534840214,0.02404816349368596,0.0845783624827447,0.0734604269413343,0.04278462028272042,NA,0.0019630290157264946,0.022533432823721118,0.02245941201815969,0.028522877070565188,0.030747736453574776,0,9.934342827,18.95324487,29.27164966,0,0.440425389,0.467698822,0.344968376,0,4.693969341,6.924190085,0.072011763,0,35.712295233,60.549855283,60.139208113,6.985988638,4.983268484,4.627326655,5.101825647,lactate,acetate,0.5780807586053698,0.9082478292450001,0.9020881216950002
self_assembly,1.4.B.4,270,C1R4,5,Enterobacteriaceae,Citrobacter,0.7428788167451534,0.2199120853503546,0.15484684081296052,0.11352117421823625,0.116484858507251,0.0196777763918467,0.119350842918544,0.0819689590984326,0.11116580510183,0.0650629176501517,0.432896169,0.36430381,0.936462651,0.178918201,0.026188188449811356,0.028086932048406947,0.023364511539003114,0.0922674974706557,0.07314135721218483,0.04182123935843929,0.041237501806674494,0.040061128584895744,0.03263620901370416,0.03769147258288586,0.03634209128413656,0.027403332956979835,0,9.890635397,17.35811642,29.38939525,0,0.490776341,0.475303913,0.432558053,0,4.464373015,5.880066184,0.098197859,0,35.137495203,54.257647044,60.803616289,6.874690642,4.867230929,4.677390168,5.043876133,lactate,acetate,0.5732684872470808,0.8138647056600001,0.912054244335
self_assembly,1.6.A.1,272,C1R6,1,Pseudomonadaceae,Pseudomonas,0.26110036525672137,0.23828083958491308,0.17949221730594014,0.16857656598828674,0.0514032067663521,0.0344433737549024,0.0427485306953658,0.0829573649478397,0.126572528926184,0.0830195960773055,0.475561944,0.573233669,0.250700647,0.23865306,0.0079044471665388,0.013993481440346428,0.02718929477447039,0.021258791739854285,0.023265579322264838,0.017584946211098452,0.056537361432618095,0.05492233805947899,0.041408706708030256,0.03647921356836567,0.0374926920046055,0.030314453608992993,0,0.117655443,0.295075734,0.635922595,0,0.014802496,0.003263737,0.044960619,0,0.057399082,0.164861669,0.052372191,0,0.466718116,1.0977914229999999,1.608804239,6.915059278,6.288980107,6.371606157,6.350299123,lactate,acetate,0.007562850830332167,0.016466871345000002,0.024132063585000002
