ID,PreferredCS,SecretedCS
326,lactate,succinate
327,succinate,acetate
332,lactate,acetate
335,acetate,acetate
336,acetate,succinate
338,lactate,acetate
340,succinate,acetate
342,NA,succinate
452,acetate,succinate
461,succinate,acetate
280,lactate and succinate,acetate
343,succinate,acetate
344,succinate,acetate
345,succinate,acetate
346,lactate,acetate
348,lactate,acetate
350,acetate,succinate
453,NA,succinate
454,acetate,succinate
458,succinate,acetate
460,lactate,acetate
352,succinate,succinate
356,succinate,acetate
462,succinate,succinate
358,succinate,acetate
360,succinate,acetate
259,lactate,acetate
364,lactate,acetate
428,lactate,lactate
432,acetate,lactate
267,acetate,succinate
269,lactate,acetate
270,lactate,acetate
435,lactate,acetate
272,lactate,acetate
273,lactate,acetate
274,NA,succinate
438,succinate,acetate
439,lactate,acetate
283,lactate,acetate
284,succinate,acetate
286,lactate,acetate
287,succinate,acetate
440,acetate,acetate
441,acetate,succinate
442,lactate,acetate
160,lactate,acetate
165,lactate,acetate
169,lactate,acetate
523,acetate,acetate
276,lactate,acetate
277,lactate,acetate
278,lactate,acetate
288,lactate,acetate
289,lactate,acetate
290,NA,acetate
444,acetate,acetate
294,NA,succinate
295,succinate,acetate
303,lactate,acetate
304,acetate,succinate
305,lactate,acetate
308,succinate,acetate
310,succinate,acetate
311,succinate,acetate
316,acetate,acetate
317,succinate,acetate
320,succinate,acetate
321,acetate,acetate
322,succinate,acetate
325,lactate,acetate
448,succinate,acetate
449,NA,acetate
