Community,Isolate,Win,Lose,Draw,Score,Game,Rank,PlotRank
C1R2,1,2,0,1,2,3,1,1
C1R2,3,2,0,1,2,3,1,2
C1R2,2,0,2,1,-2,3,3,3
C1R2,4,0,2,1,-2,3,3,4
C1R4,2,2,0,2,2,4,1,1
C1R4,4,2,0,2,2,4,1,2
C1R4,5,2,0,2,2,4,1,3
C1R4,1,0,3,1,-3,4,4,4
C1R4,3,0,3,1,-3,4,4,5
C1R6,2,3,0,1,3,4,1,1
C1R6,5,3,1,0,2,4,2,2
C1R6,3,1,2,1,-1,4,3,3
C1R6,4,1,2,1,-1,4,3,4
C1R6,1,0,3,1,-3,4,5,5
C1R7,1,5,0,1,5,6,1,1
C1R7,7,5,0,1,5,6,1,2
C1R7,4,4,2,0,2,6,3,3
C1R7,3,1,3,2,-2,6,4,4
C1R7,5,1,3,2,-2,6,4,5
C1R7,6,1,3,2,-2,6,4,6
C1R7,2,0,6,0,-6,6,7,7
C2R6,1,3,0,0,3,3,1,1
C2R6,3,1,1,1,0,3,2,2
C2R6,2,0,1,2,-1,3,3,3
C2R6,4,0,2,1,-2,3,4,4
C2R8,2,2,0,1,2,3,1,1
C2R8,1,1,0,2,1,3,2,2
C2R8,3,0,1,2,-1,3,3,3
C2R8,4,0,2,1,-2,3,4,4
C4R1,1,1,0,1,1,2,1,1
C4R1,2,1,1,0,0,2,2,2
C4R1,3,0,1,1,-1,2,3,3
C7R1,1,3,0,0,3,3,1,1
C7R1,3,1,1,1,0,3,2,2
C7R1,4,1,1,1,0,3,2,3
C7R1,2,0,3,0,-3,3,4,4
C8R4,3,1,0,1,1,2,1,1
C8R4,2,0,0,2,0,2,2,2
C8R4,1,0,1,1,-1,2,3,3
C10R2,2,1,0,1,1,2,1,1
C10R2,1,1,1,0,0,2,2,2
C10R2,3,0,1,1,-1,2,3,3
C11R1,7,6,0,2,6,8,1,1
C11R1,6,5,0,3,5,8,2,2
C11R1,5,5,2,1,3,8,3,3
C11R1,1,0,0,8,0,8,4,4
C11R1,2,0,2,6,-2,8,5,5
C11R1,8,1,3,4,-2,8,5,6
C11R1,3,0,3,5,-3,8,7,7
C11R1,4,0,3,5,-3,8,7,8
C11R1,9,0,4,4,-4,8,9,9
C11R2,4,10,0,1,10,11,1,1
C11R2,11,9,0,2,9,11,2,2
C11R2,6,7,2,2,5,11,3,3
C11R2,1,4,2,5,2,11,4,4
C11R2,5,3,3,5,0,11,5,5
C11R2,7,3,3,5,0,11,5,6
C11R2,12,3,3,5,0,11,5,7
C11R2,2,1,3,7,-2,11,8,8
C11R2,3,2,4,5,-2,11,8,9
C11R2,8,1,5,5,-4,11,10,10
C11R2,10,0,8,3,-8,11,11,11
C11R2,9,0,10,1,-10,11,12,12
C11R5,4,4,0,0,4,4,1,1
C11R5,2,3,1,0,2,4,2,2
C11R5,5,2,2,0,0,4,3,3
C11R5,1,0,3,1,-3,4,4,4
C11R5,3,0,3,1,-3,4,4,5
