Community,Motif,CountMotif,Percentile
C1R2,Motif1,0,p5
C1R2,Motif1,1,p95
C1R2,Motif2,0,p5
C1R2,Motif2,1,p95
C1R2,Motif3,0,p5
C1R2,Motif3,2,p95
C1R2,Motif4,0,p5
C1R2,Motif4,2,p95
C1R2,Motif5,0,p5
C1R2,Motif5,2,p95
C1R2,Motif6,0,p5
C1R2,Motif6,1,p95
C1R2,Motif7,0,p5
C1R2,Motif7,0,p95
C1R4,Motif1,0,p5
C1R4,Motif1,2,p95
C1R4,Motif2,0,p5
C1R4,Motif2,2,p95
C1R4,Motif3,0,p5
C1R4,Motif3,3,p95
C1R4,Motif4,0,p5
C1R4,Motif4,5,p95
C1R4,Motif5,0,p5
C1R4,Motif5,3,p95
C1R4,Motif6,0,p5
C1R4,Motif6,4,p95
C1R4,Motif7,0,p5
C1R4,Motif7,1,p95
C1R6,Motif1,0,p5
C1R6,Motif1,3,p95
C1R6,Motif2,2,p5
C1R6,Motif2,5,p95
C1R6,Motif3,0,p5
C1R6,Motif3,3,p95
C1R6,Motif4,1,p5
C1R6,Motif4,4,p95
C1R6,Motif5,0,p5
C1R6,Motif5,3,p95
C1R6,Motif6,0,p5
C1R6,Motif6,1,p95
C1R6,Motif7,0,p5
C1R6,Motif7,0,p95
C1R7,Motif1,1,p5
C1R7,Motif1,7,p95
C1R7,Motif2,10,p5
C1R7,Motif2,17,p95
C1R7,Motif3,1,p5
C1R7,Motif3,7,p95
C1R7,Motif4,4,p5
C1R7,Motif4,11,p95
C1R7,Motif5,1,p5
C1R7,Motif5,6,p95
C1R7,Motif6,1,p5
C1R7,Motif6,4,p95
C1R7,Motif7,0,p5
C1R7,Motif7,1,p95
C2R6,Motif1,0,p5
C2R6,Motif1,1,p95
C2R6,Motif2,0,p5
C2R6,Motif2,1,p95
C2R6,Motif3,0,p5
C2R6,Motif3,2,p95
C2R6,Motif4,0,p5
C2R6,Motif4,2,p95
C2R6,Motif5,0,p5
C2R6,Motif5,2,p95
C2R6,Motif6,0,p5
C2R6,Motif6,1,p95
C2R6,Motif7,0,p5
C2R6,Motif7,0,p95
C2R8,Motif1,0,p5
C2R8,Motif1,0,p95
C2R8,Motif2,0,p5
C2R8,Motif2,1,p95
C2R8,Motif3,0,p5
C2R8,Motif3,1,p95
C2R8,Motif4,0,p5
C2R8,Motif4,2,p95
C2R8,Motif5,0,p5
C2R8,Motif5,1,p95
C2R8,Motif6,0,p5
C2R8,Motif6,1,p95
C2R8,Motif7,0,p5
C2R8,Motif7,0,p95
C4R1,Motif1,0,p5
C4R1,Motif1,0,p95
C4R1,Motif2,0,p5
C4R1,Motif2,0,p95
C4R1,Motif3,0,p5
C4R1,Motif3,1,p95
C4R1,Motif4,0,p5
C4R1,Motif4,1,p95
C4R1,Motif5,0,p5
C4R1,Motif5,1,p95
C4R1,Motif6,0,p5
C4R1,Motif6,0,p95
C4R1,Motif7,0,p5
C4R1,Motif7,0,p95
C7R1,Motif1,0,p5
C7R1,Motif1,2,p95
C7R1,Motif2,0,p5
C7R1,Motif2,2,p95
C7R1,Motif3,0,p5
C7R1,Motif3,2,p95
C7R1,Motif4,0,p5
C7R1,Motif4,2,p95
C7R1,Motif5,0,p5
C7R1,Motif5,2,p95
C7R1,Motif6,0,p5
C7R1,Motif6,0,p95
C7R1,Motif7,0,p5
C7R1,Motif7,0,p95
C8R4,Motif1,0,p5
C8R4,Motif1,0,p95
C8R4,Motif2,0,p5
C8R4,Motif2,0,p95
C8R4,Motif3,0,p5
C8R4,Motif3,0,p95
C8R4,Motif4,0,p5
C8R4,Motif4,0,p95
C8R4,Motif5,0,p5
C8R4,Motif5,0,p95
C8R4,Motif6,1,p5
C8R4,Motif6,1,p95
C8R4,Motif7,0,p5
C8R4,Motif7,0,p95
C10R2,Motif1,0,p5
C10R2,Motif1,0,p95
C10R2,Motif2,0,p5
C10R2,Motif2,0,p95
C10R2,Motif3,0,p5
C10R2,Motif3,1,p95
C10R2,Motif4,0,p5
C10R2,Motif4,1,p95
C10R2,Motif5,0,p5
C10R2,Motif5,1,p95
C10R2,Motif6,0,p5
C10R2,Motif6,0,p95
C10R2,Motif7,0,p5
C10R2,Motif7,0,p95
C11R1,Motif1,0,p5
C11R1,Motif1,4,p95
C11R1,Motif2,3,p5
C11R1,Motif2,9,p95
C11R1,Motif3,4,p5
C11R1,Motif3,12,p95
C11R1,Motif4,10,p5
C11R1,Motif4,21,p95
C11R1,Motif5,4,p5
C11R1,Motif5,12,p95
C11R1,Motif6,28,p5
C11R1,Motif6,41,p95
C11R1,Motif7,8,p5
C11R1,Motif7,15,p95
C11R2,Motif1,9,p5
C11R2,Motif1,20,p95
C11R2,Motif2,38,p5
C11R2,Motif2,52,p95
C11R2,Motif3,17,p5
C11R2,Motif3,33,p95
C11R2,Motif4,40,p5
C11R2,Motif4,60,p95
C11R2,Motif5,18,p5
C11R2,Motif5,33,p95
C11R2,Motif6,45,p5
C11R2,Motif6,60,p95
C11R2,Motif7,5,p5
C11R2,Motif7,13,p95
C11R5,Motif1,0,p5
C11R5,Motif1,3,p95
C11R5,Motif2,4,p5
C11R5,Motif2,7,p95
C11R5,Motif3,0,p5
C11R5,Motif3,2,p95
C11R5,Motif4,0,p5
C11R5,Motif4,3,p95
C11R5,Motif5,0,p5
C11R5,Motif5,2,p95
C11R5,Motif6,0,p5
C11R5,Motif6,0,p95
C11R5,Motif7,0,p5
C11R5,Motif7,0,p95
