ExpID,Community,Isolate,Fermenter,Family,Genus,AgarPlate
1.2.A.5,C1R2,3,TRUE,Enterobacteriaceae,Serratia,1
1.2.B.6,C1R2,4,FALSE,Pseudomonadaceae,Pseudomonas,1
1.4.A.3,C1R4,2,TRUE,Enterobacteriaceae,Enterobacter,1
1.4.A.4,C1R4,3,FALSE,Pseudomonadaceae,Pseudomonas,1
1.4.A.5,C1R4,4,TRUE,Enterobacteriaceae,Citrobacter,1
1.4.B.4,C1R4,5,TRUE,Enterobacteriaceae,Citrobacter,1
1.6.A.1,C1R6,1,FALSE,Pseudomonadaceae,Pseudomonas,2
1.6.A.2,C1R6,2,TRUE,Enterobacteriaceae,Enterobacter,2
1.6.A.6,C1R6,5,TRUE,Enterobacteriaceae,Citrobacter,2
2.8.A.3,C2R8,3,FALSE,Pseudomonadaceae,Pseudomonas,2
2.8.B.2,C2R8,4,FALSE,Pseudomonadaceae,Pseudomonas,2
4.1.A.1,C4R1,1,FALSE,Pseudomonadaceae,Pseudomonas,2
4.1.B.4,C4R1,3,FALSE,Comamonadaceae,Delftia,3
7.1.A.3,C7R1,3,TRUE,Enterobacteriaceae,Enterobacter,3
7.1.B.2,C7R1,4,TRUE,Enterobacteriaceae,Enterobacter,3
11.1.A.1,C11R1,1,FALSE,Pseudomonadaceae,Pseudomonas,3
11.1.A.2,C11R1,2,FALSE,Alcaligenaceae,Achromobacter,3
11.1.A.3,C11R1,3,FALSE,Moraxellaceae,Acinetobacter,3
11.1.A.4,C11R1,4,TRUE,Enterobacteriaceae,Pantoea,4
11.1.C.2,C11R1,8,FALSE,Alcaligenaceae,Achromobacter,4
11.1.C.3,C11R1,9,FALSE,Comamonadaceae,Delftia,4
11.2.A.2,C11R2,2,FALSE,Moraxellaceae,Acinetobacter,4
11.2.A.3,C11R2,3,TRUE,Enterobacteriaceae,Enterobacter,4
11.2.B.1,C11R2,5,TRUE,Enterobacteriaceae,Salmonella,4
11.2.B.2,C11R2,6,TRUE,Enterobacteriaceae,Enterobacter,5
11.2.B.3,C11R2,7,TRUE,Enterobacteriaceae,Enterobacter,5
11.2.B.4.1,C11R2,8,FALSE,Moraxellaceae,Acinetobacter,5
11.2.B.4.2,C11R2,9,FALSE,Xanthomonadaceae,Stenotrophomonas,5
11.2.B.6,C11R2,10,FALSE,Pseudomonadaceae,Pseudomonas,5
11.2.B.7,C11R2,11,TRUE,Enterobacteriaceae,Serratia,5
11.2.B.8.2,C11R2,12,TRUE,Enterobacteriaceae,Enterobacter,6
11.5.A.1,C11R5,1,FALSE,Pseudomonadaceae,Pseudomonas,6
11.5.A.1.2,C11R5,2,TRUE,Enterobacteriaceae,Raoultella,6
11.5.B.1,C11R5,3,FALSE,Pseudomonadaceae,Pseudomonas,6
11.5.B.2,C11R5,4,FALSE,Pseudomonadaceae,Pseudomonas,6
