Community,Isolate,Transfer,Wavelength,AbsMean,AbsSd
C1R2,1,8,620,0.139333333333333,0.00152752523165193
C1R2,2,8,620,0.199333333333333,0.0030550504633039
C1R2,3,8,620,0.157,0.00721110255092799
C1R2,4,8,620,0.157666666666667,0.0125033328890074
C1R4,1,8,620,0.153333333333333,0.0164418166068514
C1R4,2,8,620,0.135333333333333,0.00208166599946613
C1R4,3,8,620,0,0
C1R4,4,8,620,0.138,0.001
C1R4,5,8,620,0.134666666666667,0.00503322295684717
C1R6,1,8,620,0.147666666666667,0.0104083299973307
C1R6,2,8,620,0.158666666666667,0.00503322295684717
C1R6,3,8,620,0.140333333333333,0.00057735026918961
C1R6,4,8,620,0.147333333333333,0.00115470053837925
C1R6,5,8,620,0.141333333333333,0.000577350269189626
C1R7,1,8,620,0.158,0.00264575131106459
C1R7,2,8,620,0.144666666666667,0.0225018517756502
C1R7,3,8,620,0.148,0.00608276253029823
C1R7,4,8,620,0.154,0.003
C1R7,5,8,620,0.154,0.00173205080756888
C1R7,6,8,620,0.121333333333333,0.00152752523165195
C1R7,7,8,620,0.200333333333333,0.0055075705472861
C2R6,1,8,620,0.149333333333333,0.00326598632371091
C2R6,2,8,620,0.134166666666667,0.00526940856896357
C2R6,3,8,620,0.124166666666667,0.00147196014438798
C2R6,4,8,620,0.120166666666667,0.00147196014438798
C2R8,1,8,620,0.153,0.0105640901169954
C2R8,2,8,620,0.124833333333333,0.00365604522218567
C2R8,3,8,620,0.111666666666667,0.00480277697448743
C2R8,4,8,620,0.109166666666667,0.00426223728418148
C4R1,1,8,620,0.0433333333333333,0.00321455025366432
C4R1,2,8,620,0.194,0.00655743852430201
C4R1,3,8,620,0.0326666666666667,0.00115470053837925
C7R1,1,8,620,0.1545,0.00432434966208793
C7R1,2,8,620,0.0821666666666667,0.00172240142436851
C7R1,3,8,620,0.159333333333333,0.00233809038890003
C7R1,4,8,620,0.178333333333333,0.00196638416050035
C8R4,1,8,620,0.1,0.00357770876399966
C8R4,2,8,620,0.1765,0.00137840487520902
C8R4,3,8,620,0.101666666666667,0.0074475946900101
C10R2,1,8,620,0.1285,0.00989444288477123
C10R2,2,8,620,0.1485,0.00871206060584981
C10R2,3,8,620,5e-04,0.000547722557505166
C11R1,1,8,620,0.047,
C11R1,2,8,620,0,0
C11R1,3,8,620,0.000428571428571423,0.00293582145558064
C11R1,4,8,620,0.124428571428571,0.0110432051938004
C11R1,5,8,620,0.150714285714286,0.00704069801734378
C11R1,6,8,620,0.170142857142857,0.0152580969917459
C11R1,7,8,620,0.174142857142857,0.0101065749461851
C11R1,8,8,620,0.000428571428571429,0.000786795792469443
C11R1,9,8,620,0.000428571428571429,0.000534522483824849
C11R2,1,8,620,0.192666666666667,0.00850490054811539
C11R2,2,8,620,0.00333333333333333,0.00152752523165195
C11R2,3,8,620,0.149333333333333,0.00208166599946613
C11R2,4,8,620,0.212666666666667,0.0246846781087648
C11R2,5,8,620,0.154333333333333,0.00404145188432738
C11R2,6,8,620,0.15,0.00556776436283003
C11R2,7,8,620,0.134333333333333,0.00680685928555404
C11R2,8,8,620,0.003,0.001
C11R2,9,8,620,0,0.000577350269189626
C11R2,10,8,620,0.00133333333333333,0.00208166599946613
C11R2,11,8,620,0.159,0.001
C11R2,12,8,620,0.134666666666667,0.00208166599946613
C11R5,1,8,620,0.187666666666667,0.0126622799421484
C11R5,2,8,620,0.196,0.001
C11R5,3,8,620,0.218666666666667,0.0190087699058443
C11R5,4,8,620,0.199,0.001
C11R5,5,8,620,0.0545,0.00777817459305202
