Community,Isolate,ExpID,Fermenter,Family,Genus
C1R2,2,1.2.A.3,FALSE,Pseudomonadaceae,Pseudomonas
C1R2,4,1.2.B.6,FALSE,Pseudomonadaceae,Pseudomonas
C1R6,3,1.6.A.4,FALSE,Pseudomonadaceae,Pseudomonas
C1R6,4,1.6.A.5,TRUE,Enterobacteriaceae,Serratia
C1R7,1,1.7.A.1,TRUE,Enterobacteriaceae,Enterobacter
C1R7,3,1.7.A.3,TRUE,Enterobacteriaceae,Enterobacter
C1R7,5,1.7.A.5,TRUE,Enterobacteriaceae,Enterobacter
C1R7,6,1.7.B.3,TRUE,Enterobacteriaceae,Citrobacter
C1R7,7,1.7.B.4,TRUE,Enterobacteriaceae,Raoultella
C2R6,2,2.6.A.2,TRUE,Enterobacteriaceae,Raoultella
C2R6,3,2.6.A.3,TRUE,Enterobacteriaceae,Citrobacter
C2R6,4,2.6.A.5,,,
C8R4,2,8.4.A.2,TRUE,Enterobacteriaceae,Enterobacter
C8R4,3,8.4.B.2,FALSE,Pseudomonadaceae,Pseudomonas
C11R1,1,11.1.A.1,FALSE,Pseudomonadaceae,Pseudomonas
C11R1,2,11.1.A.2,FALSE,Alcaligenaceae,Achromobacter
C11R1,3,11.1.A.3,FALSE,Moraxellaceae,Acinetobacter
C11R1,4,11.1.A.4,TRUE,Enterobacteriaceae,Pantoea
C11R1,5,11.1.B.1,TRUE,Enterobacteriaceae,Enterobacter
C11R1,6,11.1.B.3,TRUE,Enterobacteriaceae,Raoultella
C11R1,7,11.1.C.1,TRUE,Enterobacteriaceae,Raoultella
C11R1,8,11.1.C.2,FALSE,Alcaligenaceae,Achromobacter
C11R1,9,11.1.C.3,FALSE,Comamonadaceae,Delftia
C11R2,1,11.2.A.1,TRUE,Aeromonadaceae,Aeromonas
C11R2,10,11.2.B.6,FALSE,Pseudomonadaceae,Pseudomonas
C11R2,12,11.2.B.8.2,TRUE,Enterobacteriaceae,Enterobacter
C11R2,2,11.2.A.2,FALSE,Moraxellaceae,Acinetobacter
C11R2,5,11.2.B.1,TRUE,Enterobacteriaceae,Salmonella
C11R2,6,11.2.B.2,TRUE,Enterobacteriaceae,Enterobacter
C11R2,7,11.2.B.3,TRUE,Enterobacteriaceae,Enterobacter
C11R2,8,11.2.B.4.1,FALSE,Moraxellaceae,Acinetobacter
C11R2,9,11.2.B.4.2,FALSE,Xanthomonadaceae,Stenotrophomonas
