Community,Isolate,OD620,ColonyCount,DilutionFactor,CFU,OD,V,ErrorCFU,ErrorOD,ErrorV,DF,ErrorDF,PartialCFU,PartialOD,PartialDF,PartialV,Epsilon,ErrorEpsilon
C1R2,1,0.139333333333333,81,5,81,0.139333333333333,20,9,0.001,0.4,1e-05,1.802775637732e-06,35885.1674641149,-20861472.9516267,-290669856459.331,-0.0179425837320575,2906698.56459331,615899.101750953
C1R2,2,0.199333333333333,91,5,91,0.199333333333333,20,9.53939201416946,0.001,0.4,1e-05,1.802775637732e-06,25083.6120401338,-11451214.192235,-228260869565.218,-0.0125418060200669,2282608.69565218,476153.369341567
C1R2,3,0.157,132,5,132,0.157,20,11.4891252930761,0.001,0.4,1e-05,1.802775637732e-06,31847.1337579618,-26775934.1149742,-420382165605.095,-0.0159235668789809,4203821.65605095,841985.990375611
C1R2,4,0.157666666666667,184,5,184,0.157666666666667,20,13.5646599662505,0.001,0.4,1e-05,1.802775637732e-06,31712.4735729386,-37009060.0682073,-583509513742.07,-0.0158562367864693,5835095.1374207,1137095.36403398
C1R4,1,0.153333333333333,65,5,65,0.153333333333333,20,8.06225774829855,0.001,0.4,1e-05,1.802775637732e-06,32608.695652174,-13823251.4177694,-211956521739.131,-0.016304347826087,2119565.21739131,464020.93968785
C1R4,2,0.135333333333333,106,5,106,0.135333333333333,20,10.295630140987,0.001,0.4,1e-05,1.802775637732e-06,36945.8128078819,-28937853.381543,-391625615763.548,-0.0184729064039409,3916256.15763548,802484.386616416
C1R4,3,0,0,3,0,0,20,0,0.001,0.4,0.001,0.00010816653826392,Inf,,,,,
C1R4,4,0.138,29,5,29,0.138,20,5.3851648071345,0.001,0.4,1e-05,1.802775637732e-06,36231.884057971,-7613946.64986347,-105072463768.116,-0.0181159420289855,1050724.63768116,272044.902581147
C1R4,5,0.134666666666667,41,5,41,0.134666666666667,20,6.40312423743285,0.001,0.4,1e-05,1.802775637732e-06,37128.712871287,-11304038.8197235,-152227722772.277,-0.0185643564356435,1522277.22772277,363264.55102124
C1R6,1,0.147666666666667,49,5,49,0.147666666666667,20,7,0.001,0.4,1e-05,1.802775637732e-06,33860.0451467268,-11235726.0419161,-165914221218.961,-0.0169300225733634,1659142.21218961,381797.512247037
C1R6,2,0.158666666666667,104,5,104,0.158666666666667,20,10.1980390271856,0.001,0.4,1e-05,1.802775637732e-06,31512.6050420167,-20655320.9519101,-327731092436.974,-0.0157563025210084,3277310.92436974,672887.933559859
C1R6,3,0.140333333333333,100,5,100,0.140333333333333,20,10,0.001,0.4,1e-05,1.802775637732e-06,35629.4536817103,-25389159.3931428,-356294536817.103,-0.0178147268408551,3562945.36817103,734958.66993932
C1R6,4,0.147333333333333,127,5,127,0.147333333333333,20,11.2694276695846,0.001,0.4,1e-05,1.802775637732e-06,33936.6515837105,-29253086.5461396,-430995475113.123,-0.0169683257918552,4309954.75113123,866505.481459368
C1R6,5,0.141333333333333,71,5,71,0.141333333333333,20,8.42614977317636,0.001,0.4,1e-05,1.802775637732e-06,35377.3584905661,-17772116.4115344,-251179245283.019,-0.0176886792452831,2511792.45283019,542422.550487621
C1R7,1,0.158,133,5,133,0.158,20,11.5325625946708,0.001,0.4,1e-05,1.802775637732e-06,31645.5696202532,-26638359.2373017,-420886075949.367,-0.0158227848101266,4208860.75949367,842391.202105973
C1R7,2,0.144666666666667,41,5,41,0.144666666666667,20,6.40312423743285,0.001,0.4,1e-05,1.802775637732e-06,34562.2119815667,-9795281.27588179,-141705069124.424,-0.0172811059907834,1417050.69124424,338132.245453233
C1R7,3,0.148,37,5,37,0.148,20,6.08276253029822,0.001,0.4,1e-05,1.802775637732e-06,33783.7837837838,-8445945.94594594,-1.25e+11,-0.0168918918918919,1250000,305093.942471252
C1R7,4,0.154,169,5,169,0.154,20,13,0.001,0.4,1e-05,1.802775637732e-06,32467.5324675325,-35629954.4611233,-548701298701.298,-0.0162337662337662,5487012.98701299,1076060.82093398
C1R7,5,0.154,56,5,56,0.154,20,7.48331477354788,0.001,0.4,1e-05,1.802775637732e-06,32467.5324675325,-11806375.4427391,-181818181818.182,-0.0162337662337662,1818181.81818182,408178.00558545
C1R7,6,0.121333333333333,51,5,51,0.121333333333333,20,7.14142842854285,0.001,0.4,1e-05,1.802775637732e-06,41208.7912087913,-17321277.6234755,-210164835164.836,-0.0206043956043957,2101648.35164836,480058.853767369
C1R7,7,0.200333333333333,519,5,519,0.200333333333333,20,22.781571499789,0.001,0.4,1e-05,1.802775637732e-06,24958.4026622297,-64659289.4261092,-1295341098169.72,-0.0124792013311148,12953410.9816972,2404304.49253295
C2R6,1,0.149333333333333,72,5,72,0.149333333333333,20,8.48528137423857,0.001,0.4,1e-05,1.802775637732e-06,33482.1428571429,-16143176.0204082,-241071428571.429,-0.0167410714285715,2410714.28571429,519472.464787926
C2R6,2,0.134166666666667,46,5,46,0.134166666666667,20,6.78232998312527,0.001,0.4,1e-05,1.802775637732e-06,37267.0807453415,-12777284.8269742,-171428571428.571,-0.0186335403726708,1714285.71428571,399449.48018999
C2R6,3,0.124166666666667,115,5,115,0.124166666666667,20,10.7238052947636,0.001,0.4,1e-05,1.802775637732e-06,40268.4563758388,-37295617.3145352,-463087248322.146,-0.0201342281879194,4630872.48322146,940654.505229696
C2R6,4,0.120166666666667,25,5,25,0.120166666666667,20,5,0.001,0.4,1e-05,1.802775637732e-06,41608.8765603327,-8656493.04306504,-104022191400.832,-0.0208044382801664,1040221.91400832,280222.060292514
C2R8,1,0.153,47,5,47,0.153,20,6.85565460040104,0.001,0.4,1e-05,1.802775637732e-06,32679.7385620915,-10038873.9373745,-153594771241.83,-0.0163398692810458,1535947.7124183,356324.358378011
C2R8,2,0.124833333333333,71,5,71,0.124833333333333,20,8.42614977317636,0.001,0.4,1e-05,1.802775637732e-06,40053.4045393859,-22780708.055779,-284379172229.64,-0.020026702269693,2843791.7222964,614210.810823098
C2R8,3,0.111666666666667,12,5,12,0.111666666666667,20,3.46410161513775,0.001,0.4,1e-05,1.802775637732e-06,44776.1194029849,-4811762.08509687,-53731343283.5819,-0.0223880597014925,537313.432835819,182934.139913213
C2R8,4,0.109166666666667,4,5,4,0.109166666666667,20,2,0.001,0.4,1e-05,1.802775637732e-06,45801.5267175571,-1678223.87972728,-18320610687.0228,-0.0229007633587786,,
C4R1,1,0.0433333333333333,48,4,48,0.0433333333333333,20,6.92820323027551,0.001,0.4,1e-04,1.4422205101856e-05,11538.4615384615,-12781065.0887574,-5538461538.46154,-0.0576923076923077,553846.153846154,113728.606170523
C4R1,2,0.194,149,5,149,0.194,20,12.2065556157337,0.001,0.4,1e-05,1.802775637732e-06,25773.1958762887,-19794877.2451908,-384020618556.701,-0.0128865979381443,3840206.18556701,760690.271194714
C4R1,3,0.0326666666666667,29,4,29,0.0326666666666667,20,5.3851648071345,0.001,0.4,1e-04,1.4422205101856e-05,15306.1224489796,-13588088.2965431,-4438775510.20408,-0.0765306122448979,443877.551020408,105246.604325577
C7R1,1,0.1545,69,5,69,0.1545,20,8.30662386291808,0.001,0.4,1e-05,1.802775637732e-06,32362.4595469256,-14453137.2733842,-223300970873.786,-0.0161812297734628,2233009.70873786,484283.368723091
C7R1,2,0.0821666666666667,26,5,26,0.0821666666666667,20,5.09901951359278,0.001,0.4,1e-05,1.802775637732e-06,60851.9269776876,-19255376.4878687,-158215010141.988,-0.0304259634888438,1582150.10141988,421902.37925885
C7R1,3,0.159333333333333,62,5,62,0.159333333333333,20,7.87400787401181,0.001,0.4,1e-05,1.802775637732e-06,31380.7531380754,-12210920.6771591,-194560669456.067,-0.0156903765690377,1945606.69456067,429218.750513018
C7R1,4,0.178333333333333,64,5,64,0.178333333333333,20,8,0.001,0.4,1e-05,1.802775637732e-06,28037.3831775701,-10062014.1497074,-179439252336.449,-0.0140186915887851,1794392.52336449,393771.840072704
C8R4,1,0.1,120,5,120,0.1,20,10.9544511501033,0.001,0.4,1e-05,1.802775637732e-06,50000,-6e+07,-6e+11,-0.025,6e+06,1213919.27243948
C8R4,2,0.1765,58,5,58,0.1765,20,7.61577310586391,0.001,0.4,1e-05,1.802775637732e-06,28328.611898017,-9309118.92399425,-164305949008.498,-0.0141643059490085,1643059.49008499,366566.092504146
C8R4,3,0.101666666666667,157,5,157,0.101666666666667,20,12.5299640861417,0.001,0.4,1e-05,1.802775637732e-06,49180.3278688523,-75947325.9876372,-772131147540.981,-0.0245901639344262,7721311.47540981,1524175.44282883
C10R2,1,0.1285,34,5,34,0.1285,20,5.8309518948453,0.001,0.4,1e-05,1.802775637732e-06,38910.5058365759,-10295386.7583158,-132295719844.358,-0.0194552529182879,1322957.19844358,329340.159439715
C10R2,2,0.1485,78,5,78,0.1485,20,8.83176086632785,0.001,0.4,1e-05,1.802775637732e-06,33670.0336700337,-17685270.2105227,-262626262626.262,-0.0168350168350168,2626262.62626263,559374.579109034
C10R2,3,5e-04,0,5,0,5e-04,20,0,0.001,0.4,1e-05,1.802775637732e-06,1e+07,0,0,,,
C11R1,1,0.047,39,4,39,0.047,20,6.2449979983984,0.001,0.4,1e-04,1.4422205101856e-05,10638.2978723404,-8827523.76641014,-4148936170.21276,-0.0531914893617021,414893.617021277,89845.0371401115
C11R1,2,0,5,2,5,0,20,2.23606797749979,0.001,0.4,0.01,0.000721110255092798,Inf,-Inf,-Inf,-Inf,,
C11R1,3,0.000428571428571423,274,2,274,0.000428571428571423,20,16.5529453572469,0.001,0.4,0.01,0.000721110255092798,11666.6666666668,-7458888888.88908,-319666666.666671,-5.83333333333341,3196666.66666671,7464948.42753032
C11R1,4,0.124428571428571,56,5,56,0.124428571428571,20,7.48331477354788,0.001,0.4,1e-05,1.802775637732e-06,40183.6969001149,-18084970.3614754,-225028702640.644,-0.0200918484500575,2250287.02640644,505297.089096879
C11R1,5,0.150714285714286,185,5,185,0.150714285714286,20,13.6014705087354,0.001,0.4,1e-05,1.802775637732e-06,33175.3554502369,-40722355.7422338,-613744075829.382,-0.0165876777251185,6137440.75829383,1195611.10252008
C11R1,6,0.170142857142857,180,5,180,0.170142857142857,20,13.4164078649987,0.001,0.4,1e-05,1.802775637732e-06,29387.0696893367,-31089595.1373336,-528967254408.061,-0.0146935348446684,5289672.54408061,1032368.73082222
C11R1,7,0.174142857142857,195,5,195,0.174142857142857,20,13.9642400437689,0.001,0.4,1e-05,1.802775637732e-06,28712.0590648072,-32150911.0938982,-559885151763.741,-0.0143560295324036,5598851.51763741,1086540.48789797
C11R1,8,0.000428571428571429,2,2,2,0.000428571428571429,20,1.4142135623731,0.001,0.4,0.01,0.000721110255092798,11666.6666666667,-54444444.4444443,-2333333.33333333,-5.83333333333333,,
C11R1,9,0.000428571428571429,140,2,140,0.000428571428571429,20,11.8321595661992,0.001,0.4,0.01,0.000721110255092798,11666.6666666667,-3811111111.1111,-163333333.333333,-5.83333333333333,1633333.33333333,3815428.66546342
C11R2,1,0.192666666666667,57,5,57,0.192666666666667,20,7.54983443527075,0.001,0.4,1e-05,1.802775637732e-06,25951.5570934256,-7677709.79753592,-147923875432.526,-0.0129757785467128,1479238.75432526,331001.938385701
C11R2,2,0.00333333333333333,137,2,137,0.00333333333333333,20,11.7046999107196,0.001,0.4,0.01,0.000721110255092798,1500,-61650000.0000001,-20550000,-0.750000000000001,205500,65791.8672792467
C11R2,3,0.149333333333333,41,5,41,0.149333333333333,20,6.40312423743285,0.001,0.4,1e-05,1.802775637732e-06,33482.1428571429,-9192641.90051024,-137276785714.286,-0.0167410714285715,1372767.85714286,327557.156584636
C11R2,4,0.212666666666667,131,5,131,0.212666666666667,20,11.4455231422596,0.001,0.4,1e-05,1.802775637732e-06,23510.9717868338,-14482463.8122659,-307993730407.523,-0.0117554858934169,3079937.30407523,617185.149872398
C11R2,5,0.154333333333333,68,5,68,0.154333333333333,20,8.24621125123532,0.001,0.4,1e-05,1.802775637732e-06,32397.4082073435,-14274451.9963242,-220302375809.936,-0.0161987041036717,2203023.75809936,478861.895039476
C11R2,6,0.15,115,5,115,0.15,20,10.7238052947636,0.001,0.4,1e-05,1.802775637732e-06,33333.3333333333,-25555555.5555556,-383333333333.333,-0.0166666666666667,3833333.33333333,778460.216479927
C11R2,7,0.134333333333333,30,5,30,0.134333333333333,20,5.47722557505166,0.001,0.4,1e-05,1.802775637732e-06,37220.8436724567,-8312347.22213674,-111662531017.37,-0.0186104218362283,1116625.3101737,286624.360330628
C11R2,8,0.003,262,2,262,0.003,20,16.1864140562386,0.001,0.4,0.01,0.000721110255092798,1666.66666666667,-145555555.555556,-43666666.6666666,-0.833333333333333,436666.666666667,151346.36426231
C11R2,9,0,4,2,4,0,20,2,0.001,0.4,0.01,0.000721110255092798,Inf,-Inf,-Inf,-Inf,,
C11R2,10,0.00133333333333333,198,2,198,0.00133333333333333,20,14.0712472794703,0.001,0.4,0.01,0.000721110255092798,3750.00000000001,-556875000.000003,-74250000.0000002,-1.875,742500.000000002,561926.092227052
C11R2,11,0.159,62,5,62,0.159,20,7.87400787401181,0.001,0.4,1e-05,1.802775637732e-06,31446.5408805031,-12262173.1735295,-194968553459.119,-0.0157232704402516,1949685.53459119,430119.310752139
C11R2,12,0.134666666666667,37,5,37,0.134666666666667,20,6.08276253029822,0.001,0.4,1e-05,1.802775637732e-06,37128.712871287,-10201205.7641407,-137376237623.762,-0.0185643564356435,1373762.37623762,335327.963457631
C11R5,1,0.187666666666667,46,5,46,0.187666666666667,20,6.78232998312527,0.001,0.4,1e-05,1.802775637732e-06,26642.9840142095,-6530607.09406911,-122557726465.364,-0.0133214920071048,1225577.26465364,285503.016319494
C11R5,2,0.196,125,5,125,0.196,20,11.1803398874989,0.001,0.4,1e-05,1.802775637732e-06,25510.2040816326,-16269262.8071637,-318877551020.408,-0.0127551020408163,3188775.51020408,641934.890560265
C11R5,3,0.218666666666667,60,5,60,0.218666666666667,20,7.74596669241483,0.001,0.4,1e-05,1.802775637732e-06,22865.8536585365,-6274167.16240331,-137195121951.219,-0.0114329268292683,1371951.21951219,304275.090697597
C11R5,4,0.199,110,5,110,0.199,20,10.4880884817015,0.001,0.4,1e-05,1.802775637732e-06,25125.6281407035,-13888538.1682281,-276381909547.739,-0.0125628140703518,2763819.09547739,563820.185955298
C11R5,5,0.0545,5,5,5,0.0545,20,2.23606797749979,0.001,0.4,1e-05,1.802775637732e-06,91743.119266055,-8416799.9326656,-45871559633.0275,-0.0458715596330275,,
