Experiment,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Contamination,PlateLayout,Well,Plate
Transitivity_D,C1R4,4,2,95,5,FALSE,5543,D02,P2
Transitivity_D,C1R4,2,4,50,50,FALSE,5543,B04,P1
Transitivity_D,C1R4,2,4,95,5,FALSE,5543,B04,P2
Transitivity_D,C1R4,5,2,95,5,FALSE,5543,E02,P2
Transitivity_D,C1R4,2,5,50,50,FALSE,5543,B05,P1
Transitivity_D,C1R4,2,5,95,5,FALSE,5543,B05,P2
Transitivity_D,C1R4,5,4,95,5,FALSE,5543,E04,P2
Transitivity_D,C1R4,4,5,50,50,FALSE,5543,D05,P1
Transitivity_D,C1R4,4,5,95,5,FALSE,5543,D05,P2
Transitivity_D,C1R6,2,1,95,5,FALSE,5543,B07,P2
Transitivity_B2,C2R6,3,1,95,5,FALSE,444,G01,P2
Transitivity_B2,C2R6,1,3,50,50,FALSE,444,E03,P1
Transitivity_B2,C2R6,1,3,95,5,FALSE,444,E03,P2
Transitivity_B2,C2R8,4,3,95,5,FALSE,444,H07,P2
Transitivity_B2,C2R8,3,4,50,50,FALSE,444,G08,P1
Transitivity_B2,C2R8,3,4,95,5,FALSE,444,G08,P2
Transitivity_D,C4R1,3,1,95,5,FALSE,5543,H09,P2
Transitivity_D,C4R1,1,3,50,50,FALSE,5543,F11,P1
Transitivity_D,C4R1,1,3,95,5,FALSE,5543,F11,P2
Transitivity_B2,C7R1,3,1,95,5,FALSE,444,G09,P2
Transitivity_B2,C7R1,1,3,50,50,FALSE,444,E11,P1
Transitivity_B2,C7R1,1,3,95,5,FALSE,444,E11,P2
Transitivity_B2,C7R1,4,1,95,5,FALSE,444,H09,P2
Transitivity_B2,C7R1,1,4,50,50,FALSE,444,E12,P1
Transitivity_B2,C7R1,1,4,95,5,FALSE,444,E12,P2
Transitivity_B2,C7R1,4,3,95,5,FALSE,444,H11,P2
Transitivity_B2,C7R1,3,4,50,50,FALSE,444,G12,P1
Transitivity_B2,C7R1,3,4,95,5,FALSE,444,G12,P2
Transitivity_B2,C8R4,3,1,95,5,FALSE,933,C10,P2
Transitivity_B2,C8R4,1,3,50,50,FALSE,933,A12,P1
Transitivity_B2,C8R4,1,3,95,5,FALSE,933,A12,P2
Transitivity_C,C11R1,1,2,50,50,FALSE,C11R1,A02,P1
Transitivity_C,C11R1,1,3,50,50,FALSE,C11R1,A03,P1
Transitivity_C,C11R1,1,4,50,50,FALSE,C11R1,A04,P1
Transitivity_B2,C11R1,8,2,95,5,FALSE,933,H02,P2
Transitivity_B2,C11R1,2,8,50,50,FALSE,933,B08,P1
Transitivity_B2,C11R1,2,8,95,5,FALSE,933,B08,P2
Transitivity_B2,C11R1,9,2,95,5,FALSE,444,A02,P2
Transitivity_C2,C11R2,8,2,95,5,FALSE,13A,H02,P2
Transitivity_C2,C11R2,2,8,50,50,FALSE,13A,B08,P1
Transitivity_C2,C11R2,2,8,95,5,FALSE,13A,B08,P2
Transitivity_C2,C11R2,6,3,95,5,TRUE,13A,F03,P2
Transitivity_C2,C11R2,7,3,95,5,FALSE,13A,G03,P2
Transitivity_C2,C11R2,3,7,50,50,FALSE,13A,C07,P1
Transitivity_C2,C11R2,3,7,95,5,FALSE,13A,C07,P2
Transitivity_C2,C11R2,12,3,95,5,FALSE,13B,D03,P2
Transitivity_C2,C11R2,3,12,50,50,FALSE,13A,C12,P1
Transitivity_C2,C11R2,3,12,95,5,FALSE,13A,C12,P2
Transitivity_C2,C11R2,5,6,50,50,FALSE,13A,E06,P1
Transitivity_C2,C11R2,5,6,95,5,FALSE,13A,E06,P2
Transitivity_C2,C11R2,6,11,50,50,FALSE,13A,F11,P1
Transitivity_C2,C11R2,12,7,95,5,FALSE,13B,D07,P2
Transitivity_C2,C11R2,7,12,50,50,FALSE,13A,G12,P1
Transitivity_C2,C11R2,7,12,95,5,FALSE,13A,G12,P2
Transitivity_C2,C11R2,9,8,95,5,FALSE,13B,A08,P2
Transitivity_C2,C11R2,8,9,50,50,FALSE,13A,H09,P1
Transitivity_C2,C11R2,8,9,95,5,FALSE,13A,H09,P2
Transitivity_D,C11R5,3,1,95,5,FALSE,75,C08,P2
Transitivity_D,C11R5,1,3,50,50,FALSE,75,A10,P1
Transitivity_D,C11R5,1,3,95,5,FALSE,75,A10,P2
Transitivity_D,C11R5,5,1,95,5,FALSE,75,E08,P2
Transitivity_D,C11R5,1,5,50,50,FALSE,75,A12,P1
Transitivity_D,C11R5,1,5,95,5,FALSE,75,A12,P2
Transitivity_D,C11R5,4,2,95,5,FALSE,75,D09,P2
Transitivity_D,C11R5,2,4,50,50,FALSE,75,B11,P1
Transitivity_D,C11R5,2,4,95,5,FALSE,75,B11,P2
Transitivity_D,C11R5,3,5,95,5,FALSE,75,C12,P2
