Community,Isolate1,Isolate2,5,50,95,Interaction,InteractionType,From,To
C10R2,2,3,1,1,1,"1,1,1",undefined,2,3
C11R1,1,5,-1,-1,-1,"-1,-1,-1",exclusion,5,1
C11R1,1,6,1,-1,-1,"1,-1,-1",undefined,1,6
C11R1,1,7,0,-1,-1,"0,-1,-1",stable coexistence,1,7
C11R1,1,8,0,-1,-1,"0,-1,-1",stable coexistence,1,8
C11R1,1,9,0,-1,-1,"0,-1,-1",stable coexistence,1,9
C11R1,2,3,1,1,0,"1,1,0",undefined,2,3
C11R1,2,4,1,0,-1,"1,0,-1",stable coexistence,2,4
C11R1,2,5,-1,-1,-1,"-1,-1,-1",exclusion,5,2
C11R1,2,6,-1,-1,-1,"-1,-1,-1",exclusion,6,2
C11R1,2,7,-1,-1,-1,"-1,-1,-1",exclusion,7,2
C11R1,3,4,1,0,0,"1,0,0",stable coexistence,3,4
C11R1,3,5,-1,-1,-1,"-1,-1,-1",exclusion,5,3
C11R1,3,6,-1,-1,-1,"-1,-1,-1",exclusion,6,3
C11R1,3,7,-1,-1,-1,"-1,-1,-1",exclusion,7,3
C11R1,3,8,0,-1,-1,"0,-1,-1",stable coexistence,3,8
C11R1,3,9,-1,-1,-1,"-1,-1,-1",exclusion,9,3
C11R1,4,5,-1,-1,-1,"-1,-1,-1",exclusion,5,4
C11R1,4,6,-1,-1,-1,"-1,-1,-1",exclusion,6,4
C11R1,4,7,-1,-1,-1,"-1,-1,-1",exclusion,7,4
C11R1,4,8,1,0,-1,"1,0,-1",stable coexistence,4,8
C11R1,4,9,1,1,1,"1,1,1",exclusion,4,9
C11R1,5,6,-1,-1,-1,"-1,-1,-1",exclusion,6,5
C11R1,5,7,-1,-1,-1,"-1,-1,-1",exclusion,7,5
C11R1,5,8,1,1,1,"1,1,1",exclusion,5,8
C11R1,5,9,1,1,1,"1,1,1",exclusion,5,9
C11R1,6,7,1,0,-1,"1,0,-1",stable coexistence,6,7
C11R1,6,8,1,1,1,"1,1,1",exclusion,6,8
C11R1,6,9,1,1,1,"1,1,1",exclusion,6,9
C11R1,7,8,1,1,1,"1,1,1",exclusion,7,8
C11R1,7,9,1,1,1,"1,1,1",exclusion,7,9
C11R2,1,10,1,1,1,"1,1,1",exclusion,1,10
C11R2,1,11,-1,-1,-1,"-1,-1,-1",exclusion,11,1
C11R2,1,12,1,1,0,"1,1,0",undefined,1,12
C11R2,1,2,1,0,0,"1,0,0",stable coexistence,1,2
C11R2,1,3,1,1,1,"1,1,1",exclusion,1,3
C11R2,1,4,-1,-1,-1,"-1,-1,-1",exclusion,4,1
C11R2,1,5,1,1,1,"1,1,1",exclusion,1,5
C11R2,1,6,-1,-1,-1,"-1,-1,-1",exclusion,6,1
C11R2,1,7,1,1,-1,"1,1,-1",undefined,1,7
C11R2,1,8,1,0,-1,"1,0,-1",stable coexistence,1,8
C11R2,1,9,1,1,1,"1,1,1",exclusion,1,9
C11R2,10,11,-1,-1,-1,"-1,-1,-1",exclusion,11,10
C11R2,11,12,1,1,1,"1,1,1",exclusion,11,12
C11R2,2,11,-1,-1,-1,"-1,-1,-1",exclusion,11,2
C11R2,2,12,0,0,-1,"0,0,-1",undefined,2,12
C11R2,2,4,-1,-1,-1,"-1,-1,-1",exclusion,4,2
C11R2,2,5,0,-1,-1,"0,-1,-1",stable coexistence,2,5
C11R2,2,6,-1,-1,-1,"-1,-1,-1",exclusion,6,2
C11R2,2,7,0,0,-1,"0,0,-1",stable coexistence,2,7
C11R2,3,10,1,1,1,"1,1,1",exclusion,3,10
