Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Time,Isolate1CFUFreq,ErrorIsolate1CFUFreq,RawDataType,Family1,Family2,Genus1,Genus2,Fermenter1,Fermenter2
C1R2,2,4,50,50,T8,0.634615384615385,0.0285479843738846,CFU,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
C1R4,1,3,50,50,T8,0.938461538461539,0.00740945602011765,CFU,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
C1R6,3,4,50,50,T8,0.471074380165289,0.0330070094896009,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FALSE,TRUE
C1R6,4,5,50,50,T8,0.0238095238095238,0.0164850521809471,CFU,Enterobacteriaceae,Enterobacteriaceae,Serratia,Citrobacter,TRUE,TRUE
C1R7,1,7,50,50,T8,0.285714285714286,0.0331109975338522,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
C1R7,3,5,50,50,T8,0.342857142857143,0.0651579952744731,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
C1R7,3,6,50,50,T8,0.428571428571429,0.0633376807878231,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,TRUE,TRUE
C1R7,4,5,50,50,T8,0.986013986013986,0.00116341896947238,CFU,Enterobacteriaceae,Enterobacteriaceae,Serratia,Enterobacter,TRUE,TRUE
C1R7,5,6,50,50,T8,0.489795918367347,0.0510522726869274,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,TRUE,TRUE
C2R6,2,3,50,50,T8,0.0297029702970297,0.0166679158142217,CFU,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Citrobacter,TRUE,TRUE
C2R6,2,4,50,50,T8,0.612903225806452,0.0545487717880589,CFU,Enterobacteriaceae,,Raoultella,,TRUE,
C2R8,1,2,50,50,T8,0.269230769230769,0.0746418687073542,CFU,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Citrobacter,TRUE,TRUE
C4R1,1,2,50,50,T8,0.992537313432836,0.000644677929538329,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
C8R4,1,2,50,50,T8,0.184684684684685,0.0235176440878553,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
C8R4,2,3,50,50,T8,0.66,0.0390978260265197,CFU,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
C10R2,2,3,50,50,T8,0.990825688073395,0.000878739711212065,CFU,Enterobacteriaceae,,Enterobacter,,TRUE,
C11R1,1,5,50,50,T8,0.125,0.0346121083852891,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
C11R1,1,6,50,50,T8,0.0576923076923077,0.0314935929823133,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
C11R1,1,7,50,50,T8,0.00892857142857143,0.00888862236273364,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
