Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
B2,C10R2,1,2,95,5,B2_T8_C10R2_5-95_1_2,B2_T8_C10R2_1,B2_T8_C10R2_2
B2,C10R2,1,3,95,5,B2_T8_C10R2_5-95_1_3,B2_T8_C10R2_1,B2_T8_C10R2_3
B2,C10R2,2,1,95,5,B2_T8_C10R2_5-95_2_1,B2_T8_C10R2_2,B2_T8_C10R2_1
B2,C10R2,2,3,95,5,B2_T8_C10R2_5-95_2_3,B2_T8_C10R2_2,B2_T8_C10R2_3
B2,C10R2,3,1,95,5,B2_T8_C10R2_5-95_3_1,B2_T8_C10R2_3,B2_T8_C10R2_1
B2,C10R2,3,2,95,5,B2_T8_C10R2_5-95_3_2,B2_T8_C10R2_3,B2_T8_C10R2_2
B2,C10R2,1,2,50,50,B2_T8_C10R2_50-50_1_2,B2_T8_C10R2_1,B2_T8_C10R2_2
B2,C10R2,1,3,50,50,B2_T8_C10R2_50-50_1_3,B2_T8_C10R2_1,B2_T8_C10R2_3
B2,C10R2,2,3,50,50,B2_T8_C10R2_50-50_2_3,B2_T8_C10R2_2,B2_T8_C10R2_3
B2,C11R1,1,2,95,5,B2_T8_C11R1_5-95_1_2,B2_T8_C11R1_1,B2_T8_C11R1_2
B2,C11R1,1,3,95,5,B2_T8_C11R1_5-95_1_3,B2_T8_C11R1_1,B2_T8_C11R1_3
B2,C11R1,1,4,95,5,B2_T8_C11R1_5-95_1_4,B2_T8_C11R1_1,B2_T8_C11R1_4
B2,C11R1,1,5,95,5,B2_T8_C11R1_5-95_1_5,B2_T8_C11R1_1,B2_T8_C11R1_5
B2,C11R1,1,6,95,5,B2_T8_C11R1_5-95_1_6,B2_T8_C11R1_1,B2_T8_C11R1_6
B2,C11R1,1,7,95,5,B2_T8_C11R1_5-95_1_7,B2_T8_C11R1_1,B2_T8_C11R1_7
B2,C11R1,1,8,95,5,B2_T8_C11R1_5-95_1_8,B2_T8_C11R1_1,B2_T8_C11R1_8
B2,C11R1,1,9,95,5,B2_T8_C11R1_5-95_1_9,B2_T8_C11R1_1,B2_T8_C11R1_9
B2,C11R1,2,1,95,5,B2_T8_C11R1_5-95_2_1,B2_T8_C11R1_2,B2_T8_C11R1_1
B2,C11R1,2,3,95,5,B2_T8_C11R1_5-95_2_3,B2_T8_C11R1_2,B2_T8_C11R1_3
B2,C11R1,2,4,95,5,B2_T8_C11R1_5-95_2_4,B2_T8_C11R1_2,B2_T8_C11R1_4
B2,C11R1,2,5,95,5,B2_T8_C11R1_5-95_2_5,B2_T8_C11R1_2,B2_T8_C11R1_5
B2,C11R1,2,6,95,5,B2_T8_C11R1_5-95_2_6,B2_T8_C11R1_2,B2_T8_C11R1_6
B2,C11R1,2,7,95,5,B2_T8_C11R1_5-95_2_7,B2_T8_C11R1_2,B2_T8_C11R1_7
B2,C11R1,2,8,95,5,B2_T8_C11R1_5-95_2_8,B2_T8_C11R1_2,B2_T8_C11R1_8
B2,C11R1,2,9,95,5,B2_T8_C11R1_5-95_2_9,B2_T8_C11R1_2,B2_T8_C11R1_9
B2,C11R1,3,1,95,5,B2_T8_C11R1_5-95_3_1,B2_T8_C11R1_3,B2_T8_C11R1_1
B2,C11R1,3,2,95,5,B2_T8_C11R1_5-95_3_2,B2_T8_C11R1_3,B2_T8_C11R1_2
B2,C11R1,3,4,95,5,B2_T8_C11R1_5-95_3_4,B2_T8_C11R1_3,B2_T8_C11R1_4
