Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
D,C11R5,1,2,95,5,D_T8_C11R5_5-95_1_2,D_T8_C11R5_1,D_T8_C11R5_2
D,C11R5,1,3,95,5,D_T8_C11R5_5-95_1_3,D_T8_C11R5_1,D_T8_C11R5_3
D,C11R5,1,4,95,5,D_T8_C11R5_5-95_1_4,D_T8_C11R5_1,D_T8_C11R5_4
D,C11R5,1,5,95,5,D_T8_C11R5_5-95_1_5,D_T8_C11R5_1,D_T8_C11R5_5
D,C11R5,2,1,95,5,D_T8_C11R5_5-95_2_1,D_T8_C11R5_2,D_T8_C11R5_1
D,C11R5,2,3,95,5,D_T8_C11R5_5-95_2_3,D_T8_C11R5_2,D_T8_C11R5_3
D,C11R5,2,4,95,5,D_T8_C11R5_5-95_2_4,D_T8_C11R5_2,D_T8_C11R5_4
D,C11R5,2,5,95,5,D_T8_C11R5_5-95_2_5,D_T8_C11R5_2,D_T8_C11R5_5
D,C11R5,3,1,95,5,D_T8_C11R5_5-95_3_1,D_T8_C11R5_3,D_T8_C11R5_1
D,C11R5,3,2,95,5,D_T8_C11R5_5-95_3_2,D_T8_C11R5_3,D_T8_C11R5_2
D,C11R5,3,4,95,5,D_T8_C11R5_5-95_3_4,D_T8_C11R5_3,D_T8_C11R5_4
D,C11R5,3,5,95,5,D_T8_C11R5_5-95_3_5,D_T8_C11R5_3,D_T8_C11R5_5
D,C11R5,4,1,95,5,D_T8_C11R5_5-95_4_1,D_T8_C11R5_4,D_T8_C11R5_1
D,C11R5,4,2,95,5,D_T8_C11R5_5-95_4_2,D_T8_C11R5_4,D_T8_C11R5_2
D,C11R5,4,3,95,5,D_T8_C11R5_5-95_4_3,D_T8_C11R5_4,D_T8_C11R5_3
D,C11R5,4,5,95,5,D_T8_C11R5_5-95_4_5,D_T8_C11R5_4,D_T8_C11R5_5
D,C11R5,5,1,95,5,D_T8_C11R5_5-95_5_1,D_T8_C11R5_5,D_T8_C11R5_1
D,C11R5,5,2,95,5,D_T8_C11R5_5-95_5_2,D_T8_C11R5_5,D_T8_C11R5_2
D,C11R5,5,3,95,5,D_T8_C11R5_5-95_5_3,D_T8_C11R5_5,D_T8_C11R5_3
D,C11R5,5,4,95,5,D_T8_C11R5_5-95_5_4,D_T8_C11R5_5,D_T8_C11R5_4
D,C11R5,1,2,50,50,D_T8_C11R5_50-50_1_2,D_T8_C11R5_1,D_T8_C11R5_2
D,C11R5,1,3,50,50,D_T8_C11R5_50-50_1_3,D_T8_C11R5_1,D_T8_C11R5_3
D,C11R5,1,4,50,50,D_T8_C11R5_50-50_1_4,D_T8_C11R5_1,D_T8_C11R5_4
D,C11R5,1,5,50,50,D_T8_C11R5_50-50_1_5,D_T8_C11R5_1,D_T8_C11R5_5
D,C11R5,2,3,50,50,D_T8_C11R5_50-50_2_3,D_T8_C11R5_2,D_T8_C11R5_3
D,C11R5,2,4,50,50,D_T8_C11R5_50-50_2_4,D_T8_C11R5_2,D_T8_C11R5_4
D,C11R5,2,5,50,50,D_T8_C11R5_50-50_2_5,D_T8_C11R5_2,D_T8_C11R5_5
D,C11R5,3,4,50,50,D_T8_C11R5_50-50_3_4,D_T8_C11R5_3,D_T8_C11R5_4
D,C11R5,3,5,50,50,D_T8_C11R5_50-50_3_5,D_T8_C11R5_3,D_T8_C11R5_5
D,C11R5,4,5,50,50,D_T8_C11R5_50-50_4_5,D_T8_C11R5_4,D_T8_C11R5_5
D,C1R2,1,2,95,5,D_T8_C1R2_5-95_1_2,D_T8_C1R2_1,D_T8_C1R2_2
D,C1R2,1,3,95,5,D_T8_C1R2_5-95_1_3,D_T8_C1R2_1,D_T8_C1R2_3
D,C1R2,1,4,95,5,D_T8_C1R2_5-95_1_4,D_T8_C1R2_1,D_T8_C1R2_4
D,C1R2,2,1,95,5,D_T8_C1R2_5-95_2_1,D_T8_C1R2_2,D_T8_C1R2_1
D,C1R2,2,3,95,5,D_T8_C1R2_5-95_2_3,D_T8_C1R2_2,D_T8_C1R2_3
D,C1R2,2,4,95,5,D_T8_C1R2_5-95_2_4,D_T8_C1R2_2,D_T8_C1R2_4
D,C1R2,3,1,95,5,D_T8_C1R2_5-95_3_1,D_T8_C1R2_3,D_T8_C1R2_1
D,C1R2,3,2,95,5,D_T8_C1R2_5-95_3_2,D_T8_C1R2_3,D_T8_C1R2_2
D,C1R2,3,4,95,5,D_T8_C1R2_5-95_3_4,D_T8_C1R2_3,D_T8_C1R2_4
D,C1R2,4,1,95,5,D_T8_C1R2_5-95_4_1,D_T8_C1R2_4,D_T8_C1R2_1
D,C1R2,4,2,95,5,D_T8_C1R2_5-95_4_2,D_T8_C1R2_4,D_T8_C1R2_2
D,C1R2,4,3,95,5,D_T8_C1R2_5-95_4_3,D_T8_C1R2_4,D_T8_C1R2_3
D,C1R2,1,2,50,50,D_T8_C1R2_50-50_1_2,D_T8_C1R2_1,D_T8_C1R2_2
D,C1R2,1,3,50,50,D_T8_C1R2_50-50_1_3,D_T8_C1R2_1,D_T8_C1R2_3
D,C1R2,1,4,50,50,D_T8_C1R2_50-50_1_4,D_T8_C1R2_1,D_T8_C1R2_4
