ExpID,ID,Community,CYC_isolate
1.2.A.1,259,C1R2,1
1.2.A.3,428,C1R2,2
1.2.A.5,364,C1R2,3
1.2.B.6,432,C1R2,4
1.4.A.1,267,C1R4,1
1.4.A.3,269,C1R4,2
1.4.A.4,434,C1R4,3
1.4.B.4,270,C1R4,5
1.6.A.1,272,C1R6,1
1.6.A.2,273,C1R6,2
1.6.A.4,274,C1R6,3
1.6.A.5,438,C1R6,4
1.6.A.6,439,C1R6,5
1.7.A.1,440,C1R7,1
1.7.A.1.2,441,C1R7,2
1.7.A.3,283,C1R7,3
1.7.A.4,284,C1R7,4
1.7.A.5,442,C1R7,5
1.7.B.3,286,C1R7,6
1.7.B.4,287,C1R7,7
2.6.A.1,276,C2R6,1
2.6.A.2,277,C2R6,2
2.6.A.3,278,C2R6,3
2.6.A.5,1000,C2R6,4
2.8.A.1,288,C2R8,1
2.8.A.2,289,C2R8,2
2.8.A.3,290,C2R8,3
4.1.A.1,294,C4R1,1
4.1.A.2,295,C4R1,2
4.1.B.4,302,C4R1,3
7.1.A.1,303,C7R1,1
7.1.A.2,304,C7R1,2
7.1.B.2,308,C7R1,4
8.4.A.1,316,C8R4,1
8.4.A.2,317,C8R4,2
10.2.A.1,326,C10R2,1
10.2.A.2,327,C10R2,2
10.2.C.4,,C10R2,3
11.1.A.1,335,C11R1,1
11.1.A.3,336,C11R1,3
11.1.A.4,332,C11R1,4
11.1.B.1,338,C11R1,5
11.1.B.3,340,C11R1,6
11.1.C.2,341,C11R1,8
11.1.C.3,342,C11R1,9
11.2.A.1,343,C11R2,1
11.2.A.2,453,C11R2,2
11.2.A.3,344,C11R2,3
11.2.A.3.2,345,C11R2,4
11.2.B.1,346,C11R2,5
11.2.B.2,280,C11R2,6
11.2.B.4.2,455,C11R2,9
11.2.B.6,350,C11R2,10
11.2.B.7,458,C11R2,11
11.5.A.1,352,C11R5,1
11.5.A.1.2,353,C11R5,2
