s1,s2,Community,mismatch
,,C10R2,
259,364,C1R2,37
259,428,C1R2,155
259,432,C1R2,146
267,269,C1R4,140
267,270,C1R4,153
267,434,C1R4,17
269,270,C1R4,16
269,434,C1R4,144
270,434,C1R4,148
272,273,C1R6,137
272,274,C1R6,12
272,438,C1R6,145
272,439,C1R6,147
273,274,C1R6,138
273,438,C1R6,40
273,439,C1R6,20
274,438,C1R6,145
274,439,C1R6,155
276,277,C2R6,23
276,278,C2R6,21
276,1000,C2R6,
277,278,C2R6,23
277,1000,C2R6,
278,1000,C2R6,
280,343,C11R2,100
280,344,C11R2,19
280,345,C11R2,18
280,346,C11R2,32
280,350,C11R2,147
280,453,C11R2,165
280,455,C11R2,148
280,458,C11R2,30
283,284,C1R7,35
283,286,C1R7,23
283,287,C1R7,26
283,440,C1R7,18
283,441,C1R7,142
283,442,C1R7,13
284,286,C1R7,36
284,287,C1R7,27
284,440,C1R7,41
284,441,C1R7,140
284,442,C1R7,40
286,287,C1R7,31
286,440,C1R7,25
286,441,C1R7,154
286,442,C1R7,18
287,440,C1R7,28
287,441,C1R7,150
287,441,C1R7,152
287,442,C1R7,24
288,289,C2R8,22
288,290,C2R8,147
289,290,C2R8,158
294,295,C4R1,158
294,302,C4R1,163
295,302,C4R1,184
295,302,C4R1,186
303,304,C7R1,158
303,308,C7R1,9
304,308,C7R1,153
316,317,C8R4,157
326,327,C10R2,139
332,335,C11R1,150
332,336,C11R1,177
332,338,C11R1,18
332,340,C11R1,19
332,341,C11R1,179
332,342,C11R1,198
335,336,C11R1,147
335,338,C11R1,137
335,340,C11R1,150
335,341,C11R1,174
335,342,C11R1,153
336,338,C11R1,161
336,340,C11R1,184
336,341,C11R1,166
336,342,C11R1,211
338,340,C11R1,21
338,341,C11R1,183
338,342,C11R1,177
338,342,C11R1,179
340,341,C11R1,192
340,342,C11R1,190
340,342,C11R1,192
341,342,C11R1,112
343,344,C11R2,117
343,345,C11R2,108
343,345,C11R2,110
343,346,C11R2,118
343,350,C11R2,117
343,453,C11R2,150
343,455,C11R2,165
343,458,C11R2,103
344,345,C11R2,17
344,346,C11R2,31
344,350,C11R2,157
344,453,C11R2,168
344,455,C11R2,154
344,455,C11R2,156
344,458,C11R2,34
345,346,C11R2,42
345,350,C11R2,153
345,453,C11R2,176
345,455,C11R2,160
345,455,C11R2,162
345,458,C11R2,26
346,350,C11R2,145
346,453,C11R2,166
346,455,C11R2,147
346,458,C11R2,57
350,453,C11R2,147
350,455,C11R2,151
350,458,C11R2,144
352,353,C11R5,150
364,428,C1R2,145
364,432,C1R2,134
428,432,C1R2,16
438,439,C1R6,36
440,441,C1R7,137
440,442,C1R7,9
441,442,C1R7,123
453,455,C11R2,162
453,458,C11R2,171
455,458,C11R2,158
