Sample #,DNA Name,Length (bp),Concentration (ng/uL),Primer
1,CYC_C11R1_50_50_12,1000,0.83,27F
2,CYC_C11R1_50_50_13,1000,0.83,27F
3,CYC_C11R1_50_50_14,1000,0.83,27F
4,CYC_C11R1_50_50_15,1000,0.83,27F
5,CYC_C11R1_50_50_16,1000,0.83,27F
6,CYC_C11R1_50_50_18,1000,0.83,27F
7,CYC_C11R1_50_50_19,1000,0.83,27F
8,CYC_C11R1_95_5_82,1000,0.83,27F
9,CYC_C11R1_50_50_23,1000,0.83,27F
10,CYC_C11R1_50_50_24,1000,0.83,27F
11,CYC_C11R1_50_50_25,1000,0.83,27F
12,CYC_C11R1_50_50_26,1000,0.83,27F
13,CYC_C11R1_50_50_28,1000,0.83,27F
14,CYC_C11R1_50_50_29,1000,0.83,27F
15,CYC_C11R1_95_5_14,1000,0.83,27F
16,CYC_C11R1_95_5_41,1000,0.83,27F
17,CYC_C11R1_95_5_23,1000,0.83,27F
18,CYC_C11R1_95_5_24,1000,0.83,27F
19,CYC_C11R1_95_5_25,1000,0.83,27F
20,CYC_C11R1_95_5_26,1000,0.83,27F
21,CYC_C11R1_95_5_28,1000,0.83,27F
22,CYC_C11R1_95_5_29,1000,0.83,27F
23,CYC_C11R1_95_5_92,1000,0.83,27F
24,CYC_C11R1_95_5_98,1000,0.83,27F
25,CYC_C11R1_single_1,1000,0.83,27F
26,CYC_C11R1_single_2,1000,0.83,27F
27,CYC_C11R1_single_3,1000,0.83,27F
28,CYC_C11R1_single_4,1000,0.83,27F
29,CYC_C11R1_single_5,1000,0.83,27F
30,CYC_C11R1_single_6,1000,0.83,27F
31,CYC_C11R1_single_8,1000,0.83,27F
32,CYC_C11R1_single_9,1000,0.83,27F
33,CYC_control_50_50_AB,1000,0.83,27F
34,CYC_control_50_50_AC,1000,0.83,27F
35,CYC_control_50_50_AD,1000,0.83,27F
36,CYC_control_50_50_BC,1000,0.83,27F
37,CYC_control_50_50_BD,1000,0.83,27F
38,CYC_control_50_50_CD,1000,0.83,27F
39,CYC_control_single_A,1000,0.83,27F
40,CYC_control_single_B,1000,0.83,27F
41,CYC_control_95_5_AB,1000,0.83,27F
42,CYC_control_95_5_AC,1000,0.83,27F
43,CYC_control_95_5_AD,1000,0.83,27F
44,CYC_control_95_5_BC,1000,0.83,27F
45,CYC_control_95_5_BD,1000,0.83,27F
46,CYC_control_95_5_CD,1000,0.83,27F
47,CYC_control_single_C,1000,0.83,27F
48,CYC_control_single_D,1000,0.83,27F
