Community,Isolate1,Isolate2,ID1,ID2,Mismatch
C1R2,1,2,259,428,155
C1R2,1,3,259,364,37
C1R2,1,4,259,432,146
C1R2,2,3,428,364,145
C1R2,2,4,428,432,16
C1R2,3,4,364,432,134
C1R4,1,2,267,269,140
C1R4,1,3,267,434,17
C1R4,1,4,267,435,156
C1R4,1,5,267,270,153
C1R4,2,3,269,434,144
C1R4,2,4,269,435,16
C1R4,2,5,269,270,16
C1R4,3,4,434,435,151
C1R4,3,5,434,270,148
C1R4,4,5,435,270,0
C1R6,1,2,272,273,137
C1R6,1,3,272,274,12
C1R6,1,4,272,438,145
C1R6,1,5,272,439,147
C1R6,2,3,273,274,138
C1R6,2,4,273,438,40
C1R6,2,5,273,439,20
C1R6,3,4,274,438,145
C1R6,3,5,274,439,155
C1R6,4,5,438,439,36
C1R7,1,2,440,441,137
C1R7,1,3,440,283,18
C1R7,1,4,440,284,41
C1R7,1,5,440,442,9
C1R7,1,6,440,286,25
C1R7,1,7,440,287,28
C1R7,2,3,441,283,142
C1R7,2,4,441,284,140
C1R7,2,5,441,442,123
C1R7,2,6,441,286,154
C1R7,2,7,441,287,150
C1R7,3,4,283,284,35
C1R7,3,5,283,442,13
C1R7,3,6,283,286,23
C1R7,3,7,283,287,26
C1R7,4,5,284,442,40
C1R7,4,6,284,286,36
C1R7,4,7,284,287,27
C1R7,5,6,442,286,18
C1R7,5,7,442,287,24
C1R7,6,7,286,287,31
C2R6,1,2,276,277,23
C2R6,1,3,276,278,21
C2R6,2,3,277,278,23
C2R8,1,2,288,289,22
C2R8,1,3,288,290,147
C2R8,1,4,288,444,148
C2R8,2,3,289,290,158
C2R8,2,4,289,444,159
C2R8,3,4,290,444,0
C4R1,1,2,294,295,158
C4R1,1,3,294,302,163
C4R1,2,3,295,302,186
C7R1,1,2,303,304,158
C7R1,1,3,303,305,0
C7R1,1,4,303,308,9
C7R1,2,3,304,305,159
C7R1,2,4,304,308,153
C7R1,3,4,305,308,9
C8R4,1,2,316,317,157
C8R4,1,3,316,446,0
C8R4,2,3,317,446,158
C10R2,1,2,326,327,139
C11R1,1,2,335,452,167
C11R1,1,3,335,336,147
C11R1,1,4,335,332,150
C11R1,1,5,335,338,137
C11R1,1,6,335,340,150
C11R1,1,7,335,461,157
C11R1,1,8,335,341,174
C11R1,1,9,335,342,153
C11R1,2,3,452,336,165
C11R1,2,4,452,332,173
C11R1,2,5,452,338,173
C11R1,2,6,452,340,186
C11R1,2,7,452,461,185
C11R1,2,8,452,341,0
C11R1,2,9,452,342,113
C11R1,3,4,336,332,177
C11R1,3,5,336,338,161
C11R1,3,6,336,340,184
C11R1,3,7,336,461,187
C11R1,3,8,336,341,166
C11R1,3,9,336,342,211
C11R1,4,5,332,338,18
C11R1,4,6,332,340,19
C11R1,4,7,332,461,19
C11R1,4,8,332,341,179
C11R1,4,9,332,342,198
C11R1,5,6,338,340,21
C11R1,5,7,338,461,21
C11R1,5,8,338,341,183
C11R1,5,9,338,342,179
C11R1,6,7,340,461,0
C11R1,6,8,340,341,192
C11R1,6,9,340,342,192
C11R1,7,8,461,341,192
C11R1,7,9,461,342,189
C11R1,8,9,341,342,112
C11R2,1,2,343,453,150
C11R2,1,3,343,344,117
C11R2,1,4,343,345,110
C11R2,1,5,343,346,118
C11R2,1,6,343,280,100
C11R2,1,7,343,348,121
C11R2,1,8,343,454,108
C11R2,1,9,343,455,165
C11R2,1,10,343,350,117
C11R2,1,11,343,458,103
C11R2,1,12,343,460,121
C11R2,2,3,453,344,168
C11R2,2,4,453,345,176
C11R2,2,5,453,346,166
C11R2,2,6,453,280,165
C11R2,2,7,453,348,168
C11R2,2,8,453,454,0
C11R2,2,9,453,455,162
C11R2,2,10,453,350,147
C11R2,2,11,453,458,171
C11R2,2,12,453,460,174
C11R2,3,4,344,345,17
C11R2,3,5,344,346,31
C11R2,3,6,344,280,19
C11R2,3,7,344,348,0
C11R2,3,8,344,454,130
C11R2,3,9,344,455,154
C11R2,3,10,344,350,157
C11R2,3,11,344,458,34
C11R2,3,12,344,460,0
C11R2,4,5,345,346,42
C11R2,4,6,345,280,18
C11R2,4,7,345,348,18
C11R2,4,8,345,454,135
C11R2,4,9,345,455,160
C11R2,4,10,345,350,153
C11R2,4,11,345,458,26
C11R2,4,12,345,460,18
C11R2,5,6,346,280,32
C11R2,5,7,346,348,32
C11R2,5,8,346,454,120
C11R2,5,9,346,455,147
C11R2,5,10,346,350,145
C11R2,5,11,346,458,57
C11R2,5,12,346,460,32
C11R2,6,7,280,348,21
C11R2,6,8,280,454,133
C11R2,6,9,280,455,148
C11R2,6,10,280,350,147
C11R2,6,11,280,458,30
C11R2,6,12,280,460,20
C11R2,7,8,348,454,131
C11R2,7,9,348,455,158
C11R2,7,10,348,350,157
C11R2,7,11,348,458,35
C11R2,7,12,348,460,0
C11R2,8,9,454,455,126
C11R2,8,10,454,350,116
C11R2,8,11,454,458,123
C11R2,8,12,454,460,135
C11R2,9,10,455,350,151
C11R2,9,11,455,458,158
C11R2,9,12,455,460,159
C11R2,10,11,350,458,144
C11R2,10,12,350,460,164
C11R2,11,12,458,460,35
C11R5,1,2,352,353,150
C11R5,1,3,352,355,0
C11R5,1,4,352,462,0
C11R5,1,5,352,356,131
C11R5,2,3,353,355,152
C11R5,2,4,353,462,143
C11R5,2,5,353,356,0
C11R5,3,4,355,462,0
C11R5,3,5,355,356,132
C11R5,4,5,462,356,131
